dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,local_time
1740037500000,0.0,0.0,0,0,1,30,51.4,88,4.11,30.0,30.0983,0,0,5951,5355900,51.4,47.97,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 23:45:00-08:00
1740036600000,0.0,0.0,0,0,1,30,52.2,87,,30.01,30.1082,0,0,5951,5355900,52.2,48.45,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 23:30:00-08:00
1740035700000,0.0,0.0,0,0,1,30,52.5,88,,30.01,30.1081,0,0,5951,5355900,52.5,49.05,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 23:15:00-08:00
1740034800000,0.0,1.5659,0,0,1,30,53.2,88,,30.01,30.108,0,0,5951,5355900,53.2,49.74,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 23:00:00-08:00
1740033900000,2.0132,3.1317,0,0,1,30,53.8,87,4.11,30.01,30.1079,0,0,5951,5355900,53.8,50.02,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 22:45:00-08:00
1740033000000,1.7895,3.8028,0,0,1,30,53.6,87,,30.01,30.1079,0,0,5951,5355900,53.6,49.82,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 22:30:00-08:00
1740032100000,0.6711,2.6843,0,0,1,30,54.1,86,,30.02,30.1178,0,0,5951,5355900,54.1,50.01,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 22:15:00-08:00
1740031200000,0.0,1.5659,0,0,1,30,53.8,86,,30.02,30.1179,0,0,5951,5355900,53.8,49.71,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 22:00:00-08:00
1740030300000,0.2237,2.2369,0,0,1,30,54.0,85,4.12,30.02,30.1179,0,0,5951,5355900,54.0,49.59,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 21:45:00-08:00
1740029400000,1.1185,2.2369,0,0,1,30,54.5,84,,30.02,30.1178,0,0,5951,5355900,54.5,49.76,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 21:30:00-08:00
1740028500000,0.8948,3.1317,0,0,1,30,54.5,85,,30.02,30.1178,0,0,5951,5355900,54.5,50.08,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 21:15:00-08:00
1740027600000,0.4474,3.1317,0,0,1,30,54.3,84,,30.02,30.1178,0,0,5951,5355900,54.3,49.57,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 21:00:00-08:00
1740026700000,0.2237,3.1317,0,0,1,30,54.0,82,4.12,30.02,30.1179,0,0,5951,5355900,54.0,48.63,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 20:45:00-08:00
1740025800000,0.6711,4.0265,0,0,1,61,53.2,81,,30.02,30.118,0,0,5951,5355900,53.2,47.52,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 20:30:00-08:00
1740024900000,0.2237,1.7895,0,0,1,198,53.1,79,,30.02,30.118,0,0,5951,5355900,53.1,46.76,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 20:15:00-08:00
1740024000000,0.0,1.3422,0,0,1,198,53.4,78,,30.02,30.118,0,0,5951,5355900,53.4,46.71,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 20:00:00-08:00
1740023100000,0.4474,2.0132,0,0,1,198,53.4,77,4.12,30.03,30.128,0,0,5951,5355900,53.4,46.37,2025-02-14T20:35:00.000Z,2025-02-19,,,2025-02-19 19:45:00-08:00
