dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,lastRain,local_time
1740210300000,0.0,0.0,0,0,1,231,48.6,79,30.15,30.2493,0,0,4480,4032000,48.6,42.39,2025-02-21,,,,,2025-02-21 23:45:00-08:00
1740208500000,0.0,0.0,0,0,1,231,49.3,77,30.14,30.2392,0,0,4480,4032000,49.3,42.4,2025-02-21,4.08,,,,2025-02-21 23:15:00-08:00
1740207600000,0.0,0.0,0,0,1,231,50.0,76,30.14,30.239,0,0,4480,4032000,50.0,42.74,2025-02-21,,,,,2025-02-21 23:00:00-08:00
1740205800000,0.0,0.0,0,0,1,231,51.4,71,30.13,30.2287,0,0,4480,4032000,51.4,42.32,2025-02-21,,,,,2025-02-21 22:30:00-08:00
1740204000000,0.0,0.0,0,0,1,231,50.5,71,30.13,30.2289,0,0,4480,4032000,50.5,41.45,2025-02-21,,America/Los_Angeles,True,,2025-02-21 22:00:00-08:00
1740203100000,0.0,0.0,0,0,1,231,50.4,73,30.13,30.2289,0,0,4480,4032000,50.4,42.08,2025-02-21,,America/Los_Angeles,True,,2025-02-21 21:45:00-08:00
1740202200000,0.0,0.0,0,0,1,231,50.4,75,30.12,30.2189,0,0,4480,4032000,50.4,42.78,2025-02-21,,,,,2025-02-21 21:30:00-08:00
1740200400000,0.0,0.0,0,0,1,231,50.5,74,30.12,30.2189,0,0,4480,4032000,50.5,42.53,2025-02-21,,,,,2025-02-21 21:00:00-08:00
1740199500000,0.0,0.0,0,0,1,231,51.3,73,30.12,30.2187,0,0,4480,4032000,51.3,42.94,2025-02-21,4.09,,,,2025-02-21 20:45:00-08:00
1740196800000,0.0,0.0,0,0,1,231,52.2,73,30.12,30.2185,0,0,4480,4032000,52.2,43.81,2025-02-21,,,,,2025-02-21 20:00:00-08:00
1740195000000,0.0,0.0,0,0,1,231,53.8,70,30.11,30.2082,0,0,4480,4032000,53.8,44.25,2025-02-21,,,,,2025-02-21 19:30:00-08:00
1740194100000,0.0,0.0,0,0,1,231,54.9,69,30.11,30.208,0,0,4480,4032000,54.9,44.92,2025-02-21,,,,,2025-02-21 19:15:00-08:00
1740190500000,0.0,0.0,0,0,1,231,60.1,61,30.09,30.1869,0,0,4480,4032000,60.1,46.6,2025-02-21,,,,,2025-02-21 18:15:00-08:00
1740189600000,0.0,0.0,0,0,1,231,61.7,56,30.09,30.1866,0,0,4480,4032000,61.7,45.84,2025-02-21,,,,,2025-02-21 18:00:00-08:00
1740188700000,0.0,0.0,0,0,1,231,62.4,53,30.09,30.1865,2,840,4478,4032000,62.4,45.04,2025-02-21,4.1,,,,2025-02-21 17:45:00-08:00
1740187800000,0.0,2.0132,0,0,1,231,63.0,54,30.09,30.1864,6,2880,4472,4030200,63.0,46.09,2025-02-21,,,,,2025-02-21 17:30:00-08:00
1740186900000,2.0132,3.5791,0,0,1,231,64.6,52,30.09,30.1861,10,4200,4462,4024800,64.6,46.57,2025-02-21,,,,,2025-02-21 17:15:00-08:00
1740186000000,0.8948,2.908,0,0,1,231,64.8,49,30.08,30.176,17,8160,4445,4015800,64.8,45.19,2025-02-21,,,,,2025-02-21 17:00:00-08:00
1740184200000,1.5659,2.6843,0,0,1,231,64.9,52,30.08,30.176,24,11520,4421,4000500,64.9,46.85,2025-02-21,,,,,2025-02-21 16:30:00-08:00
1740181500000,1.1185,4.2502,0,0,1,232,65.7,45,30.08,30.1759,43,18060,4378,3978900,65.7,43.77,2025-02-21,4.11,,,,2025-02-21 15:45:00-08:00
1740180600000,1.3422,4.0265,0,0,1,234,65.8,45,30.08,30.1758,107,51360,4271,3940200,65.8,43.86,2025-02-21,,,,,2025-02-21 15:30:00-08:00
1740178800000,0.6711,3.3554,0,0,1,234,66.4,42,30.09,30.1858,97,46560,4174,3843900,66.4,42.6,2025-02-21,,,,,2025-02-21 15:00:00-08:00
1740177900000,0.4474,2.2369,0,0,1,234,65.8,43,30.09,30.1859,58,24360,4116,3756600,65.8,42.68,2025-02-21,4.11,,,,2025-02-21 14:45:00-08:00
1740177000000,0.4474,3.5791,0,0,1,234,65.5,46,30.09,30.1859,65,31200,4051,3704400,65.5,44.17,2025-02-21,,,,,2025-02-21 14:30:00-08:00
