dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,local_time
1744353960000,0.0,1.3422,0,0,1,202,56.1,92,30.06,30.1576,0,0,7499,6749100,56.1,53.81,2025-04-10,,,,2025-04-10 23:46:00-07:00
1744353060000,0.0,0.0,0,0,1,202,56.1,92,30.07,30.1676,0,0,7499,6749100,56.1,53.81,2025-04-10,4.26,,,2025-04-10 23:31:00-07:00
1744352160000,0.0,0.0,0,0,1,202,56.3,92,30.06,30.1575,0,0,7499,6749100,56.3,54.0,2025-04-10,,,,2025-04-10 23:16:00-07:00
1744351260000,0.0,0.0,0,0,1,202,56.5,92,30.06,30.1575,0,0,7499,6749100,56.5,54.2,2025-04-10,,,,2025-04-10 23:01:00-07:00
1744350360000,0.0,0.0,0,0,1,202,56.5,91,30.06,30.1575,0,0,7499,6749100,56.5,53.9,2025-04-10,,,,2025-04-10 22:46:00-07:00
1744349460000,0.0,0.0,0,0,1,202,56.3,91,30.07,30.1676,0,0,7499,6749100,56.3,53.71,2025-04-10,4.28,,,2025-04-10 22:31:00-07:00
1744348560000,0.0,0.0,0,0,1,202,56.3,91,30.07,30.1676,0,0,7499,6749100,56.3,53.71,2025-04-10,,,,2025-04-10 22:16:00-07:00
1744347660000,0.0,0.0,0,0,1,202,56.3,91,30.07,30.1676,0,0,7499,6749100,56.3,53.71,2025-04-10,,,,2025-04-10 22:01:00-07:00
1744346760000,0.0,1.3422,0,0,1,202,56.3,90,30.07,30.1676,0,0,7499,6749100,56.3,53.4,2025-04-10,,,,2025-04-10 21:46:00-07:00
1744345860000,0.0,0.0,0,0,1,202,56.5,89,30.07,30.1675,0,0,7499,6749100,56.5,53.3,2025-04-10,4.28,,,2025-04-10 21:31:00-07:00
1744344960000,0.4474,2.4606,0,0,1,202,57.0,88,30.06,30.1574,0,0,7499,6749100,57.0,53.48,2025-04-10,,,,2025-04-10 21:16:00-07:00
1744344060000,0.0,0.0,0,0,1,202,57.4,87,30.06,30.1573,0,0,7499,6749100,57.4,53.56,2025-04-10,,,,2025-04-10 21:01:00-07:00
1744343160000,0.0,1.5659,0,0,1,202,57.7,87,30.06,30.1573,0,0,7499,6749100,57.7,53.86,2025-04-10,,,,2025-04-10 20:46:00-07:00
1744342260000,0.0,1.3422,0,0,1,202,57.7,88,30.05,30.1472,0,0,7499,6749100,57.7,54.17,2025-04-10,4.28,,,2025-04-10 20:31:00-07:00
1744341360000,0.0,1.1185,0,0,1,202,57.6,89,30.05,30.1473,0,0,7499,6749100,57.6,54.38,2025-04-10,,,,2025-04-10 20:16:00-07:00
1744340460000,0.0,1.5659,0,0,1,202,57.7,89,30.05,30.1472,0,0,7499,6749100,57.7,54.48,2025-04-10,,,,2025-04-10 20:01:00-07:00
1744339560000,0.0,0.0,0,0,1,202,57.9,88,30.06,30.1572,0,0,7499,6749100,57.9,54.37,2025-04-10,,,,2025-04-10 19:46:00-07:00
1744338660000,0.0,0.0,0,0,1,202,58.3,88,30.06,30.1572,1,480,7498,6749100,58.3,54.76,2025-04-10,4.29,,,2025-04-10 19:31:00-07:00
1744337760000,0.4474,2.6843,0,0,1,202,58.8,88,30.06,30.1571,4,1680,7494,6748200,58.8,55.25,2025-04-10,,,,2025-04-10 19:16:00-07:00
1744336860000,2.2369,4.2502,0,0,1,202,60.8,83,30.06,30.1567,8,3840,7486,6744600,60.8,55.6,2025-04-10,,,,2025-04-10 19:01:00-07:00
1744335960000,1.3422,3.8028,0,0,1,202,63.1,78,30.05,30.1462,8,3360,7478,6737400,63.1,56.12,2025-04-10,,,,2025-04-10 18:46:00-07:00
1744335060000,0.0,0.0,0,0,1,202,64.2,72,30.06,30.1561,9,4320,7469,6730200,64.2,54.98,2025-04-10,4.29,,,2025-04-10 18:31:00-07:00
1744334160000,0.0,0.0,0,0,1,202,63.5,74,30.07,30.1662,18,7560,7451,6722100,63.5,55.06,2025-04-10,,,,2025-04-10 18:16:00-07:00
1744333260000,0.0,1.7895,0,0,1,202,62.6,77,30.08,30.1764,22,10560,7429,6705900,62.6,55.28,2025-04-10,,,,2025-04-10 18:01:00-07:00
