dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,local_time
1745649960000,0.6711,2.2369,0,0,1,222,52.9,77,4.3,29.95,30.0478,0,0,8494,7644600,52.9,45.89,2025-04-25,,,2025-04-25 23:46:00-07:00
1745649060000,0.2237,1.7895,0,0,1,222,52.9,77,,29.95,30.0478,0,0,8494,7644600,52.9,45.89,2025-04-25,,,2025-04-25 23:31:00-07:00
1745648160000,0.0,0.8948,0,0,1,222,53.2,78,,29.95,30.0478,0,0,8494,7644600,53.2,46.52,2025-04-25,,,2025-04-25 23:16:00-07:00
1745647260000,0.6711,2.908,0,0,1,222,53.2,78,,29.95,30.0478,0,0,8494,7644600,53.2,46.52,2025-04-25,,,2025-04-25 23:01:00-07:00
1745646360000,0.6711,2.4606,0,0,1,222,53.6,77,4.3,29.96,30.0577,0,0,8494,7644600,53.6,46.57,2025-04-25,,,2025-04-25 22:46:00-07:00
1745645460000,0.2237,2.4606,0,0,1,222,54.1,77,,29.96,30.0576,0,0,8494,7644600,54.1,47.05,2025-04-25,,,2025-04-25 22:31:00-07:00
1745644560000,0.0,0.0,0,0,1,222,54.3,78,,29.96,30.0576,0,0,8494,7644600,54.3,47.59,2025-04-25,,,2025-04-25 22:16:00-07:00
1745643660000,0.0,1.3422,0,0,1,222,54.3,78,,29.96,30.0576,0,0,8494,7644600,54.3,47.59,2025-04-25,,,2025-04-25 22:01:00-07:00
1745642760000,0.2237,2.2369,0,0,1,222,54.5,78,4.31,29.96,30.0576,0,0,8494,7644600,54.5,47.78,2025-04-25,,,2025-04-25 21:46:00-07:00
1745641860000,0.6711,2.6843,0,0,1,222,54.7,78,,29.96,30.0575,0,0,8494,7644600,54.7,47.98,2025-04-25,,,2025-04-25 21:31:00-07:00
1745640960000,0.0,1.7895,0,0,1,222,54.9,79,,29.96,30.0575,0,0,8494,7644600,54.9,48.51,2025-04-25,,,2025-04-25 21:16:00-07:00
1745640060000,0.0,1.1185,0,0,1,222,54.9,79,,29.96,30.0575,0,0,8494,7644600,54.9,48.51,2025-04-25,,,2025-04-25 21:01:00-07:00
1745639160000,0.0,1.3422,0,0,1,222,54.9,78,4.31,29.95,30.0475,0,0,8494,7644600,54.9,48.17,2025-04-25,America/Los_Angeles,True,2025-04-25 20:46:00-07:00
1745638260000,0.0,0.8948,0,0,1,222,55.0,78,,29.95,30.0474,0,0,8494,7644600,55.0,48.27,2025-04-25,America/Los_Angeles,True,2025-04-25 20:31:00-07:00
1745637360000,0.2237,3.1317,0,0,1,222,55.0,77,,29.95,30.0474,0,0,8494,7644600,55.0,47.92,2025-04-25,,,2025-04-25 20:16:00-07:00
1745636460000,1.3422,4.0265,0,0,1,222,55.0,75,4.31,29.95,30.0474,0,0,8494,7644600,55.0,47.22,2025-04-25,,,2025-04-25 20:01:00-07:00
1745635560000,1.3422,3.1317,0,0,1,222,55.0,74,,29.96,30.0575,0,0,8494,7644600,55.0,46.87,2025-04-25,,,2025-04-25 19:46:00-07:00
1745634660000,0.2237,1.7895,0,0,1,222,55.4,75,,29.96,30.0574,2,960,8492,7644600,55.4,47.61,2025-04-25,,,2025-04-25 19:31:00-07:00
1745633760000,0.2237,2.0132,0,0,1,222,55.6,75,,29.96,30.0574,7,2940,8485,7642800,55.6,47.8,2025-04-25,,,2025-04-25 19:16:00-07:00
1745632860000,0.8948,3.5791,0,0,1,222,55.9,74,4.32,29.96,30.0573,12,5760,8473,7636500,55.9,47.73,2025-04-25,,,2025-04-25 19:01:00-07:00
1745631960000,1.5659,4.0265,0,0,1,222,56.5,73,,29.96,30.0572,22,9240,8451,7625700,56.5,47.95,2025-04-25,,,2025-04-25 18:46:00-07:00
1745631060000,1.3422,3.5791,0,0,1,222,56.8,73,,29.96,30.0571,42,20160,8409,7605900,56.8,48.24,2025-04-25,,,2025-04-25 18:31:00-07:00
1745630160000,2.2369,5.5923,0,0,1,228,56.8,73,,29.97,30.0672,50,21000,8359,7568100,56.8,48.24,2025-04-25,,,2025-04-25 18:16:00-07:00
1745629260000,2.0132,5.816,0,0,1,234,56.8,73,4.33,29.97,30.0672,47,22560,8312,7523100,56.8,48.24,2025-04-25,,,2025-04-25 18:01:00-07:00
1745628360000,2.0132,4.2502,0,0,1,231,57.0,73,,29.97,30.0671,49,20580,8263,7480800,57.0,48.43,2025-04-25,,,2025-04-25 17:46:00-07:00
1745627460000,2.0132,5.816,0,0,1,233,57.7,71,,29.98,30.077,49,23520,8214,7436700,57.7,48.36,2025-04-25,,,2025-04-25 17:31:00-07:00
1745626560000,2.4606,6.0397,0,0,1,221,58.1,69,,29.98,30.0769,42,17640,8172,7392600,58.1,47.98,2025-04-25,,,2025-04-25 17:16:00-07:00
1745625660000,1.3422,5.3686,0,0,1,219,58.1,68,4.34,29.98,30.0769,51,24480,8121,7354800,58.1,47.59,2025-04-25,,,2025-04-25 17:01:00-07:00
1745624760000,2.4606,6.9345,0,0,1,216,58.3,68,,29.98,30.0769,84,35280,8037,7308900,58.3,47.78,2025-04-25,,,2025-04-25 16:46:00-07:00
1745623860000,2.2369,5.3686,0,0,1,218,58.8,68,,29.99,30.0868,105,50400,7932,7233300,58.8,48.26,2025-04-25,,,2025-04-25 16:31:00-07:00
1745622960000,1.5659,5.5923,0,0,1,210,59.0,66,,29.99,30.0868,111,46620,7821,7138800,59.0,47.66,2025-04-25,,,2025-04-25 16:16:00-07:00
