dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,passkey,time,loc,date,batt1volts,local_time
1746333960000,0.8948,2.6843,0,0,1,208,54.7,80,29.86,29.9572,0,0,124,3037500,America/Los_Angeles,True,54.7,48.65,184b25e1e4b0679445bdc4f9f9a9c3f0,1746316800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746316800000.json,2025-05-03,,2025-05-03 21:46:00-07:00
1746332160000,1.5659,4.4739,0,0,1,208,55.6,77,29.86,29.957,0,0,124,3037500,America/Los_Angeles,True,55.6,48.5,184b25e1e4b0679445bdc4f9f9a9c3f0,1746316800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746316800000.json,2025-05-03,4.18,2025-05-03 21:16:00-07:00
1746328560000,1.1185,3.3554,0,0,1,208,57.0,77,29.86,29.9568,0,0,124,3037500,America/Los_Angeles,True,57.0,49.86,184b25e1e4b0679445bdc4f9f9a9c3f0,1746316800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746316800000.json,2025-05-03,4.19,2025-05-03 20:16:00-07:00
1746325860000,0.2237,2.2369,0,0,1,208,58.6,76,29.86,29.9565,3,1440,124,3036600,America/Los_Angeles,True,58.6,51.06,184b25e1e4b0679445bdc4f9f9a9c3f0,1746316800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746316800000.json,2025-05-03,,2025-05-03 19:31:00-07:00
1746324960000,0.4474,2.0132,0,0,1,208,59.2,75,29.86,29.9564,7,2940,124,3033900,America/Los_Angeles,True,59.2,51.28,184b25e1e4b0679445bdc4f9f9a9c3f0,1746316800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746316800000.json,2025-05-03,4.19,2025-05-03 19:16:00-07:00
1746319560000,2.4606,5.5923,0,0,1,213,62.1,74,29.87,29.9659,41,17220,124,2926800,America/Los_Angeles,True,62.1,53.71,184b25e1e4b0679445bdc4f9f9a9c3f0,1746316800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746316800000.json,2025-05-03,,2025-05-03 17:46:00-07:00
1746318660000,2.0132,4.6976,0,0,1,211,61.7,74,29.88,29.976,34,16320,124,2889900,America/Los_Angeles,True,61.7,53.32,184b25e1e4b0679445bdc4f9f9a9c3f0,1746316800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746316800000.json,2025-05-03,,2025-05-03 17:31:00-07:00
1746315960000,2.6843,5.145,0,0,1,203,62.1,75,29.89,29.9859,50,21000,124,2777400,America/Los_Angeles,True,62.1,54.08,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 16:46:00-07:00
1746315060000,2.2369,5.3686,0,0,1,195,62.4,75,29.9,29.9959,57,27360,124,2732400,America/Los_Angeles,True,62.4,54.37,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 16:31:00-07:00
1746310560000,1.1185,3.5791,0,0,1,191,61.3,74,29.94,30.0362,214,89880,124,2304000,America/Los_Angeles,True,61.3,52.94,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,4.22,2025-05-03 15:16:00-07:00
1746298860000,0.6711,2.4606,0,0,1,191,58.5,84,29.98,30.0769,40,19200,124,1288800,America/Los_Angeles,True,58.5,53.68,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 12:01:00-07:00
1746292560000,1.5659,3.1317,0,0,1,230,58.1,85,29.97,30.0669,54,22680,124,837900,America/Los_Angeles,True,58.1,53.61,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,4.2,2025-05-03 10:16:00-07:00
1746291660000,1.1185,2.908,0,0,1,230,58.8,85,29.97,30.0668,96,46080,124,789300,America/Los_Angeles,True,58.8,54.3,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 10:01:00-07:00
1746289860000,1.5659,2.6843,0,0,1,230,58.3,86,29.97,30.0669,115,55200,124,606600,America/Los_Angeles,True,58.3,54.13,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 09:31:00-07:00
1746281760000,0.0,0.0,0,0,1,67,55.6,93,29.95,30.0473,16,6720,124,26100,America/Los_Angeles,True,55.6,53.61,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,4.19,2025-05-03 07:16:00-07:00
1746276360000,0.0,0.0,0,0,1,224,55.6,91,29.95,30.0473,0,0,124,0,America/Los_Angeles,True,55.6,53.01,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 05:46:00-07:00
1746274560000,0.2237,1.3422,0,0,1,224,55.8,91,29.96,30.0573,0,0,124,0,America/Los_Angeles,True,55.8,53.21,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,4.2,2025-05-03 05:16:00-07:00
1746267360000,0.0,0.0,0,0,1,224,54.9,94,29.96,30.0575,0,0,124,0,America/Los_Angeles,True,54.9,53.2,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,4.2,2025-05-03 03:16:00-07:00
1746264660000,0.0,0.0,0,0,1,224,54.5,95,29.95,30.0475,0,0,124,0,America/Los_Angeles,True,54.5,53.1,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 02:31:00-07:00
1746263760000,0.0,0.0,0,0,1,224,54.3,95,29.94,30.0375,0,0,124,0,America/Los_Angeles,True,54.3,52.9,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,4.2,2025-05-03 02:16:00-07:00
1746262860000,0.0,0.0,0,0,1,224,54.5,94,29.94,30.0375,0,0,124,0,America/Los_Angeles,True,54.5,52.81,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 02:01:00-07:00
1746261960000,0.2237,1.5659,0,0,1,224,55.0,94,29.94,30.0374,0,0,124,0,America/Los_Angeles,True,55.0,53.3,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 01:46:00-07:00
1746261060000,0.2237,1.5659,0,0,1,224,54.9,94,29.94,30.0374,0,0,124,0,America/Los_Angeles,True,54.9,53.2,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 01:31:00-07:00
1746259260000,0.6711,1.5659,0,0,1,224,55.0,93,29.95,30.0474,0,0,124,0,America/Los_Angeles,True,55.0,53.01,184b25e1e4b0679445bdc4f9f9a9c3f0,1746230400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746230400000.json,2025-05-03,,2025-05-03 01:01:00-07:00
