dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,batt1volts,local_time
1747896360000,0.0,0.0,0,0,1,217,57.2,90,29.89,29.9868,0,0,8655,7789500,57.2,54.29,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 23:46:00-07:00
1747895460000,0.0,0.0,0,0,1,217,57.4,89,29.89,29.9868,0,0,8655,7789500,57.4,54.18,,2025-05-21,America/Los_Angeles,True,,2025-05-21 23:31:00-07:00
1747894560000,0.0,0.0,0,0,1,217,57.6,90,29.89,29.9868,0,0,8655,7789500,57.6,54.69,2025-04-26T15:31:00.000Z,2025-05-21,,,4.28,2025-05-21 23:16:00-07:00
1747893660000,0.0,0.0,0,0,1,217,57.6,89,29.89,29.9868,0,0,8655,7789500,57.6,54.38,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 23:01:00-07:00
1747892760000,0.0,0.0,0,0,1,217,57.6,88,29.89,29.9868,0,0,8655,7789500,57.6,54.07,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 22:46:00-07:00
1747891860000,0.0,0.0,0,0,1,217,57.7,88,29.9,29.9968,0,0,8655,7789500,57.7,54.17,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 22:31:00-07:00
1747890960000,0.0,0.0,0,0,1,217,57.9,89,29.9,29.9967,0,0,8655,7789500,57.9,54.68,2025-04-26T15:31:00.000Z,2025-05-21,,,4.29,2025-05-21 22:16:00-07:00
1747890060000,0.0,0.0,0,0,1,217,57.6,87,29.9,29.9968,0,0,8655,7789500,57.6,53.76,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 22:01:00-07:00
1747889160000,0.0,0.0,0,0,1,217,57.4,86,29.89,29.9868,0,0,8655,7789500,57.4,53.25,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 21:46:00-07:00
1747888260000,0.0,1.5659,0,0,1,217,57.9,87,29.89,29.9867,0,0,8655,7789500,57.9,54.05,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 21:31:00-07:00
1747887360000,0.0,0.0,0,0,1,217,58.3,87,29.89,29.9866,0,0,8655,7789500,58.3,54.45,2025-04-26T15:31:00.000Z,2025-05-21,,,4.29,2025-05-21 21:16:00-07:00
1747886460000,0.0,0.0,0,0,1,217,58.6,87,29.89,29.9866,0,0,8655,7789500,58.6,54.74,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 21:01:00-07:00
1747885560000,0.0,0.0,0,0,1,217,58.8,87,29.89,29.9865,0,0,8655,7789500,58.8,54.94,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 20:46:00-07:00
1747884660000,0.0,0.0,0,0,1,217,59.4,87,29.89,29.9864,0,0,8655,7789500,59.4,55.53,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 20:31:00-07:00
1747883760000,0.0,0.0,0,0,1,217,59.7,86,29.89,29.9864,0,0,8655,7789500,59.7,55.5,,2025-05-21,America/Los_Angeles,True,4.29,2025-05-21 20:16:00-07:00
1747882860000,0.0,1.5659,0,0,1,217,60.3,86,29.88,29.9762,0,0,8655,7789500,60.3,56.09,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 20:01:00-07:00
1747881960000,0.0,0.0,0,0,1,217,60.6,85,29.89,29.9862,3,1260,8652,7789500,60.6,56.06,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 19:46:00-07:00
1747881060000,0.0,0.0,0,0,1,217,61.2,85,29.89,29.9861,6,2880,8646,7786800,61.2,56.65,2025-04-26T15:31:00.000Z,2025-05-21,,,4.29,2025-05-21 19:31:00-07:00
1747880160000,0.2237,2.2369,0,0,1,217,61.5,85,29.88,29.976,10,4200,8622,7768800,61.5,56.95,2025-04-26T15:31:00.000Z,2025-05-21,,,,2025-05-21 19:16:00-07:00
