dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,tz,historical,local_time
1748328360000,0.0,0.0,0,0,1,214,58.5,87,29.96,30.0568,0,0,8051,7245900,58.5,54.64,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 23:46:00-07:00
1748327460000,0.0,0.0,0,0,1,214,58.8,86,29.97,30.0668,0,0,8051,7245900,58.8,54.62,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 23:31:00-07:00
1748326560000,0.0,0.0,0,0,1,214,58.8,83,29.97,30.0668,0,0,8051,7245900,58.8,53.65,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 23:16:00-07:00
1748325660000,0.0,0.0,0,0,1,214,59.4,83,29.97,30.0667,0,0,8051,7245900,59.4,54.23,2025-04-26T15:31:00.000Z,2025-05-26,4.27,,,2025-05-26 23:01:00-07:00
1748324760000,0.0,0.0,0,0,1,214,59.7,82,29.97,30.0666,0,0,8051,7245900,59.7,54.19,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 22:46:00-07:00
1748323860000,0.0,0.0,0,0,1,214,59.7,81,29.96,30.0566,0,0,8051,7245900,59.7,53.86,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 22:31:00-07:00
1748322960000,0.0,0.0,0,0,1,214,59.5,86,29.96,30.0566,0,0,8051,7245900,59.5,55.31,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 22:16:00-07:00
1748322060000,0.0,0.0,0,0,1,214,59.7,85,29.95,30.0466,0,0,8051,7245900,59.7,55.18,2025-04-26T15:31:00.000Z,2025-05-26,4.28,,,2025-05-26 22:01:00-07:00
1748321160000,0.0,0.0,0,0,1,214,59.9,83,29.95,30.0465,0,0,8051,7245900,59.9,54.72,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 21:46:00-07:00
1748320260000,0.0,0.0,0,0,1,214,60.4,83,29.94,30.0364,0,0,8051,7245900,60.4,55.21,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 21:31:00-07:00
1748319360000,0.0,0.0,0,0,1,214,60.6,82,29.94,30.0364,0,0,8051,7245900,60.6,55.07,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 21:16:00-07:00
1748318460000,0.0,0.0,0,0,1,214,61.0,79,29.94,30.0363,0,0,8051,7245900,61.0,54.44,2025-04-26T15:31:00.000Z,2025-05-26,4.29,,,2025-05-26 21:01:00-07:00
1748317560000,0.0,0.0,0,0,1,214,61.2,79,29.93,30.0262,0,0,8051,7245900,61.2,54.63,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 20:46:00-07:00
1748316660000,0.0,0.0,0,0,1,214,61.7,79,29.93,30.0261,0,0,8051,7245900,61.7,55.12,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 20:31:00-07:00
1748315760000,0.0,0.0,0,0,1,214,62.2,77,29.93,30.026,0,0,8051,7245900,62.2,54.9,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 20:16:00-07:00
1748314860000,0.0,0.0,0,0,1,214,62.8,75,29.93,30.0259,1,480,8050,7245900,62.8,54.75,2025-04-26T15:31:00.000Z,2025-05-26,4.29,,,2025-05-26 20:01:00-07:00
1748313960000,0.0,1.1185,0,0,1,214,63.5,73,29.94,30.0358,4,1680,8046,7245000,63.5,54.69,2025-04-26T15:31:00.000Z,2025-05-26,,,,2025-05-26 19:46:00-07:00
