dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,lastRain,batt1volts,local_time
1750747560000,0.0,1.3422,0,0,1,213,57.9,92,55.59,57.9,29.94,30.0369,0,0,0,8272800,America/Los_Angeles,True,2025-06-23,,,2025-06-23 23:46:00-07:00
1750746660000,0.0,1.1185,0,0,1,213,57.6,93,55.59,57.6,29.93,30.0269,0,0,0,8272800,America/Los_Angeles,True,2025-06-23,,,2025-06-23 23:31:00-07:00
1750745760000,0.0,1.3422,0,0,1,213,57.4,93,55.39,57.4,29.94,30.0369,0,0,0,8272800,America/Los_Angeles,True,2025-06-23,,,2025-06-23 23:16:00-07:00
1750744860000,0.0,0.0,0,0,1,213,57.2,93,55.19,57.2,29.94,30.037,0,0,0,8272800,America/Los_Angeles,True,2025-06-23,,,2025-06-23 23:01:00-07:00
1750743960000,0.0,0.0,0,0,1,213,57.0,93,54.99,57.0,29.94,30.037,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 22:46:00-07:00
1750743060000,0.0,0.0,0,0,1,213,56.8,92,54.5,56.8,29.93,30.027,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 22:31:00-07:00
1750742160000,0.0,0.0,0,0,1,213,56.8,92,54.5,56.8,29.93,30.027,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,4.23,2025-06-23 22:16:00-07:00
1750741260000,0.0,0.0,0,0,1,213,57.0,91,54.4,57.0,29.93,30.027,0,0,9192,8272800,America/Los_Angeles,True,2025-06-23,,,2025-06-23 22:01:00-07:00
1750740360000,0.0,0.0,0,0,1,213,57.2,91,54.6,57.2,29.93,30.027,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 21:46:00-07:00
1750739460000,0.0,0.0,0,0,1,213,57.6,91,54.99,57.6,29.93,30.0269,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,4.23,2025-06-23 21:31:00-07:00
1750738560000,0.0,0.0,0,0,1,213,57.9,90,54.98,57.9,29.93,30.0268,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 21:16:00-07:00
1750737660000,0.0,1.3422,0,0,1,213,58.1,91,55.48,58.1,29.93,30.0268,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 21:01:00-07:00
1750736760000,0.2237,1.3422,0,0,1,213,58.3,91,55.68,58.3,29.93,30.0267,0,0,9192,8272800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 20:46:00-07:00
1750735860000,0.6711,2.0132,0,0,1,213,58.5,90,55.58,58.5,29.93,30.0267,0,0,9189,8270100,,,2025-06-23,2025-04-26T15:31:00.000Z,4.23,2025-06-23 20:31:00-07:00
1750734960000,0.8948,2.4606,0,0,1,213,58.6,90,55.67,58.6,29.93,30.0267,0,0,9189,8272800,America/Los_Angeles,True,2025-06-23,,,2025-06-23 20:16:00-07:00
1750734060000,2.0132,3.5791,0,0,1,213,58.6,89,55.37,58.6,29.93,30.0267,3,1440,9189,8272800,America/Los_Angeles,True,2025-06-23,,,2025-06-23 20:01:00-07:00
1750733160000,2.2369,3.3554,0,0,1,213,59.0,88,55.45,59.0,29.93,30.0266,6,2520,9183,8270100,,,2025-06-23,2025-04-26T15:31:00.000Z,4.24,2025-06-23 19:46:00-07:00
1750732260000,2.2369,4.2502,0,0,1,213,59.2,87,55.33,59.2,29.93,30.0266,9,4320,9174,8264700,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 19:31:00-07:00
1750731360000,1.7895,4.0265,0,0,1,213,59.4,86,55.21,59.4,29.92,30.0165,13,5460,9161,8256600,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 19:16:00-07:00
1750730460000,2.0132,4.0265,0,0,1,213,59.7,85,55.18,59.7,29.92,30.0165,21,10080,9140,8244900,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 19:01:00-07:00
1750729560000,2.0132,3.5791,0,0,1,213,60.1,85,55.57,60.1,29.92,30.0164,42,17640,9098,8226000,,,2025-06-23,2025-04-26T15:31:00.000Z,4.24,2025-06-23 18:46:00-07:00
1750728660000,2.4606,4.9213,0,0,1,213,60.1,85,55.57,60.1,29.93,30.0264,29,13920,9069,8188200,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 18:31:00-07:00
1750727760000,2.4606,5.5923,0,0,1,213,60.3,84,55.44,60.3,29.93,30.0264,31,13020,9038,8162100,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 18:16:00-07:00
1750726860000,2.0132,4.4739,0,0,1,213,60.6,83,55.41,60.6,29.93,30.0263,51,24480,8987,8134200,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 18:01:00-07:00
1750725960000,2.6843,5.3686,0,0,1,213,60.8,82,55.27,60.8,29.93,30.0263,48,20160,8939,8088300,,,2025-06-23,2025-04-26T15:31:00.000Z,4.25,2025-06-23 17:46:00-07:00
1750725060000,1.5659,5.145,0,0,1,213,61.2,82,55.66,61.2,29.93,30.0262,44,21120,8895,8045100,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 17:31:00-07:00
1750724160000,1.5659,5.5923,0,0,1,213,61.3,81,55.42,61.3,29.93,30.0262,51,21420,8844,8005500,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 17:16:00-07:00
1750723260000,2.2369,6.2634,0,0,1,214,61.5,81,55.61,61.5,29.94,30.0362,52,24960,8792,7959600,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 17:01:00-07:00
1750722360000,2.6843,6.2634,0,0,1,214,62.4,79,55.8,62.4,29.94,30.036,56,23520,8736,7912800,,,2025-06-23,2025-04-26T15:31:00.000Z,4.25,2025-06-23 16:46:00-07:00
1750721460000,1.7895,5.816,0,0,1,214,63.0,79,56.38,63.0,29.94,30.0359,59,28320,8677,7862400,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 16:31:00-07:00
1750720560000,2.4606,6.0397,0,0,1,214,63.3,77,55.96,63.3,29.94,30.0359,80,33600,8597,7809300,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 16:16:00-07:00
1750719660000,2.4606,6.9345,0,0,1,222,63.9,75,55.82,63.9,29.94,30.0357,71,34080,8526,7737300,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 16:01:00-07:00
1750718760000,1.7895,6.0397,0,0,1,229,64.2,74,55.73,64.2,29.95,30.0457,80,33600,8446,7673400,,,2025-06-23,2025-04-26T15:31:00.000Z,4.26,2025-06-23 15:46:00-07:00
1750717860000,1.3422,5.145,0,0,1,213,64.8,72,55.56,64.8,29.95,30.0456,170,81600,8276,7601400,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 15:31:00-07:00
1750716960000,2.908,8.053,0,0,1,217,64.9,73,56.03,64.9,29.96,30.0556,84,35280,8192,7448400,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 15:16:00-07:00
1750716060000,2.908,6.7108,0,0,1,218,64.8,73,55.94,64.8,29.96,30.0556,88,42240,8104,7372800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 15:01:00-07:00
1750715160000,3.1317,7.3819,0,0,1,217,65.1,73,56.22,65.1,29.96,30.0556,96,40320,8008,7293600,,,2025-06-23,2025-04-26T15:31:00.000Z,4.27,2025-06-23 14:46:00-07:00
1750714260000,2.4606,6.4871,0,0,1,220,65.5,72,56.23,65.5,29.96,30.0555,93,44640,7915,7207200,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 14:31:00-07:00
1750713360000,2.6843,6.2634,0,0,1,213,65.3,73,56.42,65.3,29.96,30.0556,114,47880,7801,7123500,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 14:16:00-07:00
1750712460000,3.8028,6.2634,0,0,1,213,65.7,73,56.8,65.7,29.96,30.0555,98,47040,7703,7020900,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 14:01:00-07:00
1750711560000,3.1317,5.5923,0,0,1,213,66.0,73,57.09,66.0,29.96,30.0554,122,51240,7581,6932700,,,2025-06-23,2025-04-26T15:31:00.000Z,4.29,2025-06-23 13:46:00-07:00
1750710660000,3.8028,5.816,0,0,1,214,66.0,73,57.09,66.0,29.96,30.0554,111,53280,7470,6822900,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 13:31:00-07:00
1750709760000,3.3554,5.3686,0,0,1,214,66.7,72,57.38,66.7,29.96,30.0553,106,44520,7364,6723000,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 13:16:00-07:00
1750708860000,3.3554,6.2634,0,0,1,218,67.6,71,57.85,67.6,29.95,30.0451,383,183840,6981,6627600,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 13:01:00-07:00
1750707960000,2.6843,5.145,0,0,1,220,67.8,70,57.65,67.8,29.95,30.0451,666,279720,6315,6282900,,,2025-06-23,2025-04-26T15:31:00.000Z,4.36,2025-06-23 12:46:00-07:00
1750707060000,2.2369,4.6976,0,0,1,214,67.8,70,57.65,67.8,29.95,30.0451,801,384480,5514,5683500,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 12:31:00-07:00
1750706160000,2.6843,4.4739,0,0,1,208,67.5,71,57.76,67.5,29.95,30.0451,834,350280,4680,4962600,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 12:16:00-07:00
1750705260000,2.908,4.6976,0,0,1,208,67.1,73,58.15,67.1,29.95,30.0452,821,394080,3859,4212000,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 12:01:00-07:00
1750704360000,2.6843,5.3686,0,0,1,208,66.4,73,57.47,66.4,29.96,30.0554,792,332640,3067,3473100,,,2025-06-23,2025-04-26T15:31:00.000Z,4.27,2025-06-23 11:46:00-07:00
1750703460000,2.6843,4.9213,0,0,1,208,66.0,74,57.47,66.0,29.96,30.0554,326,156480,2741,2760300,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 11:31:00-07:00
1750702560000,2.6843,4.4739,0,0,1,208,65.5,75,57.36,65.5,29.96,30.0555,191,80220,2550,2466900,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 11:16:00-07:00
1750701660000,2.4606,4.6976,0,0,1,208,65.5,75,57.36,65.5,29.95,30.0455,144,69120,2406,2295000,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 11:01:00-07:00
1750700760000,2.2369,4.4739,0,0,1,208,65.5,75,57.36,65.5,29.95,30.0455,149,62580,1214,1226700,,,2025-06-23,2025-04-26T15:31:00.000Z,4.3,2025-06-23 10:46:00-07:00
1750699860000,2.0132,4.2502,0,0,1,208,65.1,76,57.34,65.1,29.94,30.0355,468,224640,1363,2031300,America/Los_Angeles,True,2025-06-23,,,2025-06-23 10:31:00-07:00
1750698960000,2.6843,3.8028,0,0,1,208,64.4,77,57.03,64.4,29.95,30.0457,575,241500,1363,1610100,America/Los_Angeles,True,2025-06-23,,,2025-06-23 10:16:00-07:00
1750698060000,2.4606,3.5791,0,0,1,208,63.9,77,56.54,63.9,29.95,30.0458,370,177600,844,1092600,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 10:01:00-07:00
1750697160000,2.2369,3.5791,0,0,1,208,63.5,79,56.87,63.5,29.95,30.0458,77,32340,767,759600,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 09:46:00-07:00
1750696260000,2.0132,3.3554,0,0,1,208,63.1,79,56.48,63.1,29.95,30.0459,74,35520,693,690300,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 09:31:00-07:00
1750695360000,1.7895,2.908,0,0,1,208,62.8,80,56.53,62.8,29.95,30.046,64,26880,629,623700,,,2025-06-23,2025-04-26T15:31:00.000Z,4.2,2025-06-23 09:16:00-07:00
1750694460000,2.0132,2.6843,0,0,1,208,62.1,82,56.54,62.1,29.95,30.0461,63,30240,566,566100,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 09:01:00-07:00
1750693560000,2.0132,2.6843,0,0,1,208,61.5,83,56.29,61.5,29.95,30.0462,84,35280,482,509400,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 08:46:00-07:00
1750692660000,1.7895,2.4606,0,0,1,208,61.2,84,56.32,61.2,29.95,30.0463,200,96000,282,433800,,,2025-06-23,2025-04-26T15:31:00.000Z,,2025-06-23 08:31:00-07:00
