dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,batt1volts,local_time
1751985960000,0,0,0,0,1,210,56.5,97,55.66,56.5,30.09,30.1876,22,3960,29,45900,2025-04-26T15:31:00.000Z,2025-07-08,,,,2025-07-08 07:46:00-07:00
1751985060000,0,0,0,0,1,210,55.0,97,54.16,55.0,30.08,30.1779,17,2040,51,46800,,2025-07-08,America/Los_Angeles,True,,2025-07-08 07:31:00-07:00
1751984160000,0,0,0,0,1,210,54.0,97,53.17,54.0,30.07,30.168,13,1560,16,26100,2025-04-26T15:31:00.000Z,2025-07-08,,,4.19,2025-07-08 07:16:00-07:00
1751982360000,0,0,0,0,1,210,53.2,97,52.37,53.2,30.06,30.1581,16,2880,0,14400,2025-04-26T15:31:00.000Z,2025-07-08,,,3.95,2025-07-08 06:46:00-07:00
1751981460000,0,0,0,0,1,210,53.2,97,52.37,53.2,30.06,30.1581,5,900,51,5400,,2025-07-08,America/Los_Angeles,True,4.07,2025-07-08 06:31:00-07:00
1751980560000,0,0,0,0,1,210,53.4,97,52.57,53.4,30.06,30.1581,1,180,51,900,,2025-07-08,America/Los_Angeles,True,,2025-07-08 06:16:00-07:00
1751979660000,0,0,0,0,1,210,53.8,97,52.97,53.8,30.05,30.148,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 06:01:00-07:00
1751978760000,0,0,0,0,1,210,54.7,97,53.86,54.7,30.04,30.1378,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 05:46:00-07:00
1751977860000,0,0,0,0,1,210,54.9,97,54.06,54.9,30.04,30.1377,0,0,51,0,,2025-07-08,America/Los_Angeles,True,4.2,2025-07-08 05:31:00-07:00
1751976960000,0,0,0,0,1,210,55.0,97,54.16,55.0,30.04,30.1377,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 05:16:00-07:00
1751976060000,0,0,0,0,1,210,55.2,97,54.36,55.2,30.04,30.1377,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 05:01:00-07:00
1751975160000,0,0,0,0,1,210,55.4,97,54.56,55.4,30.04,30.1377,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 04:46:00-07:00
1751974260000,0,0,0,0,1,210,55.4,96,54.28,55.4,30.04,30.1377,0,0,51,0,,2025-07-08,America/Los_Angeles,True,4.2,2025-07-08 04:31:00-07:00
1751973360000,0,0,0,0,1,210,55.2,95,53.79,55.2,30.03,30.1277,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 04:16:00-07:00
1751972460000,0,0,0,0,1,210,55.2,95,53.79,55.2,30.03,30.1277,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 04:01:00-07:00
1751971560000,0,0,0,0,1,210,55.4,94,53.7,55.4,30.03,30.1276,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 03:46:00-07:00
1751970660000,0,0,0,0,1,210,55.8,94,54.1,55.8,30.04,30.1376,0,0,51,0,,2025-07-08,America/Los_Angeles,True,4.21,2025-07-08 03:31:00-07:00
1751969760000,0,0,0,0,1,210,55.9,94,54.2,55.9,30.04,30.1376,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 03:16:00-07:00
1751968860000,0,0,0,0,1,210,55.9,94,54.2,55.9,30.04,30.1376,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 03:01:00-07:00
1751967960000,0,0,0,0,1,210,56.3,94,54.59,56.3,30.04,30.1375,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 02:46:00-07:00
1751967060000,0,0,0,0,1,210,56.5,93,54.5,56.5,30.04,30.1374,0,0,51,0,,2025-07-08,America/Los_Angeles,True,4.2,2025-07-08 02:31:00-07:00
1751966160000,0,0,0,0,1,210,56.5,92,54.2,56.5,30.04,30.1374,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 02:16:00-07:00
1751965260000,0,0,0,0,1,210,56.7,92,54.4,56.7,30.04,30.1374,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 02:01:00-07:00
1751964360000,0,0,0,0,1,210,56.8,92,54.5,56.8,30.05,30.1474,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 01:46:00-07:00
1751963460000,0,0,0,0,1,210,57.0,92,54.7,57.0,30.04,30.1373,0,0,51,0,,2025-07-08,America/Los_Angeles,True,4.2,2025-07-08 01:31:00-07:00
1751962560000,0,0,0,0,1,210,57.2,92,54.9,57.2,30.05,30.1473,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 01:16:00-07:00
1751961660000,0,0,0,0,1,210,57.2,91,54.6,57.2,30.04,30.1373,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 01:01:00-07:00
1751960760000,0,0,0,0,1,210,57.2,91,54.6,57.2,30.04,30.1373,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 00:46:00-07:00
1751959860000,0,0,0,0,1,210,57.4,92,55.09,57.4,30.04,30.1373,0,0,51,0,,2025-07-08,America/Los_Angeles,True,4.2,2025-07-08 00:31:00-07:00
1751958960000,0,0,0,0,1,210,57.2,92,54.9,57.2,30.04,30.1373,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 00:16:00-07:00
1751958060000,0,0,0,0,1,210,57.0,92,54.7,57.0,30.04,30.1373,0,0,51,0,,2025-07-08,America/Los_Angeles,True,,2025-07-08 00:01:00-07:00
