dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,local_time
1757485020000,0.0,0.0,0,0,1,11,67.6,73,4.3,58.63,67.6,29.85,29.9448,0,0,0,0,2025-04-26T15:31:00.000Z,2025-09-09,,,2025-09-09 23:17:00-07:00
1757484120000,0.0,0.0,0,0,1,11,68.2,72,,58.82,68.1,29.85,29.9447,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 23:02:00-07:00
1757483220000,0.0,2.4606,0,0,1,11,68.2,72,,58.82,68.1,29.85,29.9447,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 22:47:00-07:00
1757482320000,0.0,0.0,0,0,1,11,68.0,70,,57.84,68.0,29.85,29.9447,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 22:32:00-07:00
1757481420000,0.0,0.0,0,0,1,11,68.7,68,4.3,57.7,68.47,29.85,29.9446,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 22:17:00-07:00
1757480520000,0.0,1.5659,0,0,1,11,69.8,66,,57.92,69.58,29.85,29.9444,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 22:02:00-07:00
1757479620000,0.8948,4.2502,0,0,1,11,70.7,63,,57.47,70.43,29.85,29.9442,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 21:47:00-07:00
1757478720000,2.2369,4.6976,0,0,1,9,71.2,60,,56.59,70.84,29.84,29.9341,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 21:32:00-07:00
1757477820000,4.0265,8.053,0,0,1,4,71.1,60,4.32,56.5,70.73,29.84,29.9341,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 21:17:00-07:00
1757476920000,1.1185,4.6976,0,0,1,30,70.9,60,,56.31,70.51,29.84,29.9342,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 21:02:00-07:00
1757476020000,0.8948,3.8028,0,0,1,30,71.2,60,,56.59,70.84,29.83,29.9241,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 20:47:00-07:00
1757475120000,0.0,0.0,0,0,1,30,72.1,58,,56.49,71.74,29.83,29.9239,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 20:32:00-07:00
1757474220000,0.4474,3.3554,0,0,1,30,72.9,57,4.33,56.76,72.57,29.82,29.9137,0,0,5688,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 20:17:00-07:00
1757473320000,1.7895,4.0265,0,0,1,30,73.4,57,,57.23,73.12,29.82,29.9137,0,0,5686,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 20:02:00-07:00
1757472420000,1.3422,5.3686,0,0,1,229,73.9,58,,58.18,73.72,29.82,29.9136,0,0,5681,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 19:47:00-07:00
1757471520000,0.6711,1.7895,0,0,1,227,74.3,59,,59.03,74.2,29.82,29.9135,0,0,5686,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 19:32:00-07:00
1757470620000,0.2237,2.2369,0,0,1,227,74.7,61,4.34,60.34,74.74,29.82,29.9134,0,0,5686,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 19:17:00-07:00
1757469720000,0.0,0.0,0,0,1,227,75.4,60,,60.53,75.46,29.81,29.9033,2,360,5681,5119200,,2025-09-09,America/Los_Angeles,True,2025-09-09 19:02:00-07:00
1757468820000,0.4474,2.4606,0,0,1,227,76.1,60,,61.19,76.23,29.81,29.9032,5,900,5660,5117400,,2025-09-09,America/Los_Angeles,True,2025-09-09 18:47:00-07:00
1757467920000,1.3422,4.2502,0,0,1,227,76.5,61,,62.03,76.72,29.81,29.9031,9,1620,5621,5112900,,2025-09-09,America/Los_Angeles,True,2025-09-09 18:32:00-07:00
1757467020000,2.0132,4.0265,0,0,1,247,76.6,63,4.34,63.04,76.92,29.81,29.9031,12,2160,5572,5104800,,2025-09-09,America/Los_Angeles,True,2025-09-09 18:17:00-07:00
1757466120000,0.2237,3.1317,0,0,1,246,76.3,65,,63.65,76.69,29.82,29.9132,16,2880,5572,5094000,,2025-09-09,America/Los_Angeles,True,2025-09-09 18:02:00-07:00
1757465220000,0.0,0.0,0,0,1,217,75.6,67,,63.85,76.01,29.82,29.9133,23,4140,5572,5079600,,2025-09-09,America/Los_Angeles,True,2025-09-09 17:47:00-07:00
1757464320000,0.2237,2.0132,0,0,1,217,75.0,70,,64.54,75.49,29.82,29.9134,23,4140,5572,5058900,,2025-09-09,America/Los_Angeles,True,2025-09-09 17:32:00-07:00
1757463420000,1.5659,3.1317,0,0,1,217,74.5,71,4.36,64.46,74.99,29.82,29.9135,26,4680,5544,5038200,,2025-09-09,America/Los_Angeles,True,2025-09-09 17:17:00-07:00
1757462520000,1.7895,3.8028,0,0,1,217,74.1,73,,64.88,74.64,29.83,29.9236,28,5040,5509,5014800,,2025-09-09,America/Los_Angeles,True,2025-09-09 17:02:00-07:00
1757461620000,1.3422,3.8028,0,0,1,217,73.2,77,,65.54,73.84,29.83,29.9237,35,6300,5426,4989600,,2025-09-09,America/Los_Angeles,True,2025-09-09 16:47:00-07:00
1757460720000,1.7895,4.0265,0,0,1,217,72.7,78,,65.43,73.34,29.84,29.9338,45,8100,5386,4958100,,2025-09-09,America/Los_Angeles,True,2025-09-09 16:32:00-07:00
1757459820000,2.0132,3.5791,0,0,1,217,72.5,79,4.37,65.61,73.16,29.84,29.9339,38,6840,4671,4917600,,2025-09-09,America/Los_Angeles,True,2025-09-09 16:17:00-07:00
1757458920000,2.0132,3.8028,0,0,1,217,72.5,80,,65.97,73.21,29.85,29.9439,40,7200,4671,4883400,,2025-09-09,America/Los_Angeles,True,2025-09-09 16:02:00-07:00
1757458020000,1.7895,4.0265,0,0,1,217,72.7,79,,65.8,73.38,29.85,29.9439,43,7740,4304,4847400,,2025-09-09,America/Los_Angeles,True,2025-09-09 15:47:00-07:00
1757457120000,2.2369,4.2502,0,0,1,217,73.0,79,,66.09,73.71,29.86,29.9539,102,18360,4201,4808700,,2025-09-09,America/Los_Angeles,True,2025-09-09 15:32:00-07:00
1757456220000,2.0132,4.6976,0,0,1,217,73.0,79,4.62,66.09,73.71,29.87,29.9639,570,102600,4201,4716900,,2025-09-09,America/Los_Angeles,True,2025-09-09 15:17:00-07:00
1757455320000,2.2369,4.2502,0,0,1,217,72.9,78,,65.63,73.56,29.88,29.9739,367,66060,4201,4203900,,2025-09-09,America/Los_Angeles,True,2025-09-09 15:02:00-07:00
1757454420000,2.0132,4.6976,0,0,1,217,72.9,77,,65.25,73.51,29.88,29.9739,103,18540,4091,3873600,,2025-09-09,America/Los_Angeles,True,2025-09-09 14:47:00-07:00
1757453520000,2.6843,4.4739,0,0,1,217,72.9,78,,65.63,73.56,29.89,29.984,56,10080,3900,3780900,,2025-09-09,America/Los_Angeles,True,2025-09-09 14:32:00-07:00
1757452620000,2.0132,4.0265,0,0,1,217,72.9,78,4.38,65.63,73.56,29.9,29.994,54,9720,3900,3730500,,2025-09-09,America/Los_Angeles,True,2025-09-09 14:17:00-07:00
1757451720000,2.6843,4.6976,0,0,1,217,72.7,78,,65.43,73.34,29.91,30.0041,60,10800,3809,3681900,,2025-09-09,America/Los_Angeles,True,2025-09-09 14:02:00-07:00
1757450820000,3.1317,4.6976,0,0,1,217,73.0,78,,65.72,73.67,29.91,30.004,131,23580,3809,3627900,,2025-09-09,America/Los_Angeles,True,2025-09-09 13:47:00-07:00
1757449920000,3.1317,4.6976,0,0,1,217,73.4,77,,65.74,74.06,29.91,30.0039,91,16380,3748,3510000,,2025-09-09,America/Los_Angeles,True,2025-09-09 13:32:00-07:00
1757449020000,2.6843,4.9213,0,0,1,215,73.2,77,4.41,65.54,73.84,29.91,30.004,61,10980,3672,3428100,,2025-09-09,America/Los_Angeles,True,2025-09-09 13:17:00-07:00
