dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,local_time
1763797740000,0.0,0.0,0,0,1,179,48.0,95,4.09,46.64,48.0,30.01,30.109,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 23:49:00-08:00
1763796840000,0.0,0.0,0,0,1,179,48.2,95,,46.84,48.2,30.01,30.1089,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 23:34:00-08:00
1763795940000,0.0,0.0,0,0,1,179,48.2,95,,46.84,48.2,30.01,30.1089,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 23:19:00-08:00
1763795040000,0.0,0.0,0,0,1,179,48.6,95,,47.23,48.6,30.02,30.1189,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 23:04:00-08:00
1763794140000,0.0,0.0,0,0,1,179,48.9,94,4.09,47.25,48.9,30.02,30.1188,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 22:49:00-08:00
1763793240000,0.2237,1.5659,0,0,1,179,48.9,94,,47.25,48.9,30.02,30.1188,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 22:34:00-08:00
1763792340000,0.0,0.0,0,0,1,179,48.9,94,,47.25,48.9,30.02,30.1188,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 22:19:00-08:00
1763791440000,0.0,0.0,0,0,1,179,48.9,95,,47.53,48.9,30.02,30.1188,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 22:04:00-08:00
1763790540000,0.0,0.0,0,0,1,179,49.1,95,4.09,47.73,49.1,30.02,30.1188,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 21:49:00-08:00
1763789640000,0.0,0.0,0,0,1,179,49.5,95,,48.13,49.5,30.01,30.1087,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 21:34:00-08:00
1763788740000,0.0,0.0,0,0,1,179,49.8,95,,48.43,49.8,30.01,30.1086,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 21:19:00-08:00
1763787840000,0.0,0.0,0,0,1,179,50.2,94,,48.54,50.2,30.01,30.1086,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 21:04:00-08:00
1763786940000,0.0,0.0,0,0,1,179,50.5,93,4.09,48.55,50.5,30.01,30.1085,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 20:49:00-08:00
1763786040000,0.0,0.0,0,0,1,179,50.7,93,,48.75,50.7,30.01,30.1085,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 20:34:00-08:00
1763785140000,0.0,0.0,0,0,1,179,50.9,94,,49.23,50.9,30.01,30.1084,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 20:19:00-08:00
1763784240000,0.0,0.0,0,0,1,179,51.4,93,,49.44,51.4,30.01,30.1083,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 20:04:00-08:00
1763783340000,0.0,0.0,0,0,1,179,51.8,93,4.1,49.84,51.8,30.01,30.1082,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 19:49:00-08:00
1763782440000,0.0,0.0,0,0,1,179,52.3,92,,50.04,52.3,30.0,30.0981,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 19:34:00-08:00
1763781540000,0.0,0.0,0,0,1,179,52.9,91,,50.34,52.9,30.0,30.098,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 19:19:00-08:00
1763780640000,0.0,0.0,0,0,1,179,53.2,91,,50.64,53.2,30.0,30.0979,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 19:04:00-08:00
1763779740000,0.0,0.0,0,0,1,179,53.6,91,4.1,51.04,53.6,30.0,30.0979,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 18:49:00-08:00
1763778840000,0.0,0.0,0,0,1,179,54.1,90,,51.23,54.1,29.99,30.0877,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 18:34:00-08:00
1763777940000,0.0,0.0,0,0,1,179,54.7,89,,51.52,54.7,29.99,30.0876,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 18:19:00-08:00
1763777040000,0.0,0.0,0,0,1,179,55.2,88,,51.71,55.2,29.98,30.0775,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 18:04:00-08:00
1763776140000,0.0,0.0,0,0,1,179,55.8,86,4.1,51.67,55.8,29.98,30.0774,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 17:49:00-08:00
1763775240000,0.0,1.7895,0,0,1,179,56.3,86,,52.17,56.3,29.98,30.0773,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 17:34:00-08:00
1763774340000,0.0,0.0,0,0,1,179,57.2,84,,52.41,57.2,29.98,30.0771,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 17:19:00-08:00
1763773440000,0.0,0.0,0,0,1,179,57.7,83,,52.57,57.7,29.97,30.067,0,0,1579,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 17:04:00-08:00
1763772540000,0.0,0.0,0,0,1,179,58.5,81,4.1,52.69,58.5,29.97,30.0668,1,480,1578,1421100,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 16:49:00-08:00
1763771640000,0.0,0.0,0,0,1,179,59.7,79,,53.17,59.7,29.96,30.0566,4,1680,1574,1420200,2025-10-14T14:47:00.000Z,2025-11-21,2025-11-21 16:34:00-08:00
