dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time
1764229740000,0.0,0.0,0,0,1,169,50.0,88,46.59,50.0,30.08,30.1788,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 23:49:00-08:00
1764228900000,0.0,0.0,0,0,1,169,50.4,88,46.98,50.4,30.08,30.1787,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 23:35:00-08:00
1764227940000,0.0,0.0,0,0,1,169,50.4,86,46.37,50.4,30.08,30.1787,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 23:19:00-08:00
1764227100000,0.2237,2.2369,0,0,1,169,50.5,87,46.78,50.5,30.08,30.1787,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,4.21,,,2025-11-26 23:05:00-08:00
1764226200000,0.0,0.0,0,0,1,169,50.9,87,47.17,50.9,30.09,30.1887,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 22:50:00-08:00
1764225240000,0.0,0.0,0,0,1,169,51.1,86,47.06,51.1,30.09,30.1886,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 22:34:00-08:00
1764224400000,0.0,0.0,0,0,1,169,51.4,86,47.35,51.4,30.09,30.1886,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 22:20:00-08:00
1764223440000,0.0,1.1185,0,0,1,169,51.6,86,47.55,51.6,30.09,30.1885,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,4.21,,,2025-11-26 22:04:00-08:00
1764222540000,0.0,2.0132,0,0,1,169,51.8,87,48.05,51.8,30.09,30.1885,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 21:49:00-08:00
1764221700000,0.0,0.0,0,0,1,169,52.2,85,47.83,52.2,30.09,30.1884,0,0,4367,3930300,2025-10-14T14:47:00.000Z,2025-11-26,,,,2025-11-26 21:35:00-08:00
