dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,batt1volts,lastRain,local_time
1768031400000,0.0,0.0,0,0,1,1,41.9,91,39.47,41.9,30.42,30.5216,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 23:50:00-08:00
1768030500000,0.0,0.0,0,0,1,1,42.3,91,39.86,42.3,30.42,30.5215,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 23:35:00-08:00
1768029600000,0.0,0.0,0,0,1,1,42.3,91,39.86,42.3,30.42,30.5215,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 23:20:00-08:00
1768028700000,0.0,0.0,0,0,1,1,42.4,92,40.24,42.4,30.42,30.5215,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,4.21,,2026-01-09 23:05:00-08:00
1768027800000,0.0,0.0,0,0,1,1,42.8,92,40.64,42.8,30.41,30.5113,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 22:50:00-08:00
1768026900000,0.0,0.0,0,0,1,1,43.3,92,41.13,43.3,30.41,30.5112,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 22:35:00-08:00
1768026000000,0.0,0.0,0,0,1,1,43.9,91,41.45,43.9,30.41,30.5111,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 22:20:00-08:00
1768025100000,0.0,0.0,0,0,1,1,44.2,91,41.74,44.2,30.41,30.5111,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,4.21,,2026-01-09 22:05:00-08:00
1768024200000,0.0,0.0,0,0,1,1,44.4,92,42.22,44.4,30.41,30.511,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 21:50:00-08:00
1768023300000,0.0,0.0,0,0,1,1,44.4,93,42.5,44.4,30.4,30.501,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 21:35:00-08:00
1768022400000,0.0,0.0,0,0,1,1,44.6,93,42.7,44.6,30.4,30.5009,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 21:20:00-08:00
1768021500000,0.0,0.0,0,0,1,1,44.8,92,42.62,44.8,30.4,30.5009,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,4.21,,2026-01-09 21:05:00-08:00
1768020600000,0.0,0.0,0,0,1,1,45.1,92,42.92,45.1,30.4,30.5008,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 20:50:00-08:00
1768019700000,0.0,0.0,0,0,1,1,45.5,91,43.03,45.5,30.4,30.5008,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 20:35:00-08:00
1768018800000,0.0,1.3422,0,0,1,1,45.9,89,42.84,45.9,30.4,30.5007,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 20:20:00-08:00
1768017900000,0.0,0.0,0,0,1,1,46.4,88,43.04,46.4,30.39,30.4905,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,4.21,,2026-01-09 20:05:00-08:00
1768017000000,0.0,0.0,0,0,1,1,46.9,88,43.53,46.9,30.39,30.4904,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 19:50:00-08:00
1768016100000,0.0,0.0,0,0,1,1,47.3,87,43.63,47.3,30.39,30.4904,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 19:35:00-08:00
1768015200000,0.0,0.0,0,0,1,1,47.8,87,44.12,47.8,30.39,30.4903,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 19:20:00-08:00
1768014300000,0.2237,2.0132,0,0,1,1,48.0,86,44.01,48.0,30.38,30.4802,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,4.22,,2026-01-09 19:05:00-08:00
1768013400000,0.0,0.0,0,0,1,1,48.4,85,44.1,48.4,30.38,30.4801,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 18:50:00-08:00
1768012500000,0.0,0.0,0,0,1,1,49.1,83,44.16,49.1,30.38,30.48,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 18:35:00-08:00
1768011600000,0.0,0.0,0,0,1,1,49.8,82,44.53,49.8,30.38,30.4798,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 18:20:00-08:00
1768010700000,0.0,0.0,0,0,1,1,50.5,80,44.56,50.5,30.37,30.4697,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,4.21,,2026-01-09 18:05:00-08:00
1768009800000,0.0,0.0,0,0,1,1,51.6,78,44.97,51.6,30.37,30.4695,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 17:50:00-08:00
1768008900000,0.0,0.0,0,0,1,1,52.7,75,45.0,52.7,30.37,30.4692,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 17:35:00-08:00
1768008000000,0.0,0.0,0,0,1,1,54.0,73,45.54,54.0,30.37,30.469,0,0,62,3920400,America/Los_Angeles,True,2026-01-09,,,2026-01-09 17:20:00-08:00
1768007100000,0.0,0.0,0,0,1,1,54.9,70,45.3,54.9,30.37,30.4688,3,540,62,3920400,America/Los_Angeles,True,2026-01-09,4.23,,2026-01-09 17:05:00-08:00
1768006200000,0.0,0.0,0,0,1,1,55.8,68,45.4,55.8,30.37,30.4686,7,1260,62,3917700,America/Los_Angeles,True,2026-01-09,,,2026-01-09 16:50:00-08:00
