dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,batt1volts,local_time
1778568720000,0.0,1.3422,0,0,1,208,56.5,97,55.66,29.95,30.0472,0,0,0,8215200,America/Los_Angeles,True,56.5,2026-05-11,,,2026-05-11 23:52:00-07:00
1778567820000,0.0,0.0,0,0,1,208,56.5,97,55.66,29.96,30.0572,0,0,9128,8215200,,,56.5,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 23:37:00-07:00
1778566920000,0.0,0.0,0,0,1,208,56.5,97,55.66,29.96,30.0572,0,0,9128,8215200,,,56.5,2026-05-11,2026-05-07T15:52:00.000Z,4.29,2026-05-11 23:22:00-07:00
1778566020000,0.0,1.7895,0,0,1,208,56.7,96,55.57,29.96,30.0571,0,0,9128,8215200,,,56.7,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 23:07:00-07:00
1778565120000,0.0,0.0,0,0,1,208,56.8,97,55.96,29.97,30.0672,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 22:52:00-07:00
1778564220000,0.0,0.0,0,0,1,208,56.8,97,55.96,29.97,30.0672,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 22:37:00-07:00
1778563320000,0.0,0.0,0,0,1,208,56.8,96,55.67,29.97,30.0672,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,4.3,2026-05-11 22:22:00-07:00
1778562420000,0.0,0.0,0,0,1,208,56.8,96,55.67,29.96,30.0571,0,0,9128,8215200,America/Los_Angeles,True,56.8,2026-05-11,,,2026-05-11 22:07:00-07:00
1778561520000,0.0,0.0,0,0,1,208,56.8,96,55.67,29.96,30.0571,0,0,9128,8215200,America/Los_Angeles,True,56.8,2026-05-11,,,2026-05-11 21:52:00-07:00
1778560620000,0.0,0.8948,0,0,1,208,56.8,96,55.67,29.95,30.0471,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,4.31,2026-05-11 21:37:00-07:00
1778559720000,0.2237,2.2369,0,0,1,208,56.8,96,55.67,29.94,30.0371,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 21:22:00-07:00
1778558820000,0.0,0.0,0,0,1,208,56.8,96,55.67,29.94,30.0371,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 21:07:00-07:00
1778557920000,0.0,2.2369,0,0,1,208,56.8,96,55.67,29.94,30.0371,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 20:52:00-07:00
1778557020000,0.2237,2.0132,0,0,1,208,56.8,96,55.67,29.94,30.0371,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,4.32,2026-05-11 20:37:00-07:00
1778556120000,0.6711,4.4739,0,0,1,208,56.8,95,55.38,29.94,30.0371,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 20:22:00-07:00
1778555220000,0.2237,2.908,0,0,1,208,56.8,95,55.38,29.94,30.0371,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 20:07:00-07:00
1778554320000,0.6711,3.3554,0,0,1,208,56.8,95,55.38,29.94,30.0371,0,0,9128,8215200,,,56.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 19:52:00-07:00
1778553420000,0.6711,3.5791,0,0,1,208,57.0,95,55.58,29.95,30.0471,4,3600,9124,8215200,,,57.0,2026-05-11,2026-05-07T15:52:00.000Z,4.32,2026-05-11 19:37:00-07:00
1778552520000,1.1185,3.8028,0,0,1,208,57.0,94,55.29,29.95,30.0471,12,10800,9112,8211600,,,57.0,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 19:22:00-07:00
1778551620000,1.3422,3.8028,0,0,1,208,57.2,94,55.49,29.95,30.047,21,18900,9091,8200800,,,57.2,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 19:07:00-07:00
1778550720000,0.6711,2.908,0,0,1,208,57.2,94,55.49,29.95,30.047,28,25200,9063,8181900,,,57.2,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 18:52:00-07:00
1778549820000,1.3422,4.0265,0,0,1,208,57.4,93,55.39,29.95,30.047,38,34200,9025,8156700,,,57.4,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 18:37:00-07:00
1778548920000,1.5659,4.4739,0,0,1,208,57.7,93,55.69,29.95,30.0469,53,47700,8972,8122500,,,57.7,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 18:22:00-07:00
1778548020000,1.5659,3.8028,0,0,1,208,57.7,93,55.69,29.95,30.0469,69,62100,8903,8074800,,,57.7,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 18:07:00-07:00
1778547120000,0.8948,4.2502,0,0,1,208,57.7,92,55.39,29.95,30.0469,82,73800,8821,8012700,,,57.7,2026-05-11,2026-05-07T15:52:00.000Z,4.34,2026-05-11 17:52:00-07:00
1778546220000,1.1185,4.2502,0,0,1,208,57.9,92,55.59,29.96,30.0569,90,81000,8731,7938900,,,57.9,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 17:37:00-07:00
1778545320000,0.8948,3.5791,0,0,1,208,57.9,92,55.59,29.96,30.0569,105,94500,8626,7857900,,,57.9,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 17:22:00-07:00
1778544420000,0.2237,2.908,0,0,1,208,58.1,91,55.48,29.96,30.0569,121,108900,8505,7763400,,,58.1,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 17:07:00-07:00
1778543520000,1.5659,5.3686,0,0,1,208,57.9,91,55.29,29.97,30.067,135,121500,8370,7654500,,,57.9,2026-05-11,2026-05-07T15:52:00.000Z,4.37,2026-05-11 16:52:00-07:00
1778542620000,2.0132,4.4739,0,0,1,208,57.9,91,55.29,29.97,30.067,147,132300,8223,7533000,,,57.9,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 16:37:00-07:00
1778541720000,1.5659,3.8028,0,0,1,208,58.1,90,55.18,29.97,30.0669,166,149400,8057,7400700,,,58.1,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 16:22:00-07:00
1778540820000,1.5659,3.3554,0,0,1,208,58.1,90,55.18,29.97,30.0669,186,167400,7871,7251300,,,58.1,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 16:07:00-07:00
1778539920000,2.0132,4.0265,0,0,1,208,58.3,90,55.38,29.97,30.0669,202,181800,7669,7083900,,,58.3,2026-05-11,2026-05-07T15:52:00.000Z,4.43,2026-05-11 15:52:00-07:00
1778539020000,2.2369,3.8028,0,0,1,208,58.3,89,55.07,29.98,30.0769,230,207000,7439,6902100,,,58.3,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 15:37:00-07:00
1778538120000,2.2369,4.0265,0,0,1,208,58.8,88,55.25,29.98,30.0768,266,239400,7173,6695100,,,58.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 15:22:00-07:00
1778537220000,2.2369,3.8028,0,0,1,208,59.4,87,55.53,29.99,30.0867,280,252000,6893,6455700,,,59.4,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 15:07:00-07:00
1778536320000,2.0132,4.0265,0,0,1,208,59.5,87,55.63,29.99,30.0867,297,267300,6596,6203700,,,59.5,2026-05-11,2026-05-07T15:52:00.000Z,4.47,2026-05-11 14:52:00-07:00
1778535420000,2.0132,3.8028,0,0,1,208,59.7,87,55.82,29.99,30.0867,312,280800,6284,5936400,,,59.7,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 14:37:00-07:00
1778534520000,1.7895,3.5791,0,0,1,208,59.0,88,55.45,30.0,30.0968,342,307800,5942,5655600,,,59.0,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 14:22:00-07:00
1778533620000,2.2369,4.2502,0,0,1,208,58.8,88,55.25,30.0,30.0969,390,351000,5552,5347800,,,58.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 14:07:00-07:00
1778532720000,2.6843,3.8028,0,0,1,208,58.5,89,55.27,30.0,30.0969,302,271800,5250,4996800,,,58.5,2026-05-11,2026-05-07T15:52:00.000Z,4.44,2026-05-11 13:52:00-07:00
1778531820000,2.6843,4.0265,0,0,1,208,59.0,88,55.45,30.0,30.0968,281,252900,4969,4725000,,,59.0,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 13:37:00-07:00
1778530920000,2.6843,4.0265,0,0,1,208,59.2,88,55.65,29.99,30.0868,299,269100,4670,4472100,,,59.2,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 13:22:00-07:00
1778530020000,2.4606,4.0265,0,0,1,223,59.5,87,55.63,29.99,30.0867,310,279000,4360,4203000,,,59.5,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 13:07:00-07:00
1778529120000,1.7895,3.8028,0,0,1,225,59.2,88,55.65,29.99,30.0868,418,376200,3942,3924000,,,59.2,2026-05-11,2026-05-07T15:52:00.000Z,4.45,2026-05-11 12:52:00-07:00
1778528220000,2.4606,4.0265,0,0,1,222,58.8,89,55.56,29.99,30.0868,349,314100,3593,3547800,,,58.8,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 12:37:00-07:00
1778527320000,2.4606,3.8028,0,0,1,222,58.3,90,55.38,29.99,30.0869,314,282600,3279,3233700,,,58.3,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 12:22:00-07:00
1778526420000,1.5659,3.5791,0,0,1,222,58.3,90,55.38,29.99,30.0869,277,249300,3002,2951100,,,58.3,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 12:07:00-07:00
1778525520000,2.2369,3.5791,0,0,1,222,57.9,90,54.98,29.99,30.087,274,246600,2728,2701800,,,57.9,2026-05-11,2026-05-07T15:52:00.000Z,4.44,2026-05-11 11:52:00-07:00
1778524620000,2.2369,3.8028,0,0,1,222,58.1,90,55.18,29.98,30.0769,291,261900,2437,2455200,,,58.1,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 11:37:00-07:00
1778523720000,2.0132,4.2502,0,0,1,231,58.1,91,55.48,29.97,30.0669,282,253800,2155,2193300,,,58.1,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 11:22:00-07:00
1778522820000,0.8948,4.0265,0,0,1,226,58.3,91,55.68,29.97,30.0669,284,255600,1871,1939500,,,58.3,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 11:07:00-07:00
1778521920000,1.3422,3.8028,0,0,1,201,57.7,92,55.39,29.98,30.077,271,243900,1600,1683900,,,57.7,2026-05-11,2026-05-07T15:52:00.000Z,4.38,2026-05-11 10:52:00-07:00
1778521020000,1.5659,3.8028,0,0,1,201,57.2,93,55.19,29.97,30.0671,251,225900,1349,1440000,,,57.2,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 10:37:00-07:00
1778520120000,1.7895,3.3554,0,0,1,201,56.7,94,54.99,29.97,30.0672,226,203400,1123,1214100,,,56.7,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 10:22:00-07:00
1778519220000,1.1185,3.8028,0,0,1,201,56.1,95,54.69,29.97,30.0673,205,184500,918,1010700,,,56.1,2026-05-11,2026-05-07T15:52:00.000Z,,2026-05-11 10:07:00-07:00
