dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,tz,historical,local_time
1779000720000,0.0,0.0,0,0,1,11,57.9,78,51.08,29.84,29.9365,0,0,16795,15115500,57.9,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 23:52:00-07:00
1778999820000,0.0,1.3422,0,0,1,11,59.2,74,50.92,29.84,29.9363,0,0,16795,15115500,59.2,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 23:37:00-07:00
1778998920000,0.4474,4.4739,0,0,1,8,60.6,67,49.58,29.85,29.9461,0,0,16795,15115500,60.6,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 23:22:00-07:00
1778998020000,0.0,1.7895,0,0,1,205,59.4,72,50.37,29.85,29.9463,0,0,16795,15115500,59.4,2026-05-07T15:52:00.000Z,2026-05-16,4.31,,,2026-05-16 23:07:00-07:00
1778997120000,0.2237,2.2369,0,0,1,205,58.8,78,51.95,29.85,29.9464,0,0,16795,15115500,58.8,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 22:52:00-07:00
1778996220000,0.6711,2.908,0,0,1,205,59.5,76,51.93,29.86,29.9563,0,0,16795,15115500,59.5,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 22:37:00-07:00
1778995320000,0.2237,1.7895,0,0,1,205,60.3,73,51.61,29.86,29.9562,0,0,16795,15115500,60.3,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 22:22:00-07:00
1778994420000,0.6711,2.908,0,0,1,205,60.4,68,49.79,29.85,29.9461,0,0,16795,15115500,60.4,2026-05-07T15:52:00.000Z,2026-05-16,4.31,,,2026-05-16 22:07:00-07:00
1778993520000,0.0,1.1185,0,0,1,205,59.9,73,51.22,29.85,29.9462,0,0,16795,15115500,59.9,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 21:52:00-07:00
1778992620000,0.0,1.5659,0,0,1,205,60.6,72,51.52,29.84,29.936,0,0,16795,15115500,60.6,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 21:37:00-07:00
1778991720000,0.0,0.8948,0,0,1,205,61.0,72,51.91,29.84,29.936,0,0,16795,15115500,61.0,2026-05-07T15:52:00.000Z,2026-05-16,,,,2026-05-16 21:22:00-07:00
1778990820000,0.0,0.0,0,0,1,205,61.3,71,51.81,29.83,29.9259,0,0,16795,15115500,61.3,2026-05-07T15:52:00.000Z,2026-05-16,4.32,,,2026-05-16 21:07:00-07:00
