dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,local_time
1782543120000,0.0,0.0,0,0,1,202,59.2,94,4.24,57.47,29.95,30.0466,0,0,5585,5026500,59.2,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 23:52:00-07:00
1782542220000,0.0,0.8948,0,0,1,202,57.9,92,,55.59,29.95,30.0469,0,0,5585,5026500,57.9,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 23:37:00-07:00
1782541320000,0.2237,2.0132,0,0,1,202,57.6,89,,54.38,29.95,30.0469,0,0,5585,5026500,57.6,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 23:22:00-07:00
1782540420000,0.0,0.0,0,0,1,202,57.7,88,,54.17,29.95,30.0469,0,0,5585,5026500,57.7,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 23:07:00-07:00
1782539520000,0.0,0.0,0,0,1,202,58.3,89,4.25,55.07,29.95,30.0468,0,0,5585,5026500,58.3,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 22:52:00-07:00
1782538620000,0.0,0.0,0,0,1,202,58.5,89,,55.27,29.95,30.0468,0,0,5585,5026500,58.5,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 22:37:00-07:00
1782537720000,0.0,0.0,0,0,1,202,58.8,88,,55.25,29.96,30.0568,0,0,5585,5026500,58.8,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 22:22:00-07:00
1782536820000,0.0,0.0,0,0,1,202,59.0,88,,55.45,29.95,30.0467,0,0,5585,5026500,59.0,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 22:07:00-07:00
1782535920000,0.0,0.0,0,0,1,202,59.7,87,4.25,55.82,29.95,30.0466,0,0,5585,5026500,59.7,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 21:52:00-07:00
1782535020000,0.0,0.0,0,0,1,202,60.3,87,,56.41,29.94,30.0364,0,0,5585,5026500,60.3,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 21:37:00-07:00
1782534120000,0.0,0.0,0,0,1,202,60.8,86,,56.58,29.93,30.0263,0,0,5585,5026500,60.8,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 21:22:00-07:00
1782533220000,0.0,0.0,0,0,1,202,61.3,85,,56.75,29.94,30.0362,0,0,5585,5026500,61.3,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 21:07:00-07:00
1782532320000,0.0,0.0,0,0,1,202,61.9,84,4.25,57.01,29.93,30.0261,0,0,5585,5026500,61.9,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 20:52:00-07:00
1782531420000,0.0,0.0,0,0,1,202,62.4,83,,57.16,29.93,30.026,0,0,5585,5026500,62.4,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 20:37:00-07:00
1782530520000,0.0,0.0,0,0,1,202,62.8,82,,57.22,29.93,30.0259,0,0,5585,5026500,62.8,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 20:22:00-07:00
1782529620000,0.0,0.0,0,0,1,202,63.1,81,,57.17,29.93,30.0259,2,1800,5583,5026500,63.1,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 20:07:00-07:00
1782528720000,0.0,0.0,0,0,1,202,63.3,80,4.25,57.02,29.93,30.0258,6,5400,5577,5024700,63.3,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 19:52:00-07:00
1782527820000,0.0,0.0,0,0,1,202,63.7,79,,57.06,29.93,30.0257,9,8100,5568,5019300,63.7,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 19:37:00-07:00
1782526920000,0.0,0.0,0,0,1,202,64.0,78,,57.0,29.93,30.0257,13,11700,5555,5011200,64.0,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 19:22:00-07:00
1782526020000,0.0,1.5659,0,0,1,202,64.0,79,,57.35,29.93,30.0257,17,15300,5538,4999500,64.0,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 19:07:00-07:00
1782525120000,0.0,0.0,0,0,1,202,63.7,82,4.25,58.1,29.93,30.0257,69,62100,5469,4984200,63.7,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 18:52:00-07:00
1782524220000,0.8948,3.5791,0,0,1,202,63.5,83,,58.24,29.93,30.0258,36,32400,5433,4922100,63.5,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 18:37:00-07:00
1782523320000,1.3422,2.908,0,0,1,202,63.9,83,,58.63,29.93,30.0257,34,30600,5399,4889700,63.9,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 18:22:00-07:00
1782522420000,1.3422,3.1317,0,0,1,202,64.0,82,,58.39,29.94,30.0357,42,37800,5357,4859100,64.0,2026-06-12T17:37:00.000Z,2026-06-26,,,2026-06-26 18:07:00-07:00
