dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,local_time
1785567120000,0.0,0.0,0,0,1,266,66.2,90,63.18,29.91,30.0052,0,0,14778,13300200,66.2,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 23:52:00-07:00
1785566220000,0.0,0.0,0,0,1,266,66.6,90,63.57,29.91,30.0052,0,0,14778,13300200,66.6,2026-06-12T17:37:00.000Z,2026-07-31,4.31,2026-07-31 23:37:00-07:00
1785565320000,0.0,0.0,0,0,1,266,66.9,91,64.18,29.92,30.0151,0,0,14778,13300200,66.9,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 23:22:00-07:00
1785564420000,0.0,0.0,0,0,1,266,67.1,91,64.38,29.92,30.0151,0,0,14778,13300200,67.1,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 23:07:00-07:00
1785563520000,0.0,1.1185,0,0,1,266,67.1,91,64.38,29.91,30.0051,0,0,14778,13300200,67.1,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 22:52:00-07:00
1785562620000,0.0,0.0,0,0,1,266,67.5,90,64.46,29.91,30.005,0,0,14778,13300200,67.5,2026-06-12T17:37:00.000Z,2026-07-31,4.31,2026-07-31 22:37:00-07:00
1785561720000,0.0,0.0,0,0,1,266,67.5,90,64.46,29.91,30.005,0,0,14778,13300200,67.5,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 22:22:00-07:00
1785560820000,0.0,0.0,0,0,1,266,67.3,90,64.26,29.91,30.005,0,0,14778,13300200,67.3,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 22:07:00-07:00
1785559920000,0.0,0.0,0,0,1,266,67.3,90,64.26,29.91,30.005,0,0,14778,13300200,67.3,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 21:52:00-07:00
1785559020000,0.0,0.0,0,0,1,266,67.3,90,64.26,29.91,30.005,0,0,14778,13300200,67.3,2026-06-12T17:37:00.000Z,2026-07-31,4.31,2026-07-31 21:37:00-07:00
1785558120000,0.0,0.0,0,0,1,266,67.1,89,63.74,29.91,30.0051,0,0,14778,13300200,67.1,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 21:22:00-07:00
1785557220000,0.0,0.0,0,0,1,266,67.1,88,63.42,29.9,29.995,0,0,14778,13300200,67.1,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 21:07:00-07:00
1785556320000,0.0,0.0,0,0,1,266,67.5,87,63.49,29.9,29.995,0,0,14778,13300200,67.5,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 20:52:00-07:00
1785555420000,0.0,0.0,0,0,1,266,67.8,87,63.78,29.9,29.9949,0,0,14778,13300200,67.8,2026-06-12T17:37:00.000Z,2026-07-31,4.31,2026-07-31 20:37:00-07:00
1785554520000,0.0,0.0,0,0,1,266,67.6,87,63.59,29.91,30.005,0,0,14778,13300200,67.6,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 20:22:00-07:00
1785553620000,0.0,0.0,0,0,1,266,67.8,86,63.45,29.91,30.0049,0,0,14778,13300200,67.8,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 20:07:00-07:00
1785552720000,0.0,0.0,0,0,1,266,68.2,85,63.51,29.9,29.9948,3,2700,14775,13300200,68.72,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 19:52:00-07:00
1785551820000,0.0,0.0,0,0,1,266,68.4,85,63.71,29.9,29.9948,7,6300,14768,13297500,68.94,2026-06-12T17:37:00.000Z,2026-07-31,4.31,2026-07-31 19:37:00-07:00
1785550920000,0.0,0.0,0,0,1,266,68.4,85,63.71,29.9,29.9948,11,9900,14757,13291200,68.94,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 19:22:00-07:00
1785550020000,0.0,0.0,0,0,1,266,68.5,84,63.47,29.91,30.0048,15,13500,14742,13281300,69.0,2026-06-12T17:37:00.000Z,2026-07-31,,2026-07-31 19:07:00-07:00
