dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,local_time
1786863180000,1.1185,1.5659,0,0,1,230,64.0,86,4.31,59.72,30.06,30.1561,0,0,0,13063500,America/Los_Angeles,True,64.0,2026-08-15,,2026-08-15 23:53:00-07:00
1786862280000,1.1185,1.5659,0,0,1,230,64.2,86,,59.92,30.06,30.1561,0,0,0,13063500,America/Los_Angeles,True,64.2,2026-08-15,,2026-08-15 23:38:00-07:00
1786861380000,1.1185,1.5659,0,0,1,230,64.2,86,,59.92,30.06,30.1561,0,0,0,13063500,America/Los_Angeles,True,64.2,2026-08-15,,2026-08-15 23:23:00-07:00
1786860480000,0.4474,1.5659,0,0,1,230,64.2,86,,59.92,30.06,30.1561,0,0,14515,13063500,,,64.2,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 23:08:00-07:00
1786859580000,0.0,0.0,0,0,1,230,64.4,86,,60.12,30.07,30.1661,0,0,14515,13063500,,,64.4,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 22:53:00-07:00
1786858680000,0.0,0.0,0,0,1,230,64.6,85,,59.98,30.06,30.156,0,0,14515,13063500,,,64.6,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 22:38:00-07:00
1786857780000,0.0,0.0,0,0,1,230,65.3,84,4.32,60.34,30.06,30.1559,0,0,14515,13063500,,,65.3,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 22:23:00-07:00
1786855980000,1.1185,1.5659,0,0,1,230,65.7,84,,60.73,30.06,30.1558,0,0,14515,13063500,,,65.7,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 21:53:00-07:00
1786855080000,1.3422,1.5659,0,0,1,230,65.8,84,,60.83,30.06,30.1558,0,0,14515,13063500,,,65.8,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 21:38:00-07:00
1786854180000,0.4474,1.5659,0,0,1,230,65.7,85,4.32,61.06,30.05,30.1458,0,0,14515,13063500,,,65.7,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 21:23:00-07:00
1786853280000,0.2237,1.3422,0,0,1,230,64.9,89,,61.58,30.05,30.1459,0,0,14515,13063500,,,64.9,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 21:08:00-07:00
1786852380000,0.0,0.0,0,0,1,230,65.3,89,,61.97,30.04,30.1358,0,0,14515,13063500,,,65.3,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 20:53:00-07:00
1786851480000,0.0,0.0,0,0,1,230,65.7,88,,62.04,30.04,30.1357,0,0,14515,13063500,,,65.7,2026-08-15,2026-06-12T17:37:00.000Z,2026-08-15 20:38:00-07:00
