dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,batt1volts,local_time
1788159180000,0.0,0.0,0,0,1,205,66.6,88,62.93,29.87,29.965,0,0,12342,11107800,66.6,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 23:53:00-07:00
1788158280000,0.0,0.0,0,0,1,205,67.5,87,63.49,29.87,29.9649,0,0,12342,11107800,67.5,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 23:38:00-07:00
1788157380000,0.0,0.0,0,0,1,205,68.0,88,64.31,29.87,29.9648,0,0,12342,11107800,68.0,,2026-08-30,America/Los_Angeles,True,,2026-08-30 23:23:00-07:00
1788156480000,0.0,1.1185,0,0,1,205,68.5,88,64.8,29.87,29.9647,0,0,12342,11107800,69.19,2026-06-12T17:37:00.000Z,2026-08-30,,,4.31,2026-08-30 23:08:00-07:00
1788155580000,0.0,0.0,0,0,1,205,68.7,89,65.32,29.87,29.9647,0,0,12342,11107800,69.45,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 22:53:00-07:00
1788154680000,0.0,0.0,0,0,1,205,68.9,88,65.19,29.87,29.9646,0,0,12342,11107800,69.63,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 22:38:00-07:00
1788153780000,0.0,0.0,0,0,1,205,69.1,86,64.73,29.87,29.9646,0,0,12342,11107800,69.75,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 22:23:00-07:00
1788152880000,0.0,0.0,0,0,1,205,69.1,85,64.39,29.87,29.9646,0,0,12342,11107800,69.7,2026-06-12T17:37:00.000Z,2026-08-30,,,4.31,2026-08-30 22:08:00-07:00
1788151980000,0.4474,1.5659,0,0,1,205,68.5,86,64.14,29.86,29.9547,0,0,12342,11107800,69.09,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 21:53:00-07:00
1788151080000,0.0,0.0,0,0,1,205,68.0,82,62.29,29.86,29.9547,0,0,12342,11107800,68.0,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 21:38:00-07:00
1788150180000,0.0,0.0,0,0,1,205,68.4,81,62.33,29.85,29.9446,0,0,12342,11107800,68.75,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 21:23:00-07:00
1788149280000,0.0,0.0,0,0,1,205,68.9,81,62.82,29.85,29.9446,0,0,12342,11107800,69.3,2026-06-12T17:37:00.000Z,2026-08-30,,,4.32,2026-08-30 21:08:00-07:00
1788148380000,0.0,0.0,0,0,1,205,69.3,82,63.56,29.85,29.9445,0,0,12342,11107800,69.78,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 20:53:00-07:00
1788147480000,0.0,0.0,0,0,1,205,69.6,83,64.2,29.84,29.9344,0,0,12342,11107800,70.16,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 20:38:00-07:00
1788146580000,0.0,2.0132,0,0,1,205,69.6,83,64.2,29.83,29.9244,0,0,12342,11107800,70.16,2026-06-12T17:37:00.000Z,2026-08-30,,,,2026-08-30 20:23:00-07:00
1788145680000,0.0,2.2369,0,0,1,205,70.2,81,64.09,29.83,29.9243,0,0,12342,11107800,70.73,2026-06-12T17:37:00.000Z,2026-08-30,,,4.33,2026-08-30 20:08:00-07:00
