dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,local_time
1740556140000,0.4474,3.5791,0,0,1,50,55.2,77,4.28,29.89,29.9638,0,0,19589,17630100,55.2,48.12,2025-02-25,,,2025-02-25 23:49:00-08:00
1740555240000,1.1185,5.145,0,0,1,266,56.5,80,,29.89,29.9636,0,0,19589,17630100,56.5,50.4,2025-02-25,,,2025-02-25 23:34:00-08:00
1740554340000,1.1185,5.3686,0,0,1,249,56.1,78,,29.89,29.9637,0,0,19589,17630100,56.1,49.33,2025-02-25,,,2025-02-25 23:19:00-08:00
1740553440000,0.4474,5.3686,0,0,1,146,57.4,73,,29.88,29.9535,0,0,19589,17630100,57.4,48.82,2025-02-25,,,2025-02-25 23:04:00-08:00
1740552540000,0.4474,3.1317,0,0,1,143,58.5,73,4.29,29.89,29.9633,0,0,19589,17630100,58.5,49.87,2025-02-25,,,2025-02-25 22:49:00-08:00
1740551640000,2.0132,8.7241,0,0,1,324,62.1,50,,29.89,29.9628,0,0,19589,17630100,62.1,43.24,2025-02-25,,,2025-02-25 22:34:00-08:00
1740550740000,0.8948,8.5004,0,0,1,165,63.1,39,,29.89,29.9627,0,0,19589,17630100,63.1,37.74,2025-02-25,,,2025-02-25 22:19:00-08:00
1740549840000,1.1185,4.9213,0,0,1,177,63.1,45,,29.89,29.9627,0,0,19589,17630100,63.1,41.41,2025-02-25,,,2025-02-25 22:04:00-08:00
1740548940000,1.5659,5.816,0,0,1,259,64.2,24,4.3,29.89,29.9625,0,0,19589,17630100,64.2,26.66,2025-02-25,,,2025-02-25 21:49:00-08:00
1740548040000,0.2237,3.1317,0,0,1,343,62.8,32,,29.88,29.9527,0,0,19589,17630100,62.8,32.5,2025-02-25,,,2025-02-25 21:34:00-08:00
1740547140000,0.0,2.2369,0,0,1,338,63.9,33,,29.88,29.9525,0,0,19589,17630100,63.9,34.23,2025-02-25,,,2025-02-25 21:19:00-08:00
1740546240000,0.2237,2.6843,0,0,1,326,65.1,32,,29.88,29.9524,0,0,19589,17630100,65.1,34.51,2025-02-25,America/Los_Angeles,True,2025-02-25 21:04:00-08:00
1740545340000,1.1185,4.0265,0,0,1,307,66.2,28,4.3,29.88,29.9522,0,0,19589,17630100,66.2,32.13,2025-02-25,,,2025-02-25 20:49:00-08:00
1740544440000,0.0,2.4606,0,0,1,57,65.5,29,,29.88,29.9523,0,0,19589,17630100,65.5,32.4,2025-02-25,,,2025-02-25 20:34:00-08:00
1740543540000,1.1185,5.3686,0,0,1,73,63.7,34,,29.87,29.9426,0,0,19589,17630100,63.7,34.8,2025-02-25,,,2025-02-25 20:19:00-08:00
1740542640000,0.8948,3.1317,0,0,1,103,61.0,49,,29.87,29.9429,0,0,19589,17630100,61.0,41.7,2025-02-25,,,2025-02-25 20:04:00-08:00
1740541740000,0.4474,4.9213,0,0,1,105,62.1,50,4.32,29.87,29.9428,0,0,19589,17630100,62.1,43.24,2025-02-25,,,2025-02-25 19:49:00-08:00
1740540840000,0.6711,3.8028,0,0,1,107,64.2,48,,29.88,29.9525,0,0,19589,17630100,64.2,44.09,2025-02-25,,,2025-02-25 19:34:00-08:00
1740539940000,2.0132,7.8293,0,0,1,285,66.0,42,,29.87,29.9422,0,0,19589,17630100,66.0,42.24,2025-02-25,,,2025-02-25 19:19:00-08:00
1740539040000,1.3422,6.2634,0,0,1,282,67.8,36,,29.87,29.942,0,0,19589,17630100,67.8,39.87,2025-02-25,,,2025-02-25 19:04:00-08:00
1740538140000,2.4606,5.5923,0,0,1,115,66.4,43,4.33,29.87,29.9422,0,0,19589,17630100,66.4,43.22,2025-02-25,,,2025-02-25 18:49:00-08:00
1740537240000,2.4606,5.816,0,0,1,192,68.9,39,,29.87,29.9418,0,0,19589,17630100,67.32,42.91,2025-02-25,,,2025-02-25 18:34:00-08:00
1740536340000,0.2237,3.8028,0,0,1,346,71.2,30,,29.86,29.9315,0,0,19589,17630100,69.43,38.17,2025-02-25,,,2025-02-25 18:19:00-08:00
1740535440000,1.3422,6.7108,0,0,1,343,70.0,40,,29.85,29.9216,1,900,19588,17630100,68.58,44.56,2025-02-25,,,2025-02-25 18:04:00-08:00
1740534540000,0.8948,4.2502,0,0,1,271,71.6,44,4.34,29.85,29.9214,17,15300,19571,17629200,70.53,48.52,2025-02-25,,,2025-02-25 17:49:00-08:00
1740533640000,0.0,1.1185,0,0,1,269,72.5,42,,29.85,29.9213,47,42300,19524,17613900,71.42,48.09,2025-02-25,,,2025-02-25 17:34:00-08:00
1740532740000,2.4606,11.6321,0,0,1,276,72.7,42,,29.85,29.9213,79,71100,19445,17571600,71.64,48.27,2025-02-25,,,2025-02-25 17:19:00-08:00
