dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,local_time
1741848540000,3.8028,10.7373,0.189,0.83,1,275,50.5,97,29.86,29.9344,0,0,7869,7082100,50.5,49.68,2025-03-13T06:49:00.000Z,2025-03-12,,2025-03-12 23:49:00-07:00
1741847640000,1.1185,5.145,0.1575,0.79,1,264,50.5,97,29.85,29.9244,0,0,7869,7082100,50.5,49.68,2025-03-13T06:34:00.000Z,2025-03-12,,2025-03-12 23:34:00-07:00
1741846740000,0.0,2.0132,0.2835,0.72,1,240,50.5,96,29.85,29.9244,0,0,7869,7082100,50.5,49.4,2025-03-13T06:19:00.000Z,2025-03-12,4.29,2025-03-12 23:19:00-07:00
1741845840000,1.7895,5.3686,0.3465,0.63,1,240,50.5,96,29.87,29.9444,0,0,7869,7082100,50.5,49.4,2025-03-13T06:04:00.000Z,2025-03-12,,2025-03-12 23:04:00-07:00
1741844940000,4.6976,8.9477,0.3465,0.54,1,239,50.7,96,29.88,29.9544,0,0,7869,7082100,50.7,49.6,2025-03-13T05:49:00.000Z,2025-03-12,,2025-03-12 22:49:00-07:00
1741844040000,6.9345,14.7638,0.8189,0.34,1,236,50.9,96,29.88,29.9544,0,0,7869,7082100,50.9,49.8,2025-03-13T05:34:00.000Z,2025-03-12,,2025-03-12 22:34:00-07:00
1741843140000,9.1714,16.1059,0.5354,0.21,1,156,54.0,96,29.87,29.9439,0,0,7869,7082100,54.0,52.88,2025-03-13T05:19:00.000Z,2025-03-12,4.3,2025-03-12 22:19:00-07:00
1741842240000,10.2899,18.1192,0.2205,0.15,1,130,54.0,95,29.86,29.9339,0,0,7869,7082100,54.0,52.6,2025-03-13T05:04:00.000Z,2025-03-12,,2025-03-12 22:04:00-07:00
1741841340000,9.6188,16.3296,0.2835,0.08,1,128,54.3,96,29.86,29.9339,0,0,7869,7082100,54.3,53.18,2025-03-13T04:49:00.000Z,2025-03-12,,2025-03-12 21:49:00-07:00
1741840440000,10.0662,17.0007,0.1575,0.04,1,122,54.5,96,29.86,29.9338,0,0,7869,7082100,54.5,53.38,2025-03-13T04:34:00.000Z,2025-03-12,,2025-03-12 21:34:00-07:00
1741839540000,11.1847,18.5666,0.0315,0.03,1,124,54.7,95,29.86,29.9338,0,0,7869,7082100,54.7,53.3,2025-03-13T04:19:00.000Z,2025-03-12,4.3,2025-03-12 21:19:00-07:00
1741838640000,12.3031,21.0272,0.0,0.03,1,125,54.7,95,29.86,29.9338,0,0,7869,7082100,54.7,53.3,2025-03-13T03:34:00.000Z,2025-03-12,,2025-03-12 21:04:00-07:00
1741837740000,11.6321,22.5931,0.0,0.03,1,124,54.7,95,29.87,29.9438,0,0,7869,7082100,54.7,53.3,2025-03-13T03:34:00.000Z,2025-03-12,,2025-03-12 20:49:00-07:00
1741836840000,10.961,21.6983,0.063,0.01,1,124,54.7,95,29.88,29.9538,0,0,7869,7082100,54.7,53.3,2025-03-13T03:34:00.000Z,2025-03-12,,2025-03-12 20:34:00-07:00
1741835940000,11.4084,18.3429,0.0,0.01,1,125,54.7,95,29.88,29.9538,0,0,7869,7082100,54.7,53.3,2025-03-13T02:04:00.000Z,2025-03-12,4.31,2025-03-12 20:19:00-07:00
1741835040000,10.2899,21.2509,0.0,0.01,1,118,54.5,95,29.88,29.9539,0,0,7869,7082100,54.5,53.1,2025-03-13T02:04:00.000Z,2025-03-12,,2025-03-12 20:04:00-07:00
1741834140000,8.7241,14.5401,0.0,0.01,1,113,54.5,95,29.89,29.9639,0,0,7869,7082100,54.5,53.1,2025-03-13T02:04:00.000Z,2025-03-12,,2025-03-12 19:49:00-07:00
1741833240000,8.053,14.9875,0.0,0.01,1,115,54.5,96,29.89,29.9639,0,0,7869,7082100,54.5,53.38,2025-03-13T02:04:00.000Z,2025-03-12,,2025-03-12 19:34:00-07:00
1741832340000,8.2767,14.7638,0.0,0.01,1,115,54.5,96,29.89,29.9639,0,0,7869,7082100,54.5,53.38,2025-03-13T02:04:00.000Z,2025-03-12,4.31,2025-03-12 19:19:00-07:00
1741831440000,8.2767,15.6586,0.0315,0.0,1,116,54.5,95,29.9,29.9739,0,0,7869,7082100,54.5,53.1,2025-03-13T02:04:00.000Z,2025-03-12,,2025-03-12 19:04:00-07:00
1741830540000,7.6056,17.0007,0.0,0.0,1,112,54.7,94,29.91,29.9839,3,2700,7866,7082100,54.7,53.01,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 18:49:00-07:00
1741829640000,8.053,17.2244,0.0,0.0,1,112,55.0,91,29.91,29.9839,11,9900,7855,7079400,55.0,52.42,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 18:34:00-07:00
1741828740000,8.7241,15.6586,0.0,0.0,1,116,55.4,91,29.91,29.9838,25,22500,7830,7069500,55.4,52.82,2025-03-11T18:19:00.000Z,2025-03-12,4.33,2025-03-12 18:19:00-07:00
1741827840000,7.1582,15.8822,0.0,0.0,1,114,55.4,90,29.92,29.9938,33,29700,7797,7047000,55.4,52.51,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 18:04:00-07:00
1741826940000,8.9477,16.777,0.0,0.0,1,110,55.8,89,29.92,29.9938,49,44100,7748,7017300,55.8,52.61,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 17:49:00-07:00
1741826040000,7.3819,16.777,0.0,0.0,1,113,56.3,89,29.92,29.9937,117,105300,7631,6973200,56.3,53.1,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 17:34:00-07:00
1741825140000,8.5004,17.8955,0.0,0.0,1,116,56.1,88,29.92,29.9937,103,92700,7528,6867900,56.1,52.59,2025-03-11T18:19:00.000Z,2025-03-12,4.35,2025-03-12 17:19:00-07:00
1741824240000,8.053,15.8822,0.0,0.0,1,114,56.5,87,29.93,30.0037,55,49500,7473,6775200,56.5,52.68,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 17:04:00-07:00
1741823340000,8.053,19.014,0.0,0.0,1,116,56.8,87,29.93,30.0037,136,122400,7337,6725700,56.8,52.97,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 16:49:00-07:00
1741822440000,8.2767,17.2244,0.0,0.0,1,111,57.2,86,29.94,30.0136,176,158400,7161,6603300,57.2,53.05,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 16:34:00-07:00
1741821540000,8.053,17.6718,0.0,0.0,1,116,57.2,86,29.94,30.0136,196,176400,6965,6444900,57.2,53.05,2025-03-11T18:19:00.000Z,2025-03-12,4.42,2025-03-12 16:19:00-07:00
1741820640000,8.2767,14.9875,0.0,0.0,1,117,57.2,85,29.95,30.0237,155,139500,6810,6268500,57.2,52.73,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 16:04:00-07:00
1741819740000,9.8425,15.8822,0.0,0.0,1,123,57.7,82,29.94,30.0136,204,183600,6606,6129000,57.7,52.24,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 15:49:00-07:00
1741818840000,8.9477,14.9875,0.0,0.0,1,118,59.2,79,29.93,30.0033,280,252000,6326,5945400,59.2,52.69,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 15:34:00-07:00
1741817940000,8.2767,16.777,0.0,0.0,1,117,59.9,80,29.93,30.0032,484,435600,5842,5693400,59.9,53.71,2025-03-11T18:19:00.000Z,2025-03-12,4.55,2025-03-12 15:19:00-07:00
1741817040000,8.053,16.3296,0.0,0.0,1,114,60.4,81,29.94,30.0132,668,601200,5174,5257800,60.4,54.54,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 15:04:00-07:00
1741816140000,6.7108,14.0927,0.0,0.0,1,116,59.0,84,29.96,30.0334,435,391500,4739,4656600,59.0,54.17,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 14:49:00-07:00
1741815240000,6.4871,14.0927,0.0,0.0,1,115,57.7,87,29.97,30.0436,397,357300,4342,4265100,57.7,53.86,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 14:34:00-07:00
1741814340000,5.5923,10.961,0.0,0.0,1,121,56.8,89,29.97,30.0438,220,198000,4122,3907800,56.8,53.59,2025-03-11T18:19:00.000Z,2025-03-12,4.4,2025-03-12 14:19:00-07:00
1741813440000,7.3819,12.9742,0.0,0.0,1,117,57.0,87,29.97,30.0437,149,134100,3973,3709800,57.0,53.17,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 14:04:00-07:00
1741812540000,6.7108,11.8558,0.0,0.0,1,122,57.0,86,29.97,30.0437,144,129600,3829,3575700,57.0,52.85,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 13:49:00-07:00
1741811640000,6.4871,13.4216,0.0,0.0,1,123,57.9,84,29.97,30.0436,155,139500,3674,3446100,57.9,53.09,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 13:34:00-07:00
1741810740000,7.3819,13.1979,0.0,0.0,1,123,58.6,83,29.97,30.0435,279,251100,3395,3306600,58.6,53.45,2025-03-11T18:19:00.000Z,2025-03-12,4.6,2025-03-12 13:19:00-07:00
1741809840000,6.9345,12.3031,0.0,0.0,1,118,58.8,83,29.97,30.0435,398,358200,2997,3055500,58.8,53.65,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 13:04:00-07:00
1741808940000,5.145,12.0795,0.0,0.0,1,107,58.1,84,29.96,30.0336,343,308700,2654,2697300,58.1,53.29,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 12:49:00-07:00
1741808040000,4.9213,9.6188,0.0,0.0,1,108,57.2,86,29.96,30.0337,272,244800,2382,2388600,57.2,53.05,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 12:34:00-07:00
1741807140000,5.816,10.5136,0.0,0.0,1,116,57.0,88,29.96,30.0337,250,225000,2132,2143800,57.0,53.48,2025-03-11T18:19:00.000Z,2025-03-12,4.47,2025-03-12 12:19:00-07:00
1741806240000,6.2634,11.1847,0.0,0.0,1,126,56.7,90,29.96,30.0338,245,220500,1887,1918800,56.7,53.8,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 12:04:00-07:00
1741805340000,6.2634,10.7373,0.0,0.0,1,124,55.9,91,29.97,30.0439,222,199800,1665,1698300,55.9,53.31,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 11:49:00-07:00
1741804440000,6.7108,12.0795,0.0,0.0,1,122,55.9,94,29.97,30.0439,212,190800,1453,1498500,55.9,54.2,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 11:34:00-07:00
1741803540000,6.7108,12.7505,0.0,0.0,1,133,55.4,96,29.96,30.0339,219,197100,1234,1307700,55.4,54.28,2025-03-11T18:19:00.000Z,2025-03-12,4.4,2025-03-12 11:19:00-07:00
1741802640000,5.816,10.0662,0.0,0.0,1,145,55.0,97,29.97,30.044,201,180900,1033,1110600,55.0,54.16,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 11:04:00-07:00
1741801740000,5.816,11.6321,0.0,0.0,1,119,54.7,97,29.96,30.034,179,161100,854,929700,54.7,53.86,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 10:49:00-07:00
1741800840000,5.5923,9.8425,0.0,0.0,1,125,54.1,97,29.96,30.0341,202,181800,652,768600,54.1,53.27,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 10:34:00-07:00
1741799940000,4.2502,7.1582,0.0,0.0,1,148,53.2,96,29.96,30.0343,97,87300,555,586800,53.2,52.09,2025-03-11T18:19:00.000Z,2025-03-12,4.25,2025-03-12 10:19:00-07:00
1741799040000,4.4739,7.1582,0.0,0.0,1,162,53.2,95,29.95,30.0242,64,57600,491,499500,53.2,51.8,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 10:04:00-07:00
1741798140000,4.6976,8.053,0.0,0.0,1,128,53.8,93,29.94,30.0141,47,42300,444,441900,53.8,51.82,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 09:49:00-07:00
1741797240000,4.4739,8.9477,0.0,0.0,1,119,54.1,92,29.93,30.0041,74,66600,370,399600,54.1,51.83,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 09:34:00-07:00
1741796340000,4.4739,11.8558,0.0,0.0,1,116,54.1,91,29.93,30.0041,90,81000,280,333000,54.1,51.53,2025-03-11T18:19:00.000Z,2025-03-12,4.25,2025-03-12 09:19:00-07:00
1741795440000,2.2369,7.8293,0.0,0.0,1,115,53.6,91,29.92,29.9941,87,78300,193,252000,53.6,51.04,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 09:04:00-07:00
1741794540000,2.0132,6.0397,0.0,0.0,1,82,53.1,92,29.91,29.9842,58,52200,135,173700,53.1,50.84,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 08:49:00-07:00
1741793640000,1.5659,5.5923,0.0,0.0,1,116,52.7,93,29.91,29.9842,38,34200,97,121500,52.7,50.73,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 08:34:00-07:00
1741792740000,2.2369,6.0397,0.0,0.0,1,95,52.7,93,29.91,29.9842,32,28800,65,87300,52.7,50.73,2025-03-11T18:19:00.000Z,2025-03-12,4.24,2025-03-12 08:19:00-07:00
1741791840000,1.3422,6.0397,0.0,0.0,1,86,52.7,90,29.9,29.9742,40,36000,25,58500,52.7,49.85,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 08:04:00-07:00
1741790940000,1.3422,7.1582,0.0,0.0,1,70,52.5,89,29.9,29.9742,22,19800,3,22500,52.5,49.35,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 07:49:00-07:00
1741790040000,0.4474,2.4606,0.0,0.0,1,42,52.0,91,29.9,29.9743,3,2700,0,2700,52.0,49.45,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 07:34:00-07:00
1741789140000,0.2237,2.4606,0.0,0.0,1,184,51.6,92,29.9,29.9743,0,0,0,0,51.6,49.35,2025-03-11T18:19:00.000Z,2025-03-12,4.24,2025-03-12 07:19:00-07:00
1741788240000,0.0,0.0,0.0,0.0,1,193,51.4,91,29.89,29.9644,0,0,0,0,51.4,48.86,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 07:04:00-07:00
1741787340000,0.0,0.0,0.0,0.0,1,193,51.3,91,29.89,29.9644,0,0,0,0,51.3,48.76,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 06:49:00-07:00
1741786440000,0.0,0.0,0.0,0.0,1,193,51.3,91,29.89,29.9644,0,0,0,0,51.3,48.76,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 06:34:00-07:00
1741785540000,0.0,0.0,0.0,0.0,1,193,50.9,92,29.88,29.9544,0,0,0,0,50.9,48.66,2025-03-11T18:19:00.000Z,2025-03-12,4.25,2025-03-12 06:19:00-07:00
1741784640000,0.0,0.0,0.0,0.0,1,193,50.7,91,29.88,29.9544,0,0,0,0,50.7,48.17,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 06:04:00-07:00
1741783740000,0.0,0.0,0.0,0.0,1,193,50.5,91,29.88,29.9545,0,0,0,0,50.5,47.97,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 05:49:00-07:00
1741782840000,0.0,0.0,0.0,0.0,1,193,50.9,91,29.87,29.9444,0,0,0,0,50.9,48.37,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 05:34:00-07:00
1741781940000,0.0,0.0,0.0,0.0,1,193,50.9,90,29.87,29.9444,0,0,0,0,50.9,48.07,2025-03-11T18:19:00.000Z,2025-03-12,4.25,2025-03-12 05:19:00-07:00
1741781040000,0.0,0.0,0.0,0.0,1,193,50.7,90,29.87,29.9444,0,0,0,0,50.7,47.87,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 05:04:00-07:00
1741780140000,0.0,0.0,0.0,0.0,1,193,50.2,90,29.87,29.9445,0,0,0,0,50.2,47.38,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 04:49:00-07:00
1741779240000,0.0,0.0,0.0,0.0,1,193,49.8,90,29.86,29.9345,0,0,0,0,49.8,46.99,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 04:34:00-07:00
1741778340000,0.0,0.0,0.0,0.0,1,193,50.0,88,29.86,29.9345,0,0,0,0,50.0,46.59,2025-03-11T18:19:00.000Z,2025-03-12,4.26,2025-03-12 04:19:00-07:00
1741777440000,0.0,0.0,0.0,0.0,1,193,50.2,90,29.86,29.9345,0,0,0,0,50.2,47.38,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 04:04:00-07:00
1741776540000,0.0,0.0,0.0,0.0,1,193,48.9,90,29.85,29.9246,0,0,0,0,48.9,46.1,2025-03-11T18:19:00.000Z,2025-03-12,,2025-03-12 03:49:00-07:00
