dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,lastRain,local_time
1742021340000,1.3422,6.7108,0.0,0.0,1,278,51.3,80,4.28,29.99,30.0646,0,0,0,6619500,America/Los_Angeles,True,51.3,45.34,2025-03-14,,2025-03-14 23:49:00-07:00
1742020440000,1.5659,5.145,0.0,0.0,1,332,51.4,82,,29.98,30.0546,0,0,0,6619500,America/Los_Angeles,True,51.4,46.09,2025-03-14,,2025-03-14 23:34:00-07:00
1742019540000,1.7895,6.0397,0.0,0.0,1,320,51.4,84,,29.99,30.0646,0,0,0,6619500,America/Los_Angeles,True,51.4,46.73,2025-03-14,,2025-03-14 23:19:00-07:00
1742018640000,1.1185,5.5923,0.0,0.21,1,296,51.1,83,4.29,29.98,30.0546,0,0,7355,6619500,,,51.1,46.12,2025-03-14,2025-03-14T20:04:00.000Z,2025-03-14 23:04:00-07:00
1742017740000,0.0,3.3554,0.0,0.21,1,238,51.1,83,,29.98,30.0546,0,0,7355,6619500,,,51.1,46.12,2025-03-14,2025-03-14T20:04:00.000Z,2025-03-14 22:49:00-07:00
1742016840000,1.5659,7.3819,0.0,0.21,1,300,51.1,84,,29.98,30.0546,0,0,7355,6619500,,,51.1,46.44,2025-03-14,2025-03-14T20:04:00.000Z,2025-03-14 22:34:00-07:00
1742015940000,1.7895,8.2767,0.0,0.21,1,284,48.6,92,,29.97,30.045,0,0,7355,6619500,,,48.6,46.38,2025-03-14,2025-03-14T20:04:00.000Z,2025-03-14 22:19:00-07:00
1742015040000,0.0,4.0265,0.0,0.21,1,287,46.8,97,4.29,29.97,30.0452,0,0,7355,6619500,,,46.8,45.99,2025-03-14,2025-03-14T20:04:00.000Z,2025-03-14 22:04:00-07:00
1742014140000,0.0,0.0,0.0,0.21,1,287,46.9,96,,29.97,30.0452,0,0,7355,6619500,,,46.9,45.82,2025-03-14,2025-03-14T20:04:00.000Z,2025-03-14 21:49:00-07:00
1742013240000,0.0,0.0,0.0,0.21,1,287,47.5,96,,29.97,30.0451,0,0,7355,6619500,,,47.5,46.42,2025-03-14,2025-03-14T20:04:00.000Z,2025-03-14 21:34:00-07:00
