dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,local_time
1742367000000,0.2237,4.4739,0,0,1,144,47.7,72,4.28,30.24,30.3158,0,0,23152,20836800,47.7,39.12,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 23:50:00-07:00
1742366100000,0.4474,1.7895,0,0,1,144,48.4,68,,30.24,30.3157,0,0,23152,20836800,48.4,38.33,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 23:35:00-07:00
1742365200000,0.2237,4.0265,0,0,1,173,49.5,65,,30.25,30.3255,0,0,23152,20836800,49.5,38.23,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 23:20:00-07:00
1742364240000,0.0,0.0,0,0,1,275,50.2,66,,30.25,30.3254,0,0,23152,20836800,50.2,39.29,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 23:04:00-07:00
1742363340000,0.0,0.0,0,0,1,275,50.0,70,4.29,30.26,30.3355,0,0,23152,20836800,50.0,40.61,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 22:49:00-07:00
1742362440000,0.0,1.5659,0,0,1,275,50.2,71,,30.26,30.3354,0,0,23152,20836800,50.2,41.16,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 22:34:00-07:00
1742361600000,1.3422,6.2634,0,0,1,277,50.0,71,,30.26,30.3355,0,0,23152,20836800,50.0,40.97,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 22:20:00-07:00
1742360700000,0.2237,2.4606,0,0,1,297,49.8,71,,30.26,30.3355,0,0,23152,20836800,49.8,40.78,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 22:05:00-07:00
1742359740000,0.2237,2.908,0,0,1,297,50.9,68,4.3,30.25,30.3253,0,0,23152,20836800,50.9,40.72,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 21:49:00-07:00
1742358900000,0.4474,3.8028,0,0,1,294,51.3,67,,30.25,30.3253,0,0,23152,20836800,51.3,40.72,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 21:35:00-07:00
1742357940000,0.2237,3.1317,0,0,1,288,51.8,68,,30.25,30.3252,0,0,23152,20836800,51.8,41.58,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 21:19:00-07:00
1742357040000,0.2237,2.908,0,0,1,288,51.8,67,,30.25,30.3252,0,0,23152,20836800,51.8,41.2,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 21:04:00-07:00
1742356140000,0.0,0.0,0,0,1,288,53.2,65,4.31,30.25,30.325,0,0,23152,20836800,53.2,41.74,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 20:49:00-07:00
1742355240000,2.0132,5.3686,0,0,1,278,54.5,63,,30.25,30.3248,0,0,23152,20836800,54.5,42.16,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 20:34:00-07:00
1742354340000,2.4606,5.145,0,0,1,184,54.9,63,,30.24,30.3147,0,0,23152,20836800,54.9,42.54,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 20:19:00-07:00
1742353440000,3.1317,6.2634,0,0,1,269,55.9,57,,30.24,30.3146,0,0,23152,20836800,55.9,40.89,2025-03-17T20:19:00.000Z,2025-03-18,2025-03-18 20:04:00-07:00
