dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,local_time
1743835800000,0.8948,2.4606,0,0,1,319,57.7,49,4.29,30.12,30.194,0,0,24658,22192200,57.7,38.67,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 23:50:00-07:00
1743834900000,0.4474,2.908,0,0,1,288,59.7,45,,30.13,30.2037,0,0,24658,22192200,59.7,38.33,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 23:35:00-07:00
1743834000000,3.8028,7.3819,0,0,1,237,61.5,42,,30.12,30.1935,0,0,24658,22192200,61.5,38.19,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 23:20:00-07:00
1743833100000,0.6711,4.9213,0,0,1,191,60.3,46,,30.13,30.2037,0,0,24658,22192200,60.3,39.43,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 23:05:00-07:00
1743832200000,0.8948,5.145,0,0,1,289,59.5,46,4.3,30.12,30.1938,0,0,24658,22192200,59.5,38.7,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 22:50:00-07:00
1743831300000,1.5659,5.145,0,0,1,308,60.3,46,,30.12,30.1936,0,0,24658,22192200,60.3,39.43,,2025-04-04,America/Los_Angeles,True,2025-04-04 22:35:00-07:00
1743830400000,0.8948,5.5923,0,0,1,2,61.0,44,,30.12,30.1935,0,0,24658,22192200,61.0,38.93,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 22:20:00-07:00
1743829500000,0.8948,12.9742,0,0,1,289,62.1,41,,30.12,30.1934,0,0,24658,22192200,62.1,38.12,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 22:05:00-07:00
1743828600000,0.8948,6.0397,0,0,1,225,60.4,46,4.3,30.11,30.1836,0,0,24658,22192200,60.4,39.52,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 21:50:00-07:00
1743827700000,0.8948,8.2767,0,0,1,125,59.5,52,,30.11,30.1837,0,0,24658,22192200,59.5,41.86,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 21:35:00-07:00
1743826800000,0.6711,3.8028,0,0,1,125,59.0,53,,30.11,30.1838,0,0,24658,22192200,59.0,41.89,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 21:20:00-07:00
1743825900000,0.8948,6.2634,0,0,1,289,57.6,58,,30.11,30.184,0,0,24658,22192200,57.6,42.93,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 21:05:00-07:00
1743825000000,0.0,2.908,0,0,1,297,59.2,54,4.31,30.1,30.1737,0,0,24658,22192200,59.2,42.56,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 20:50:00-07:00
1743824100000,0.2237,4.6976,0,0,1,297,59.7,54,,30.1,30.1737,0,0,24658,22192200,59.7,43.03,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 20:35:00-07:00
1743823200000,3.5791,7.1582,0,0,1,272,60.6,52,,30.09,30.1635,0,0,24658,22192200,60.6,42.88,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 20:20:00-07:00
1743822300000,1.1185,5.816,0,0,1,275,62.2,49,,30.08,30.1533,0,0,24658,22192200,62.2,42.8,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 20:05:00-07:00
1743821400000,4.4739,13.6453,0,0,1,275,63.3,47,4.32,30.07,30.1431,0,0,24658,22192200,63.3,42.72,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 19:50:00-07:00
1743820500000,4.6976,12.5268,0,0,1,290,64.2,45,,30.06,30.1329,0,0,24658,22192200,64.2,42.41,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 19:35:00-07:00
1743819600000,2.0132,6.9345,0,0,1,303,65.3,44,,30.06,30.1328,13,11700,24645,22192200,65.3,42.82,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 19:20:00-07:00
1743818700000,4.9213,12.3031,0,0,1,290,65.8,43,,30.06,30.1327,36,32400,24609,22180500,65.8,42.68,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 19:05:00-07:00
1743817800000,6.4871,16.777,0,0,1,292,66.4,43,4.33,30.06,30.1326,44,39600,24565,22148100,66.4,43.22,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 18:50:00-07:00
1743816900000,7.8293,17.0007,0,0,1,288,67.1,42,,30.05,30.1225,90,81000,24475,22108500,67.1,43.23,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 18:35:00-07:00
1743816000000,9.3951,18.3429,0,0,1,287,66.9,43,,30.05,30.1225,73,65700,24402,22027500,66.9,43.67,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 18:20:00-07:00
1743815100000,9.8425,18.5666,0,0,1,284,64.9,48,,30.05,30.1228,61,54900,24341,21961800,64.9,44.74,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 18:05:00-07:00
1743814200000,8.9477,18.7903,0,0,1,279,60.8,62,,30.05,30.1234,144,129600,24197,21906900,60.8,47.7,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 17:50:00-07:00
1743813300000,7.6056,13.6453,0,0,1,279,62.8,57,,30.04,30.1131,172,154800,24025,21777300,62.8,47.34,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 17:35:00-07:00
1743812400000,6.9345,14.7638,0,0,1,277,64.8,54,,30.04,30.1128,381,342900,23644,21622500,64.8,47.76,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 17:20:00-07:00
1743811500000,3.5791,14.3164,0,0,1,233,62.6,61,4.36,30.04,30.1131,358,322200,23286,21279600,62.6,48.96,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 17:05:00-07:00
1743810600000,1.7895,4.4739,0,0,1,216,61.0,65,,30.04,30.1133,189,170100,23097,20957400,61.0,49.15,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 16:50:00-07:00
1743809700000,2.4606,6.4871,0,0,1,198,62.1,63,,30.04,30.1132,397,357300,22700,20787300,62.1,49.35,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 16:35:00-07:00
1743808800000,2.6843,5.3686,0,0,1,189,62.1,65,,30.04,30.1132,554,498600,22146,20430000,62.1,50.19,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 16:20:00-07:00
1743807900000,3.5791,5.5923,0,0,1,220,61.7,66,4.39,30.04,30.1132,576,518400,21570,19931400,61.7,50.22,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 16:05:00-07:00
1743807000000,4.9213,7.3819,0,0,1,218,60.1,70,,30.04,30.1135,618,556200,20952,19413000,60.1,50.28,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 15:50:00-07:00
1743806100000,4.9213,7.3819,0,0,1,197,61.0,68,,30.04,30.1133,658,592200,20294,18856800,61.0,50.36,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 15:35:00-07:00
1743805200000,5.3686,10.961,0,0,1,259,64.8,57,,30.05,30.1228,699,629100,19595,18264600,64.8,49.2,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 15:20:00-07:00
1743804300000,5.816,9.3951,0,0,1,263,62.2,64,4.39,30.05,30.1232,728,655200,18867,17635500,62.2,49.87,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 15:05:00-07:00
1743803400000,7.3819,10.7373,0,0,1,240,62.1,62,,30.06,30.1332,761,684900,18106,16980300,62.1,48.92,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 14:50:00-07:00
1743802500000,8.2767,14.0927,0,0,1,270,63.7,53,,30.06,30.133,796,716400,17310,16295400,63.7,46.24,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 14:35:00-07:00
1743801600000,8.5004,14.3164,0,0,1,279,63.7,51,,30.06,30.133,811,729900,16499,15579000,63.7,45.23,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 14:20:00-07:00
1743800700000,8.5004,14.3164,0,0,1,278,62.2,59,4.39,30.06,30.1332,823,740700,15676,14849100,62.2,47.69,2025-04-01T21:20:00.000Z,2025-04-04,,,2025-04-04 14:05:00-07:00
