dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,tz,historical,local_time
1744354200000,0.8948,2.6843,0,0,1,347,55.6,91,30.03,30.1041,0,0,22267,20040300,55.6,53.01,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 23:50:00-07:00
1744353300000,0.6711,2.6843,0,0,1,347,55.9,91,30.04,30.1141,0,0,22267,20040300,55.9,53.31,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 23:35:00-07:00
1744352400000,0.6711,3.1317,0,0,1,347,56.1,90,30.04,30.114,0,0,22267,20040300,56.1,53.21,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 23:20:00-07:00
1744351500000,0.6711,3.8028,0,0,1,350,56.3,90,30.03,30.104,0,0,22267,20040300,56.3,53.4,2025-04-01T21:20:00.000Z,2025-04-10,4.29,,,2025-04-10 23:05:00-07:00
1744350600000,0.6711,3.5791,0,0,1,64,56.3,90,30.03,30.104,0,0,22267,20040300,56.3,53.4,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 22:50:00-07:00
1744349700000,1.1185,4.0265,0,0,1,64,56.3,89,30.03,30.104,0,0,22267,20040300,56.3,53.1,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 22:35:00-07:00
1744348800000,0.8948,3.1317,0,0,1,64,56.3,89,30.04,30.114,0,0,22267,20040300,56.3,53.1,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 22:20:00-07:00
1744347900000,0.6711,2.6843,0,0,1,64,55.9,89,30.04,30.1141,0,0,22267,20040300,55.9,52.7,2025-04-01T21:20:00.000Z,2025-04-10,4.3,,,2025-04-10 22:05:00-07:00
1744347000000,0.4474,2.2369,0,0,1,64,55.8,89,30.04,30.1141,0,0,22267,20040300,55.8,52.61,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 21:50:00-07:00
1744346100000,0.6711,2.4606,0,0,1,64,55.9,89,30.04,30.1141,0,0,22267,20040300,55.9,52.7,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 21:35:00-07:00
1744345200000,0.4474,2.4606,0,0,1,64,56.3,88,30.03,30.104,0,0,22267,20040300,56.3,52.79,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 21:20:00-07:00
1744344300000,0.4474,2.4606,0,0,1,64,56.7,87,30.03,30.1039,0,0,22267,20040300,56.7,52.87,2025-04-01T21:20:00.000Z,2025-04-10,4.31,,,2025-04-10 21:05:00-07:00
1744343400000,0.0,0.0,0,0,1,64,57.2,86,30.03,30.1039,0,0,22267,20040300,57.2,53.05,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 20:50:00-07:00
1744342500000,0.2237,2.6843,0,0,1,63,57.4,87,30.01,30.0838,0,0,22267,20040300,57.4,53.56,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 20:35:00-07:00
1744341600000,0.0,1.7895,0,0,1,205,56.8,88,30.01,30.0839,0,0,22267,20040300,56.8,53.28,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 20:20:00-07:00
1744340700000,0.0,1.5659,0,0,1,216,56.8,89,30.02,30.0939,0,0,22267,20040300,56.8,53.59,2025-04-01T21:20:00.000Z,2025-04-10,4.32,,,2025-04-10 20:05:00-07:00
1744339800000,0.0,1.1185,0,0,1,216,57.0,89,30.02,30.0939,0,0,22267,20040300,57.0,53.79,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 19:50:00-07:00
1744338900000,0.0,1.5659,0,0,1,216,57.0,89,30.03,30.1039,3,2700,22264,20040300,57.0,53.79,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 19:35:00-07:00
1744338000000,0.2237,2.0132,0,0,1,216,57.6,89,30.03,30.1038,22,19800,22242,20037600,57.6,54.38,2025-04-01T21:20:00.000Z,2025-04-10,,,,2025-04-10 19:20:00-07:00
