dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,passkey,time,loc,date,local_time
1746255000000,2.2369,10.2899,0,0,1,73,55.4,91,4.3,29.91,29.9838,0,0,11445,10300500,55.4,52.82,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 23:50:00-07:00
1746254100000,1.3422,5.816,0,0,1,104,55.0,91,,29.91,29.9839,0,0,11445,10300500,55.0,52.42,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 23:35:00-07:00
1746253200000,1.3422,5.145,0,0,1,93,54.9,91,,29.91,29.9839,0,0,11445,10300500,54.9,52.32,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 23:20:00-07:00
1746252300000,2.0132,6.0397,0,0,1,95,54.9,91,,29.9,29.9739,0,0,11445,10300500,54.9,52.32,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 23:05:00-07:00
1746251400000,1.3422,5.3686,0,0,1,77,54.7,91,4.3,29.9,29.9739,0,0,11445,10300500,54.7,52.12,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 22:50:00-07:00
1746250500000,1.3422,5.5923,0,0,1,111,54.0,92,,29.9,29.974,0,0,11445,10300500,54.0,51.73,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 22:35:00-07:00
1746249600000,0.0,1.5659,0,0,1,117,53.8,91,,29.9,29.974,0,0,11445,10300500,53.8,51.23,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 22:20:00-07:00
1746248700000,0.0,0.8948,0,0,1,117,54.0,91,,29.89,29.964,0,0,11445,10300500,54.0,51.43,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 22:05:00-07:00
1746247800000,0.2237,2.6843,0,0,1,117,54.0,91,4.31,29.88,29.9539,0,0,11445,10300500,54.0,51.43,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 21:50:00-07:00
1746246900000,0.2237,2.0132,0,0,1,117,53.8,90,,29.88,29.954,0,0,11445,10300500,53.8,50.94,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 21:35:00-07:00
1746246000000,0.0,1.3422,0,0,1,117,54.3,90,,29.88,29.9539,0,0,11445,10300500,54.3,51.43,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 21:20:00-07:00
1746245100000,0.0,0.0,0,0,1,117,54.7,89,,29.87,29.9438,0,0,11445,10300500,54.7,51.52,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 21:05:00-07:00
1746244200000,0.0,0.0,0,0,1,117,54.9,89,4.31,29.87,29.9438,0,0,11445,10300500,54.9,51.72,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 20:50:00-07:00
1746243300000,0.0,1.1185,0,0,1,117,54.9,89,,29.86,29.9338,0,0,11445,10300500,54.9,51.72,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 20:35:00-07:00
1746242400000,1.1185,2.908,0,0,1,117,55.0,88,,29.86,29.9338,0,0,11445,10300500,55.0,51.51,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 20:20:00-07:00
1746241500000,1.3422,4.4739,0,0,1,120,55.4,86,,29.86,29.9337,0,0,11445,10300500,55.4,51.28,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 20:05:00-07:00
1746240600000,0.4474,3.5791,0,0,1,156,56.7,83,4.32,29.86,29.9335,1,900,11444,10300500,56.7,51.59,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 19:50:00-07:00
1746239700000,0.6711,3.5791,0,0,1,152,57.6,81,,29.86,29.9334,10,9000,11434,10299600,57.6,51.81,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 19:35:00-07:00
1746238800000,2.2369,6.7108,0,0,1,108,58.8,79,,29.87,29.9432,33,29700,11401,10290600,58.8,52.3,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 19:20:00-07:00
1746237900000,1.1185,4.9213,0,0,1,117,59.7,78,,29.87,29.9431,72,64800,11329,10260900,59.7,52.83,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 19:05:00-07:00
1746237000000,2.908,6.2634,0,0,1,121,59.5,78,4.34,29.87,29.9431,111,99900,11218,10196100,59.5,52.63,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 18:50:00-07:00
1746236100000,3.1317,5.816,0,0,1,137,59.4,79,,29.87,29.9432,154,138600,11064,10096200,59.4,52.88,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 18:35:00-07:00
1746235200000,4.0265,6.9345,0,0,1,159,58.6,82,,29.87,29.9433,199,179100,10865,9957600,58.6,53.12,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-02,2025-05-02 18:20:00-07:00
