dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,passkey,time,loc,date,tz,historical,local_time
1746341400000,0.0,0.0,0,0,1,247,51.6,78,4.28,29.8,29.8741,0,0,12925,11632500,51.6,44.97,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 23:50:00-07:00
1746340500000,1.1185,6.9345,0,0,1,248,52.5,76,,29.8,29.874,0,0,12925,11632500,52.5,45.16,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 23:35:00-07:00
1746339600000,2.0132,7.1582,0,0,1,322,53.2,75,,29.81,29.8839,0,0,12925,11632500,53.2,45.48,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 23:20:00-07:00
1746338700000,1.1185,4.4739,0,0,1,2,53.6,74,,29.82,29.8939,0,0,12925,11632500,53.6,45.52,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 23:05:00-07:00
1746337800000,1.1185,8.5004,0,0,1,39,54.5,73,4.29,29.82,29.8937,0,0,12925,11632500,54.5,46.02,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 22:50:00-07:00
1746336900000,1.3422,6.0397,0,0,1,15,54.5,74,,29.82,29.8937,0,0,12925,11632500,54.5,46.38,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 22:35:00-07:00
1746336000000,2.6843,6.9345,0,0,1,339,54.9,74,,29.83,29.9037,0,0,12925,11632500,54.9,46.77,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 22:20:00-07:00
1746335100000,1.1185,6.7108,0,0,1,326,54.5,76,,29.83,29.9038,0,0,12925,11632500,54.5,47.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 22:05:00-07:00
1746334200000,0.4474,6.2634,0,0,1,282,54.5,76,4.3,29.83,29.9038,0,0,12925,11632500,54.5,47.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 21:50:00-07:00
1746333300000,1.1185,4.4739,0,0,1,280,54.5,77,,29.83,29.9038,0,0,12925,11632500,54.5,47.44,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 21:35:00-07:00
1746332400000,4.0265,9.3951,0,0,1,248,55.4,76,,29.83,29.9036,0,0,12925,11632500,55.4,47.96,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 21:20:00-07:00
1746331500000,0.6711,4.0265,0,0,1,267,55.2,75,,29.83,29.9037,0,0,12925,11632500,55.2,47.42,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 21:05:00-07:00
1746330600000,0.0,1.7895,0,0,1,304,55.2,76,4.31,29.83,29.9037,0,0,12925,11632500,55.2,47.77,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 20:50:00-07:00
1746329700000,0.4474,6.4871,0,0,1,304,55.8,76,,29.83,29.9036,0,0,12925,11632500,55.8,48.35,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 20:35:00-07:00
1746328800000,3.1317,8.7241,0,0,1,279,56.7,74,,29.83,29.9034,0,0,12925,11632500,56.7,48.51,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 20:20:00-07:00
1746327900000,1.1185,5.816,0,0,1,245,57.0,75,,29.83,29.9034,0,0,12925,11632500,57.0,49.15,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 20:05:00-07:00
1746327000000,0.0,1.5659,0,0,1,270,57.6,76,4.29,29.83,29.9033,4,3600,12921,11632500,57.6,50.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 19:50:00-07:00
1746326100000,0.0,0.8948,0,0,1,270,58.1,75,,29.83,29.9032,15,13500,12906,11628900,58.1,50.22,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 19:35:00-07:00
1746325200000,0.2237,2.6843,0,0,1,270,59.2,72,,29.83,29.9031,35,31500,12871,11615400,59.2,50.18,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 19:20:00-07:00
1746324300000,4.2502,12.9742,0,0,1,281,59.2,73,,29.83,29.9031,64,57600,12807,11583900,59.2,50.55,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 19:05:00-07:00
1746323400000,6.7108,13.4216,0,0,1,280,60.6,71,4.34,29.83,29.9029,104,93600,12703,11526300,60.6,51.14,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 18:50:00-07:00
1746322500000,6.2634,15.8822,0,0,1,284,61.3,70,,29.83,29.9028,153,137700,12550,11432700,61.3,51.43,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 18:35:00-07:00
1746321600000,6.4871,13.6453,0,0,1,268,62.6,71,,29.83,29.9026,196,176400,12354,11295000,62.6,53.06,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 18:20:00-07:00
1746320700000,6.2634,11.6321,0,0,1,252,63.0,71,,29.83,29.9026,236,212400,12118,11118600,63.0,53.44,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 18:05:00-07:00
1746319800000,5.816,12.5268,0,0,1,259,63.1,71,4.39,29.83,29.9025,289,260100,11829,10906200,63.1,53.54,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 17:50:00-07:00
1746318900000,6.4871,13.4216,0,0,1,263,62.6,72,,29.83,29.9026,299,269100,11530,10646100,62.6,53.44,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 17:35:00-07:00
1746318000000,6.9345,15.6586,0,0,1,267,63.1,70,,29.84,29.9126,338,304200,11192,10377000,63.1,53.15,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 17:20:00-07:00
1746317100000,6.9345,14.5401,0,0,1,269,63.0,72,,29.85,29.9226,433,389700,10759,10072800,63.0,53.83,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746316800000,7395c226de765e6694f274e64ffcfa1e/daily/1746316800000.json,2025-05-03,,,2025-05-03 17:05:00-07:00
1746316200000,7.1582,14.9875,0,0,1,264,63.3,72,4.4,29.85,29.9226,484,435600,10275,9683100,63.3,54.11,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-03,,,2025-05-03 16:50:00-07:00
1746315300000,6.7108,17.2244,0,0,1,258,64.0,71,,29.85,29.9225,551,495900,9724,9247500,64.0,54.4,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-03,,,2025-05-03 16:35:00-07:00
1746314400000,6.0397,10.5136,0,0,1,248,64.4,70,,29.86,29.9324,577,519300,9147,8751600,64.4,54.4,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-03,,,2025-05-03 16:20:00-07:00
1746313500000,5.5923,10.5136,0,0,1,248,63.9,72,,29.87,29.9425,651,585900,8496,8232300,63.9,54.69,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-03,,,2025-05-03 16:05:00-07:00
1746312600000,5.5923,9.8425,0,0,1,228,63.5,74,4.45,29.88,29.9526,605,544500,7891,7646400,63.5,55.06,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-03,,,2025-05-03 15:50:00-07:00
1746311700000,4.0265,7.1582,0,0,1,191,63.0,71,,29.88,29.9527,616,554400,7275,7101900,63.0,53.44,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746230400000,7395c226de765e6694f274e64ffcfa1e/daily/1746230400000.json,2025-05-03,,,2025-05-03 15:35:00-07:00
