dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,lastRain,local_time
1746773400000,0.6711,3.1317,0,0,1,60,55.4,92,30.0,30.074,0,0,24898,22408200,55.4,53.11,2025-05-08,,,,,2025-05-08 23:50:00-07:00
1746772500000,0.0,1.5659,0,0,1,60,55.4,92,30.0,30.074,0,0,24898,22408200,55.4,53.11,2025-05-08,,,,,2025-05-08 23:35:00-07:00
1746771600000,0.0,2.6843,0,0,1,60,55.9,92,30.0,30.074,0,0,24898,22408200,55.9,53.61,2025-05-08,4.29,,,,2025-05-08 23:20:00-07:00
1746770700000,0.8948,5.3686,0,0,1,64,56.1,92,30.0,30.0739,0,0,24898,22408200,56.1,53.81,2025-05-08,,,,,2025-05-08 23:05:00-07:00
1746769800000,0.0,1.5659,0,0,1,232,55.9,92,30.0,30.074,0,0,24898,22408200,55.9,53.61,2025-05-08,,,,,2025-05-08 22:50:00-07:00
1746768900000,0.0,1.3422,0,0,1,232,55.9,92,30.0,30.074,0,0,24898,22408200,55.9,53.61,2025-05-08,,,,,2025-05-08 22:35:00-07:00
1746768000000,0.0,1.3422,0,0,1,232,55.8,92,30.0,30.074,0,0,24898,22408200,55.8,53.51,2025-05-08,4.3,,,,2025-05-08 22:20:00-07:00
1746767100000,0.0,1.3422,0,0,1,256,55.6,92,30.0,30.074,0,0,24898,22408200,55.6,53.31,2025-05-08,,,,,2025-05-08 22:05:00-07:00
1746766200000,0.0,0.0,0,0,1,257,55.6,92,30.0,30.074,0,0,24898,22408200,55.6,53.31,2025-05-08,,,,,2025-05-08 21:50:00-07:00
1746765300000,0.0,0.0,0,0,1,257,55.4,92,29.99,30.064,0,0,24898,22408200,55.4,53.11,2025-05-08,,,,,2025-05-08 21:35:00-07:00
1746764400000,0.0,0.0,0,0,1,257,55.2,92,29.99,30.064,0,0,24898,22408200,55.2,52.92,2025-05-08,4.31,,,,2025-05-08 21:20:00-07:00
1746763500000,0.0,0.0,0,0,1,257,55.0,92,29.98,30.0541,0,0,24898,22408200,55.0,52.72,2025-05-08,,,,,2025-05-08 21:05:00-07:00
1746762600000,0.0,0.0,0,0,1,257,55.0,91,29.98,30.0541,0,0,24898,22408200,55.0,52.42,2025-05-08,,,,,2025-05-08 20:50:00-07:00
1746761700000,0.2237,1.1185,0,0,1,257,55.6,90,29.98,30.054,0,0,24898,22408200,55.6,52.71,2025-05-08,,,,,2025-05-08 20:35:00-07:00
1746760800000,0.0,0.0,0,0,1,257,56.3,90,29.98,30.0539,0,0,24898,22408200,56.3,53.4,2025-05-08,4.31,,,,2025-05-08 20:20:00-07:00
1746759900000,1.1185,3.1317,0,0,1,257,56.7,90,29.98,30.0538,0,0,24898,22408200,56.7,53.8,2025-05-08,,,,,2025-05-08 20:05:00-07:00
1746759000000,2.4606,4.9213,0,0,1,257,56.8,89,29.98,30.0538,6,5400,24892,22408200,56.8,53.59,2025-05-08,,,,,2025-05-08 19:50:00-07:00
1746758100000,3.1317,6.4871,0,0,1,257,57.4,88,29.98,30.0537,19,17100,24873,22402800,57.4,53.87,2025-05-08,,,,,2025-05-08 19:35:00-07:00
1746757200000,3.8028,7.1582,0,0,1,261,58.1,87,29.98,30.0536,50,45000,24823,22385700,58.1,54.25,2025-05-08,4.32,,,,2025-05-08 19:20:00-07:00
1746756300000,4.4739,9.1714,0,0,1,257,58.6,86,29.98,30.0535,82,73800,24741,22340700,58.6,54.42,2025-05-08,,,,,2025-05-08 19:05:00-07:00
1746755400000,4.9213,9.6188,0,0,1,263,59.4,85,29.98,30.0534,121,108900,24620,22266900,59.4,54.89,2025-05-08,,,,,2025-05-08 18:50:00-07:00
1746754500000,5.3686,10.0662,0,0,1,257,60.1,84,29.98,30.0533,163,146700,24457,22158000,60.1,55.25,2025-05-08,,,,,2025-05-08 18:35:00-07:00
1746753600000,5.3686,10.5136,0,0,1,262,60.6,83,29.98,30.0533,208,187200,24249,22011300,60.6,55.41,2025-05-08,4.36,,,,2025-05-08 18:20:00-07:00
1746752700000,5.5923,11.6321,0,0,1,264,61.2,81,29.98,30.0532,256,230400,23993,21824100,61.2,55.32,2025-05-08,,,,,2025-05-08 18:05:00-07:00
1746751800000,6.2634,10.961,0,0,1,261,61.9,80,29.99,30.0631,306,275400,23330,21272400,61.9,55.66,2025-05-08,,,,,2025-05-08 17:50:00-07:00
1746750900000,4.6976,9.8425,0,0,1,263,62.8,79,29.98,30.0529,357,321300,23636,21318300,62.8,56.19,2025-05-08,,America/Los_Angeles,True,,2025-05-08 17:35:00-07:00
1746750000000,5.816,10.5136,0,0,1,254,63.1,78,29.99,30.0629,406,365400,22924,20997000,63.1,56.12,2025-05-08,4.38,,,,2025-05-08 17:20:00-07:00
1746749100000,6.4871,10.7373,0,0,1,253,63.5,78,29.99,30.0629,457,411300,22467,20631600,63.5,56.51,2025-05-08,,,,,2025-05-08 17:05:00-07:00
1746748200000,5.816,10.2899,0,0,1,249,64.2,77,29.99,30.0628,505,454500,21962,20220300,64.2,56.83,2025-05-08,,,,,2025-05-08 16:50:00-07:00
1746747300000,6.2634,12.0795,0,0,1,258,64.4,76,29.99,30.0627,551,495900,21411,19765800,64.4,56.66,2025-05-08,,,,,2025-05-08 16:35:00-07:00
1746746400000,6.7108,12.0795,0,0,1,245,64.4,76,29.99,30.0627,594,534600,20817,19269900,64.4,56.66,2025-05-08,4.38,,,,2025-05-08 16:20:00-07:00
1746745500000,6.2634,11.8558,0,0,1,258,64.8,74,29.99,30.0627,638,574200,20179,18735300,64.8,56.31,2025-05-08,,,,,2025-05-08 16:05:00-07:00
1746744600000,6.2634,10.7373,0,0,1,263,64.6,74,30.0,30.0727,678,610200,19501,18161100,64.6,56.12,2025-05-08,,,,,2025-05-08 15:50:00-07:00
1746743700000,6.4871,11.8558,0,0,1,260,64.8,75,30.0,30.0727,715,643500,18786,17550900,64.8,56.68,2025-05-08,,,,,2025-05-08 15:35:00-07:00
1746742800000,6.4871,11.8558,0,0,1,250,64.4,77,30.0,30.0728,751,675900,18035,16907400,64.4,57.03,2025-05-08,4.38,,,,2025-05-08 15:20:00-07:00
