dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,local_time
1746859800000,0.0,0.8948,0,0,1,243,58.5,90,4.27,29.88,29.9533,0,0,0,25346700,America/Los_Angeles,True,58.5,55.58,2025-05-09,2025-05-09 23:50:00-07:00
1746858900000,0.0,0.0,0,0,1,243,58.1,90,,29.88,29.9534,0,0,0,25346700,America/Los_Angeles,True,58.1,55.18,2025-05-09,2025-05-09 23:35:00-07:00
1746858000000,0.0,0.0,0,0,1,243,58.1,90,4.28,29.89,29.9634,0,0,28163,25346700,,,58.1,55.18,2025-05-09,2025-05-09 23:20:00-07:00
1746857100000,0.0,0.0,0,0,1,243,58.6,90,,29.89,29.9633,0,0,28163,25346700,,,58.6,55.67,2025-05-09,2025-05-09 23:05:00-07:00
1746856200000,0.0,0.0,0,0,1,243,58.3,90,,29.89,29.9634,0,0,28163,25346700,,,58.3,55.38,2025-05-09,2025-05-09 22:50:00-07:00
1746855300000,0.0,0.0,0,0,1,243,58.3,89,,29.89,29.9634,0,0,28163,25346700,,,58.3,55.07,2025-05-09,2025-05-09 22:35:00-07:00
1746854400000,0.0,0.0,0,0,1,243,58.6,89,4.29,29.89,29.9633,0,0,28163,25346700,America/Los_Angeles,True,58.6,55.37,2025-05-09,2025-05-09 22:20:00-07:00
1746853500000,0.2237,2.2369,0,0,1,243,58.8,90,,29.89,29.9633,0,0,28163,25346700,,,58.8,55.87,2025-05-09,2025-05-09 22:05:00-07:00
1746852600000,0.0,1.7895,0,0,1,243,58.3,89,,29.88,29.9533,0,0,28163,25346700,,,58.3,55.07,2025-05-09,2025-05-09 21:50:00-07:00
1746851700000,0.0,0.0,0,0,1,243,58.6,90,4.3,29.88,29.9533,0,0,28163,25346700,,,58.6,55.67,2025-05-09,2025-05-09 21:35:00-07:00
1746850800000,0.0,0.0,0,0,1,243,58.8,90,,29.88,29.9533,0,0,28163,25346700,America/Los_Angeles,True,58.8,55.87,2025-05-09,2025-05-09 21:20:00-07:00
1746849900000,0.0,0.0,0,0,1,243,58.5,90,,29.88,29.9533,0,0,28163,25346700,,,58.5,55.58,2025-05-09,2025-05-09 21:05:00-07:00
