dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,local_time
1746946200000,0.0,0.0,0,0,1,136,58.6,91,29.85,29.9232,0,0,28371,25533900,58.6,55.98,2025-05-10,,,,2025-05-10 23:50:00-07:00
1746945300000,0.0,0.0,0,0,1,136,58.6,91,29.84,29.9132,0,0,28371,25533900,58.6,55.98,2025-05-10,,,,2025-05-10 23:35:00-07:00
1746944400000,0.0,0.0,0,0,1,136,58.6,91,29.84,29.9132,0,0,28371,25533900,58.6,55.98,2025-05-10,4.29,,,2025-05-10 23:20:00-07:00
1746943500000,0.0,0.0,0,0,1,136,58.5,90,29.85,29.9232,0,0,28371,25533900,58.5,55.58,2025-05-10,,,,2025-05-10 23:05:00-07:00
1746942600000,0.0,1.1185,0,0,1,136,59.2,90,29.85,29.9231,0,0,28371,25533900,59.2,56.27,2025-05-10,,,,2025-05-10 22:50:00-07:00
1746941700000,0.0,2.0132,0,0,1,136,59.7,89,29.85,29.9231,0,0,28371,25533900,59.7,56.45,2025-05-10,,America/Los_Angeles,True,2025-05-10 22:35:00-07:00
1746940800000,0.4474,4.0265,0,0,1,127,60.4,89,29.84,29.9129,0,0,28371,25533900,60.4,57.14,2025-05-10,,,,2025-05-10 22:20:00-07:00
1746939900000,1.3422,4.6976,0,0,1,51,60.3,89,29.83,29.9029,0,0,28371,25533900,60.3,57.04,2025-05-10,,America/Los_Angeles,True,2025-05-10 22:05:00-07:00
1746939000000,0.4474,2.908,0,0,1,211,59.7,90,29.83,29.903,0,0,28371,25533900,59.7,56.76,2025-05-10,4.3,,,2025-05-10 21:50:00-07:00
1746938100000,0.0,2.0132,0,0,1,274,59.5,91,29.83,29.903,0,0,28371,25533900,59.5,56.87,2025-05-10,,,,2025-05-10 21:35:00-07:00
1746937200000,0.0,1.1185,0,0,1,273,59.4,91,29.83,29.9031,0,0,28371,25533900,59.4,56.77,2025-05-10,,,,2025-05-10 21:20:00-07:00
1746936300000,0.0,0.0,0,0,1,273,59.7,91,29.83,29.903,0,0,28371,25533900,59.7,57.07,2025-05-10,,,,2025-05-10 21:05:00-07:00
1746935400000,0.0,0.8948,0,0,1,273,59.7,91,29.83,29.903,0,0,28371,25533900,59.7,57.07,2025-05-10,4.31,,,2025-05-10 20:50:00-07:00
1746934500000,0.0,0.0,0,0,1,273,59.7,90,29.83,29.903,0,0,28371,25533900,59.7,56.76,2025-05-10,,,,2025-05-10 20:35:00-07:00
1746933600000,0.0,0.0,0,0,1,273,60.4,89,29.83,29.9029,0,0,28371,25533900,60.4,57.14,2025-05-10,,,,2025-05-10 20:20:00-07:00
1746932700000,0.6711,2.6843,0,0,1,273,60.6,88,29.83,29.9029,2,1800,28369,25533900,60.6,57.02,2025-05-10,,,,2025-05-10 20:05:00-07:00
1746931800000,2.4606,4.6976,0,0,1,273,61.2,87,29.83,29.9028,11,9900,28358,25532100,61.2,57.3,2025-05-10,4.32,,,2025-05-10 19:50:00-07:00
1746930900000,3.3554,7.1582,0,0,1,252,62.1,86,29.83,29.9027,28,25200,28271,25469100,62.1,57.86,2025-05-10,,,,2025-05-10 19:35:00-07:00
1746930000000,4.2502,7.1582,0,0,1,248,63.5,84,29.82,29.8925,59,53100,28299,25497000,63.5,58.57,2025-05-10,,America/Los_Angeles,True,2025-05-10 19:20:00-07:00
1746929100000,3.3554,5.816,0,0,1,251,64.8,82,29.82,29.8923,98,88200,28173,25443900,64.8,59.17,2025-05-10,,,,2025-05-10 19:05:00-07:00
1746928200000,3.3554,6.7108,0,0,1,249,65.1,82,29.83,29.9023,144,129600,28029,25355700,65.1,59.46,2025-05-10,4.33,,,2025-05-10 18:50:00-07:00
1746927300000,4.0265,7.3819,0,0,1,243,65.8,81,29.83,29.9022,165,148500,27864,25226100,65.8,59.8,2025-05-10,,,,2025-05-10 18:35:00-07:00
1746926400000,4.6976,8.2767,0,0,1,263,67.6,76,29.83,29.9019,211,189900,27653,25077600,67.6,59.76,2025-05-10,,,,2025-05-10 18:20:00-07:00
1746925500000,4.6976,10.5136,0,0,1,274,67.8,75,29.83,29.9019,270,243000,27383,24887700,67.8,59.58,2025-05-10,,,,2025-05-10 18:05:00-07:00
1746924600000,5.816,12.3031,0,0,1,273,67.3,77,29.83,29.902,275,247500,27108,24644700,67.3,59.83,2025-05-10,4.37,,,2025-05-10 17:50:00-07:00
1746923700000,6.2634,12.9742,0,0,1,262,67.6,78,29.83,29.9019,382,343800,26726,24397200,67.6,60.49,2025-05-10,,,,2025-05-10 17:35:00-07:00
1746922800000,6.9345,12.5268,0,0,1,256,68.2,78,29.83,29.9018,405,364500,26321,24053400,68.39,61.07,2025-05-10,,,,2025-05-10 17:20:00-07:00
1746921900000,4.6976,9.6188,0,0,1,270,69.4,77,29.83,29.9017,462,415800,25859,23688900,69.66,61.87,2025-05-10,,,,2025-05-10 17:05:00-07:00
1746921000000,5.816,10.7373,0,0,1,265,69.1,78,29.83,29.9017,474,426600,25385,23273100,69.38,61.94,2025-05-10,4.38,,,2025-05-10 16:50:00-07:00
1746920100000,6.4871,11.8558,0,0,1,260,68.9,78,29.83,29.9017,561,504900,24824,22846500,69.16,61.75,2025-05-10,,,,2025-05-10 16:35:00-07:00
1746919200000,6.4871,11.6321,0,0,1,263,69.6,77,29.83,29.9016,606,545400,24218,22341600,69.88,62.06,2025-05-10,,,,2025-05-10 16:20:00-07:00
1746918300000,6.0397,11.6321,0,0,1,253,69.4,77,29.83,29.9017,643,578700,23575,21796200,69.66,61.87,2025-05-10,,,,2025-05-10 16:05:00-07:00
1746916500000,4.6976,7.6056,0,0,1,237,70.7,73,29.83,29.9015,718,646200,22857,21217500,70.9,61.61,2025-05-10,,,,2025-05-10 15:35:00-07:00
1746915600000,5.145,8.2767,0,0,1,231,69.3,75,29.84,29.9117,746,671400,21326,19864800,69.46,61.03,2025-05-10,,,,2025-05-10 15:20:00-07:00
1746914700000,4.6976,8.7241,0,0,1,220,68.7,76,29.85,29.9218,785,706500,22072,19899900,68.84,60.82,2025-05-10,4.39,America/Los_Angeles,True,2025-05-10 15:05:00-07:00
1746913800000,5.816,8.5004,0,0,1,206,68.0,77,29.85,29.9219,815,733500,20511,19193400,68.0,60.51,2025-05-10,,,,2025-05-10 14:50:00-07:00
1746912900000,4.6976,7.3819,0,0,1,194,68.7,75,29.86,29.9318,841,756900,19670,18459900,68.8,60.45,2025-05-10,,,,2025-05-10 14:35:00-07:00
1746912000000,4.4739,7.1582,0,0,1,221,69.4,71,29.86,29.9317,862,775800,18808,17703000,69.38,59.58,2025-05-10,4.39,,,2025-05-10 14:20:00-07:00
1746911100000,5.145,7.8293,0,0,1,211,69.6,70,29.86,29.9317,880,792000,17928,16927200,69.55,59.37,2025-05-10,,,,2025-05-10 14:05:00-07:00
1746910200000,4.6976,7.3819,0,0,1,213,71.1,66,29.87,29.9415,894,804600,17034,16135200,71.01,59.15,2025-05-10,,,,2025-05-10 13:50:00-07:00
1746909300000,5.816,8.9477,0,0,1,220,70.3,67,29.87,29.9416,905,814500,16129,15330600,70.18,58.81,2025-05-10,,,,2025-05-10 13:35:00-07:00
1746908400000,4.9213,9.8425,0,0,1,233,71.2,67,29.88,29.9516,912,820800,15217,14516100,71.17,59.67,2025-05-10,4.4,,,2025-05-10 13:20:00-07:00
1746907500000,5.816,9.8425,0,0,1,244,69.1,70,29.88,29.9518,914,822600,14303,13695300,69.0,58.89,2025-05-10,,,,2025-05-10 13:05:00-07:00
1746906600000,5.5923,9.3951,0,0,1,235,69.8,69,29.88,29.9517,915,823500,13388,12872700,69.72,59.16,2025-05-10,,,,2025-05-10 12:50:00-07:00
1746905700000,4.6976,8.2767,0,0,1,241,70.9,67,29.88,29.9516,912,820800,12476,12049200,70.84,59.38,2025-05-10,,,,2025-05-10 12:35:00-07:00
1746904800000,4.4739,9.8425,0,0,1,272,69.3,71,29.89,29.9618,903,812700,11573,11228400,69.27,59.48,2025-05-10,4.42,,,2025-05-10 12:20:00-07:00
1746903900000,5.816,10.0662,0,0,1,270,69.1,72,29.9,29.9719,890,801000,10683,10415700,69.09,59.68,2025-05-10,,,,2025-05-10 12:05:00-07:00
1746903000000,5.145,11.1847,0,0,1,271,69.3,72,29.89,29.9618,876,788400,9807,9614700,69.31,59.88,2025-05-10,,,,2025-05-10 11:50:00-07:00
1746902100000,6.2634,11.4084,0,0,1,247,68.7,72,29.89,29.9619,859,773100,8948,8826300,68.65,59.3,2025-05-10,,,,2025-05-10 11:35:00-07:00
1746901200000,4.6976,7.6056,0,0,1,220,67.5,75,29.88,29.9521,836,752400,8112,8053200,67.5,59.29,2025-05-10,4.51,,,2025-05-10 11:20:00-07:00
1746900300000,4.2502,7.3819,0,0,1,189,67.1,77,29.88,29.9521,809,728100,7303,7300800,67.1,59.64,2025-05-10,,,,2025-05-10 11:05:00-07:00
1746899400000,4.6976,6.9345,0,0,1,183,68.2,72,29.87,29.9419,781,702900,6522,6572700,68.1,58.82,2025-05-10,,,,2025-05-10 10:50:00-07:00
1746898500000,4.2502,6.4871,0,0,1,176,68.0,69,29.87,29.942,748,673200,5774,5869800,68.0,57.44,2025-05-10,,,,2025-05-10 10:35:00-07:00
1746897600000,4.4739,7.1582,0,0,1,177,67.8,71,29.88,29.952,713,641700,3753,4019400,67.8,58.05,2025-05-10,4.44,,,2025-05-10 10:20:00-07:00
1746896700000,4.2502,7.6056,0,0,1,174,67.5,73,29.88,29.9521,674,606600,4466,4554900,67.5,58.53,2025-05-10,,America/Los_Angeles,True,2025-05-10 10:05:00-07:00
1746895800000,5.3686,8.2767,0,0,1,164,67.8,73,29.88,29.952,634,570600,4466,3948300,67.8,58.82,2025-05-10,,America/Los_Angeles,True,2025-05-10 09:50:00-07:00
1746894900000,5.145,8.9477,0,0,1,129,68.7,70,29.87,29.9419,591,531900,3162,3377700,68.56,58.51,2025-05-10,,,,2025-05-10 09:35:00-07:00
1746894000000,5.3686,9.8425,0,0,1,135,68.5,73,29.87,29.9419,546,491400,2616,2845800,68.48,59.49,2025-05-10,4.38,,,2025-05-10 09:20:00-07:00
1746893100000,4.4739,7.3819,0,0,1,138,69.3,71,29.86,29.9318,499,449100,2117,2354400,69.27,59.48,2025-05-10,,,,2025-05-10 09:05:00-07:00
1746892200000,2.908,6.9345,0,0,1,112,68.4,73,29.86,29.9319,450,405000,1667,1905300,68.37,59.4,2025-05-10,,,,2025-05-10 08:50:00-07:00
1746891300000,2.0132,5.816,0,0,1,127,67.3,76,29.87,29.9421,400,360000,1267,1500300,67.3,59.47,2025-05-10,,,,2025-05-10 08:35:00-07:00
