dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,batt1volts,local_time
1747983000000,0.0,0.0,0,0,1,87,56.8,91,29.9,29.9736,0,0,0,25449300,America/Los_Angeles,True,56.8,54.2,2025-05-22,,2025-05-22 23:50:00-07:00
1747982100000,0.0,0.0,0,0,1,87,57.2,90,29.9,29.9735,0,0,0,25449300,America/Los_Angeles,True,57.2,54.29,2025-05-22,,2025-05-22 23:35:00-07:00
1747981200000,0.0,0.0,0,0,1,87,58.3,90,29.9,29.9734,0,0,28277,25449300,,,58.3,55.38,2025-05-22,,2025-05-22 23:20:00-07:00
1747980300000,0.0,3.1317,0,0,1,87,59.2,90,29.9,29.9733,0,0,28277,25449300,,,59.2,56.27,2025-05-22,,2025-05-22 23:05:00-07:00
1747979400000,0.4474,3.1317,0,0,1,96,59.0,91,29.9,29.9733,0,0,28277,25449300,,,59.0,56.37,2025-05-22,4.29,2025-05-22 22:50:00-07:00
1747978500000,0.0,1.7895,0,0,1,107,58.5,91,29.9,29.9734,0,0,28277,25449300,,,58.5,55.88,2025-05-22,,2025-05-22 22:35:00-07:00
1747977600000,0.0,0.0,0,0,1,107,58.5,91,29.9,29.9734,0,0,28277,25449300,,,58.5,55.88,2025-05-22,,2025-05-22 22:20:00-07:00
1747976700000,0.0,0.0,0,0,1,107,58.8,91,29.9,29.9733,0,0,28277,25449300,,,58.8,56.18,2025-05-22,,2025-05-22 22:05:00-07:00
1747975800000,0.0,1.5659,0,0,1,107,58.8,90,29.89,29.9633,0,0,28277,25449300,,,58.8,55.87,2025-05-22,4.3,2025-05-22 21:50:00-07:00
1747974900000,0.0,1.5659,0,0,1,107,59.4,90,29.89,29.9632,0,0,28277,25449300,,,59.4,56.46,2025-05-22,,2025-05-22 21:35:00-07:00
1747974000000,0.0,1.5659,0,0,1,107,59.7,90,29.89,29.9632,0,0,28277,25449300,,,59.7,56.76,2025-05-22,,2025-05-22 21:20:00-07:00
1747973100000,0.0,2.2369,0,0,1,107,59.9,89,29.89,29.9631,0,0,28277,25449300,,,59.9,56.65,2025-05-22,,2025-05-22 21:05:00-07:00
1747972200000,0.0,1.5659,0,0,1,107,59.9,88,29.88,29.9531,0,0,28277,25449300,,,59.9,56.33,2025-05-22,4.31,2025-05-22 20:50:00-07:00
1747971300000,1.3422,3.8028,0,0,1,107,59.7,88,29.88,29.9531,0,0,28277,25449300,,,59.7,56.14,2025-05-22,,2025-05-22 20:35:00-07:00
1747970400000,2.2369,5.5923,0,0,1,107,60.1,86,29.88,29.9531,0,0,28277,25449300,,,60.1,55.9,2025-05-22,,2025-05-22 20:20:00-07:00
1747969500000,2.4606,6.0397,0,0,1,107,60.8,85,29.88,29.953,4,3600,28273,25449300,,,60.8,56.26,2025-05-22,,2025-05-22 20:05:00-07:00
1747968600000,2.4606,6.0397,0,0,1,107,61.7,84,29.87,29.9428,14,12600,28259,25445700,,,61.7,56.81,2025-05-22,4.31,2025-05-22 19:50:00-07:00
1747967700000,2.2369,4.0265,0,0,1,109,63.1,81,29.86,29.9326,36,32400,28223,25433100,,,63.1,57.17,2025-05-22,,2025-05-22 19:35:00-07:00
1747966800000,2.2369,4.4739,0,0,1,112,64.0,80,29.86,29.9325,74,66600,28149,25400700,,,64.0,57.7,2025-05-22,,2025-05-22 19:20:00-07:00
1747965900000,1.7895,4.6976,0,0,1,139,64.6,78,29.86,29.9324,110,99000,28039,25334100,,,64.6,57.58,2025-05-22,,2025-05-22 19:05:00-07:00
1747965000000,1.5659,4.2502,0,0,1,208,64.0,81,29.87,29.9425,150,135000,27889,25235100,,,64.0,58.05,2025-05-22,4.33,2025-05-22 18:50:00-07:00
1747964100000,1.5659,4.6976,0,0,1,208,63.5,81,29.87,29.9426,194,174600,27695,25100100,,,63.5,57.56,2025-05-22,,2025-05-22 18:35:00-07:00
1747963200000,1.5659,5.145,0,0,1,208,63.3,82,29.87,29.9426,204,183600,27289,24743700,,,63.3,57.71,2025-05-22,,2025-05-22 18:20:00-07:00
1747962300000,2.0132,4.6976,0,0,1,208,63.3,81,29.87,29.9426,202,181800,27493,24741900,America/Los_Angeles,True,63.3,57.37,2025-05-22,,2025-05-22 18:05:00-07:00
1747961400000,3.1317,5.3686,0,0,1,206,63.7,81,29.87,29.9426,309,278100,26980,24560100,,,63.7,57.76,2025-05-22,,2025-05-22 17:50:00-07:00
1747960500000,3.8028,6.2634,0,0,1,204,63.5,81,29.87,29.9426,321,288900,26233,23898600,,,63.5,57.56,2025-05-22,,2025-05-22 17:35:00-07:00
1747959600000,4.4739,7.3819,0,0,1,210,63.9,80,29.87,29.9425,426,383400,26554,23993100,America/Los_Angeles,True,63.9,57.6,2025-05-22,,2025-05-22 17:20:00-07:00
1747958700000,4.2502,7.1582,0,0,1,216,64.2,79,29.88,29.9525,459,413100,25774,23609700,,,64.2,57.55,2025-05-22,4.38,2025-05-22 17:05:00-07:00
1747957800000,4.6976,7.6056,0,0,1,219,64.4,79,29.88,29.9525,519,467100,25255,23196600,,,64.4,57.74,2025-05-22,,2025-05-22 16:50:00-07:00
1747956900000,4.4739,7.6056,0,0,1,207,64.4,79,29.88,29.9525,565,508500,24690,22729500,,,64.4,57.74,2025-05-22,,2025-05-22 16:35:00-07:00
1747956000000,4.9213,7.8293,0,0,1,223,64.6,78,29.88,29.9525,610,549000,24080,22221000,,,64.6,57.58,2025-05-22,,2025-05-22 16:20:00-07:00
1747955100000,4.6976,7.6056,0,0,1,228,64.8,78,29.88,29.9524,651,585900,23429,21672000,,,64.8,57.77,2025-05-22,4.38,2025-05-22 16:05:00-07:00
1747954200000,4.6976,7.6056,0,0,1,221,64.6,78,29.89,29.9625,689,620100,22740,21086100,,,64.6,57.58,2025-05-22,,2025-05-22 15:50:00-07:00
1747953300000,5.145,8.9477,0,0,1,237,65.1,77,29.89,29.9624,726,653400,22014,20466000,,,65.1,57.7,2025-05-22,,2025-05-22 15:35:00-07:00
