dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time
1752130200000,0.0,2.6843,0.0,0.02,1,57,60.1,86,55.9,60.1,29.9,29.9731,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 23:50:00-07:00
1752129300000,0.2237,2.908,0.0,0.02,1,57,61.2,86,56.98,61.2,29.91,29.983,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 23:35:00-07:00
1752128400000,1.1185,8.5004,0.0,0.02,1,58,61.7,86,57.47,61.7,29.91,29.9829,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,4.29,,,2025-07-09 23:20:00-07:00
1752127500000,1.3422,6.2634,0.0,0.02,1,62,61.9,85,57.34,61.9,29.91,29.9829,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 23:05:00-07:00
1752126600000,2.4606,9.3951,0.0,0.02,1,93,61.9,85,57.34,61.9,29.91,29.9829,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 22:50:00-07:00
1752125700000,1.7895,6.7108,0.0,0.02,1,78,62.1,84,57.2,62.1,29.91,29.9829,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 22:35:00-07:00
1752124800000,1.7895,6.9345,0.0,0.02,1,91,62.4,84,57.5,62.4,29.91,29.9828,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,4.3,,,2025-07-09 22:20:00-07:00
1752123900000,0.8948,4.2502,0.0,0.02,1,97,62.4,83,57.16,62.4,29.92,29.9929,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 22:05:00-07:00
1752123000000,0.8948,5.5923,0.0,0.02,1,112,62.6,83,57.36,62.6,29.91,29.9828,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 21:50:00-07:00
1752122100000,0.6711,2.6843,0.0,0.02,1,101,62.8,82,57.22,62.8,29.91,29.9828,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 21:35:00-07:00
1752121200000,1.5659,6.9345,0.0,0.02,1,88,63.1,82,57.51,63.1,29.91,29.9827,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,4.31,,,2025-07-09 21:20:00-07:00
1752120300000,1.5659,5.145,0.0,0.02,1,74,63.1,81,57.17,63.1,29.91,29.9827,0,0,29757,26781300,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 21:05:00-07:00
1752119400000,0.8948,3.1317,0.0,0.02,1,88,63.1,80,56.83,63.1,29.91,29.9827,0,0,29755,26779500,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 20:50:00-07:00
1752118500000,0.6711,2.4606,0.0,0.02,1,88,63.3,79,56.67,63.3,29.91,29.9827,0,0,29755,26781300,,2025-07-09,,America/Los_Angeles,True,2025-07-09 20:35:00-07:00
1752117600000,1.3422,3.8028,0.0,0.02,1,88,64.2,78,57.19,64.2,29.91,29.9826,2,1800,29755,26781300,,2025-07-09,,America/Los_Angeles,True,2025-07-09 20:20:00-07:00
1752116700000,1.5659,4.6976,0.0,0.02,1,88,65.1,76,57.34,65.1,29.91,29.9825,10,9000,29745,26779500,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 20:05:00-07:00
1752115800000,2.4606,6.2634,0.0,0.02,1,92,66.0,74,57.47,66.0,29.91,29.9823,21,18900,29724,26770500,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 19:50:00-07:00
1752114900000,2.2369,7.3819,0.0,0.02,1,119,66.7,72,57.38,66.7,29.9,29.9722,65,58500,29659,26751600,2025-06-28T12:35:00.000Z,2025-07-09,4.31,,,2025-07-09 19:35:00-07:00
1752114000000,4.2502,8.9477,0.0,0.02,1,110,67.5,70,57.36,67.5,29.9,29.9721,99,89100,29560,26693100,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 19:20:00-07:00
1752113100000,4.9213,8.7241,0.0,0.02,1,125,68.2,68,57.23,67.92,29.91,29.982,137,123300,29423,26604000,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 19:05:00-07:00
1752112200000,5.5923,10.0662,0.0,0.02,1,126,68.5,69,57.92,68.29,29.91,29.982,177,159300,29246,26480700,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 18:50:00-07:00
1752111300000,3.8028,6.2634,0.0,0.02,1,176,66.9,74,58.34,66.9,29.91,29.9822,220,198000,29026,26321400,2025-06-28T12:35:00.000Z,2025-07-09,4.33,,,2025-07-09 18:35:00-07:00
1752110400000,4.4739,6.9345,0.0,0.02,1,177,67.5,73,58.53,67.5,29.9,29.9721,266,239400,28760,26123400,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 18:20:00-07:00
1752109500000,4.6976,8.5004,0.0,0.02,1,157,69.3,70,59.08,69.22,29.89,29.9618,311,279900,28449,25884000,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 18:05:00-07:00
1752108600000,5.5923,9.1714,0.0,0.02,1,159,68.4,72,59.01,68.32,29.9,29.972,359,323100,28090,25604100,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 17:50:00-07:00
1752107700000,5.5923,9.6188,0.0,0.02,1,170,67.5,73,58.53,67.5,29.9,29.9721,406,365400,27684,25281000,2025-06-28T12:35:00.000Z,2025-07-09,4.37,,,2025-07-09 17:35:00-07:00
1752106800000,5.145,7.8293,0.0,0.02,1,176,67.5,73,58.53,67.5,29.91,29.9821,453,407700,27231,24915600,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 17:20:00-07:00
1752105900000,5.5923,8.7241,0.0,0.02,1,165,68.0,72,58.63,68.0,29.91,29.9821,499,449100,26732,24507900,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 17:05:00-07:00
1752105000000,6.2634,10.0662,0.0,0.02,1,159,69.4,70,59.18,69.33,29.93,30.0019,544,489600,26188,24058800,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 16:50:00-07:00
1752104100000,4.9213,11.1847,0.0,0.02,1,133,70.2,68,59.13,70.12,29.93,30.0018,588,529200,25600,23569200,2025-06-28T12:35:00.000Z,2025-07-09,4.38,,,2025-07-09 16:35:00-07:00
1752103200000,6.0397,9.8425,0.0,0.02,1,158,68.0,72,58.63,68.0,29.94,30.0121,630,567000,24970,23040000,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 16:20:00-07:00
1752102300000,6.0397,9.8425,0.0,0.02,1,154,68.4,72,59.01,68.32,29.94,30.0121,671,603900,24299,22473000,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 16:05:00-07:00
1752101400000,4.9213,8.2767,0.0,0.02,1,161,69.1,71,59.29,69.05,29.94,30.012,710,639000,23589,21869100,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 15:50:00-07:00
1752100500000,4.4739,7.3819,0.0,0.02,1,177,68.7,71,58.91,68.61,29.95,30.0221,744,669600,22845,21230100,2025-06-28T12:35:00.000Z,2025-07-09,4.38,,,2025-07-09 15:35:00-07:00
1752099600000,5.145,8.5004,0.0,0.02,1,203,68.5,72,59.11,68.43,29.95,30.0221,777,699300,22068,20560500,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 15:20:00-07:00
1752098700000,6.4871,10.2899,0.0,0.02,1,210,69.1,71,59.29,69.05,29.95,30.022,805,724500,21263,19861200,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 15:05:00-07:00
1752097800000,7.1582,11.1847,0.0,0.02,1,235,70.2,69,59.54,70.16,29.96,30.0319,831,747900,20432,19136700,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 14:50:00-07:00
1752096900000,7.6056,12.0795,0.0,0.02,1,241,69.6,69,58.97,69.5,29.96,30.032,853,767700,19579,18388800,2025-06-28T12:35:00.000Z,2025-07-09,4.39,,,2025-07-09 14:35:00-07:00
1752096000000,7.6056,11.4084,0.0,0.02,1,239,69.6,70,59.37,69.55,29.97,30.042,873,785700,18706,17621100,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 14:20:00-07:00
1752095100000,6.7108,10.2899,0.0,0.02,1,241,70.2,68,59.13,70.12,29.98,30.0519,888,799200,17818,16835400,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 14:05:00-07:00
1752094200000,6.2634,9.6188,0.0,0.02,1,234,70.5,68,59.42,70.45,29.98,30.0519,899,809100,16919,16036200,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 13:50:00-07:00
1752093300000,6.4871,10.0662,0.0,0.02,1,239,71.6,65,59.2,71.52,29.99,30.0618,907,816300,16012,15227100,2025-06-28T12:35:00.000Z,2025-07-09,4.4,,,2025-07-09 13:35:00-07:00
1752092400000,6.4871,10.7373,0.0,0.02,1,242,71.2,66,59.25,71.12,30.0,30.0718,911,819900,15101,14410800,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 13:20:00-07:00
1752091500000,6.0397,9.8425,0.0,0.02,1,232,71.1,68,59.99,71.11,30.0,30.0719,912,820800,14189,13590900,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 13:05:00-07:00
1752090600000,6.4871,9.3951,0.0,0.02,1,222,70.5,68,59.42,70.45,30.0,30.0719,908,817200,13281,12770100,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 12:50:00-07:00
1752089700000,6.4871,10.0662,0.0,0.02,1,232,70.7,69,60.02,70.71,29.99,30.0619,903,812700,12378,11952900,2025-06-28T12:35:00.000Z,2025-07-09,4.41,,,2025-07-09 12:35:00-07:00
1752088800000,5.816,9.6188,0.0,0.02,1,237,70.5,69,59.83,70.49,30.0,30.0719,894,804600,11484,11140200,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 12:20:00-07:00
1752087900000,5.3686,9.1714,0.0,0.02,1,232,70.0,69,59.35,69.94,30.0,30.072,882,793800,10602,10335600,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 12:05:00-07:00
1752087000000,5.5923,9.1714,0.0,0.02,1,227,68.5,71,58.72,68.39,30.01,30.0822,864,777600,9738,9541800,2025-06-28T12:35:00.000Z,2025-07-09,,,,2025-07-09 11:50:00-07:00
