dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,lastRain,batt1volts,local_time
1756277400000,0.0,0.0,0.0,0.0,1,273,59.2,91,56.57,59.2,30.01,30.0835,0,0,0,21474900,America/Los_Angeles,True,2025-08-26,,,2025-08-26 23:50:00-07:00
1756276500000,0.0,1.3422,0.0,0.0,1,273,59.5,91,56.87,59.5,30.0,30.0735,0,0,0,21474900,America/Los_Angeles,True,2025-08-26,,,2025-08-26 23:35:00-07:00
1756275600000,0.0,0.0,0.0,0.01,1,273,59.7,91,57.07,59.7,30.0,30.0734,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 23:20:00-07:00
1756274700000,0.0,0.0,0.0,0.01,1,273,59.7,91,57.07,59.7,29.99,30.0634,0,0,23861,21474900,America/Los_Angeles,True,2025-08-26,,,2025-08-26 23:05:00-07:00
1756273800000,0.0,0.0,0.0,0.01,1,273,59.9,91,57.26,59.9,29.98,30.0534,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,4.29,2025-08-26 22:50:00-07:00
1756272900000,0.0,0.0,0.0,0.01,1,273,59.9,91,57.26,59.9,29.98,30.0534,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 22:35:00-07:00
1756272000000,0.0,0.0,0.0,0.01,1,273,60.1,90,57.15,60.1,29.98,30.0533,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 22:20:00-07:00
1756271100000,0.0,0.0,0.0,0.01,1,273,60.6,90,57.65,60.6,29.97,30.0432,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 22:05:00-07:00
1756270200000,0.0,0.0,0.0,0.01,1,273,61.0,89,57.73,61.0,29.96,30.0331,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,4.3,2025-08-26 21:50:00-07:00
1756269300000,0.0,0.0,0.0,0.01,1,273,61.7,89,58.42,61.7,29.96,30.0331,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 21:35:00-07:00
1756268400000,0.0,0.0,0.0,0.01,1,273,62.1,88,58.5,62.1,29.96,30.033,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 21:20:00-07:00
1756267500000,0.2237,2.6843,0.0,0.01,1,273,62.6,87,58.67,62.6,29.96,30.0329,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 21:05:00-07:00
1756266600000,2.2369,4.2502,0.0,0.01,1,273,63.0,87,59.07,63.0,29.95,30.0228,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,4.31,2025-08-26 20:50:00-07:00
1756265700000,2.908,5.5923,0.0,0.01,1,273,63.1,87,59.16,63.1,29.95,30.0228,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 20:35:00-07:00
1756264800000,3.3554,6.9345,0.0,0.01,1,267,63.3,86,59.04,63.3,29.94,30.0128,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 20:20:00-07:00
1756263900000,3.5791,7.1582,0.0,0.01,1,263,63.7,85,59.1,63.7,29.93,30.0027,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 20:05:00-07:00
1756263000000,3.8028,7.8293,0.0,0.01,1,271,63.9,84,58.97,63.9,29.93,30.0027,0,0,23861,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,4.31,2025-08-26 19:50:00-07:00
1756262100000,4.2502,8.9477,0.0,0.01,1,277,64.6,82,58.98,64.6,29.92,29.9925,5,4500,23856,21474900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 19:35:00-07:00
1756261200000,4.9213,10.2899,0.0,0.01,1,275,65.5,80,59.16,65.5,29.92,29.9924,26,23400,23830,21470400,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 19:20:00-07:00
1756260300000,4.9213,9.8425,0.0,0.01,1,273,66.2,78,59.13,66.2,29.91,29.9823,54,48600,23776,21447000,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 19:05:00-07:00
1756259400000,4.9213,12.5268,0.0,0.01,1,274,66.7,77,59.25,66.7,29.91,29.9822,88,79200,23688,21398400,,,2025-08-26,2025-08-16T03:20:00.000Z,4.33,2025-08-26 18:50:00-07:00
1756258500000,6.0397,11.4084,0.0,0.01,1,268,67.5,76,59.66,67.5,29.91,29.9821,127,114300,23561,21319200,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 18:35:00-07:00
1756257600000,7.1582,13.869,0.0,0.01,1,274,67.6,75,59.39,67.6,29.91,29.9821,169,152100,23392,21204900,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 18:20:00-07:00
1756256700000,7.1582,14.5401,0.0,0.01,1,279,68.7,74,60.07,68.75,29.91,29.982,215,193500,23177,21052800,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 18:05:00-07:00
1756255800000,6.7108,13.1979,0.0,0.01,1,266,69.4,72,59.97,69.42,29.91,29.9819,262,235800,22915,20859300,,,2025-08-26,2025-08-16T03:20:00.000Z,4.37,2025-08-26 17:50:00-07:00
1756254900000,6.7108,14.0927,0.0,0.01,1,275,69.4,72,59.97,69.42,29.91,29.9819,310,279000,22605,20623500,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 17:35:00-07:00
1756254000000,6.9345,12.7505,0.0,0.01,1,275,69.8,71,59.96,69.82,29.91,29.9818,358,322200,22247,20344500,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 17:20:00-07:00
1756253100000,7.3819,14.7638,0.0,0.01,1,273,69.8,72,60.36,69.86,29.91,29.9818,407,366300,21840,20022300,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 17:05:00-07:00
1756252200000,7.8293,14.5401,0.0,0.01,1,275,69.8,72,60.36,69.86,29.91,29.9818,453,407700,21387,19656000,,,2025-08-26,2025-08-16T03:20:00.000Z,4.37,2025-08-26 16:50:00-07:00
1756251300000,7.6056,14.9875,0.0,0.01,1,274,70.5,72,61.03,70.63,29.92,29.9917,499,449100,20888,19248300,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 16:35:00-07:00
1756250400000,7.3819,14.0927,0.0,0.01,1,272,70.5,72,61.03,70.63,29.92,29.9917,542,487800,20346,18799200,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 16:20:00-07:00
1756249500000,8.053,13.869,0.0,0.01,1,266,71.1,71,61.21,71.25,29.92,29.9917,584,525600,19762,18311400,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 16:05:00-07:00
1756248600000,6.9345,14.0927,0.0,0.01,1,269,71.2,71,61.3,71.36,29.93,30.0017,623,560700,19139,17785800,,,2025-08-26,2025-08-16T03:20:00.000Z,4.38,2025-08-26 15:50:00-07:00
1756247700000,7.6056,13.869,0.0,0.01,1,269,71.2,71,61.3,71.36,29.93,30.0017,660,594000,18479,17225100,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 15:35:00-07:00
1756246800000,6.9345,14.0927,0.0,0.01,1,268,72.0,70,61.67,72.19,29.94,30.0116,692,622800,17065,15981300,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 15:20:00-07:00
1756245900000,7.1582,14.9875,0.0,0.01,1,266,72.1,69,61.36,72.25,29.94,30.0116,722,649800,17757,16008300,America/Los_Angeles,True,2025-08-26,,,2025-08-26 15:05:00-07:00
1756245000000,7.3819,13.6453,0.0,0.01,1,266,71.8,70,61.48,71.97,29.94,30.0116,749,674100,16316,15358500,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 14:50:00-07:00
1756244100000,8.053,13.4216,0.0,0.01,1,266,71.8,69,61.07,71.92,29.95,30.0216,774,696600,15542,14684400,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 14:35:00-07:00
1756243200000,6.7108,12.7505,0.0,0.01,1,259,72.9,68,61.71,73.09,29.95,30.0215,794,714600,14748,13987800,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 14:20:00-07:00
1756242300000,6.9345,13.4216,0.0,0.01,1,258,72.5,68,61.32,72.65,29.96,30.0316,811,729900,13937,13273200,,,2025-08-26,2025-08-16T03:20:00.000Z,4.39,2025-08-26 14:05:00-07:00
1756241400000,7.6056,12.5268,0.0,0.01,1,247,72.0,70,61.67,72.19,29.96,30.0316,825,742500,13112,12543300,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 13:50:00-07:00
1756240500000,7.3819,12.3031,0.0,0.01,1,242,71.4,70,61.09,71.53,29.97,30.0417,835,751500,12277,11800800,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 13:35:00-07:00
1756239600000,7.3819,11.6321,0.0,0.01,1,240,71.4,70,61.09,71.53,29.97,30.0417,841,756900,11436,11049300,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 13:20:00-07:00
1756238700000,7.1582,11.4084,0.0,0.01,1,243,71.2,70,60.9,71.31,29.97,30.0418,844,759600,9748,9532800,,,2025-08-26,2025-08-16T03:20:00.000Z,4.4,2025-08-26 13:05:00-07:00
1756237800000,6.9345,10.7373,0.0,0.01,1,247,71.2,71,61.3,71.36,29.97,30.0418,844,759600,10592,9532800,America/Los_Angeles,True,2025-08-26,,,2025-08-26 12:50:00-07:00
1756236900000,6.4871,10.7373,0.0,0.01,1,227,70.7,72,61.22,70.85,29.97,30.0418,837,753300,8911,8773200,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 12:35:00-07:00
1756236000000,6.2634,11.6321,0.0,0.01,1,243,70.9,71,61.02,71.03,29.97,30.0418,829,746100,8082,8019900,,,2025-08-26,2025-08-16T03:20:00.000Z,4.42,2025-08-26 12:20:00-07:00
1756235100000,6.7108,11.1847,0.0,0.01,1,240,70.9,71,61.02,71.03,29.97,30.0418,819,737100,7263,7273800,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 12:05:00-07:00
1756234200000,7.1582,10.961,0.0,0.01,1,239,70.2,72,60.74,70.3,29.96,30.0319,801,720900,6462,6536700,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 11:50:00-07:00
1756233300000,6.9345,11.1847,0.0,0.01,1,242,70.3,73,61.22,70.46,29.96,30.0319,781,702900,5681,5815800,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 11:35:00-07:00
1756232400000,6.7108,11.1847,0.0,0.01,1,241,70.3,73,61.22,70.46,29.96,30.0319,757,681300,4924,5112900,,,2025-08-26,2025-08-16T03:20:00.000Z,4.51,2025-08-26 11:20:00-07:00
1756231500000,6.7108,10.7373,0.0,0.01,1,213,68.7,76,60.82,68.84,29.97,30.0421,730,657000,4194,4431600,,,2025-08-26,2025-08-16T03:20:00.000Z,,2025-08-26 11:05:00-07:00
