dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,batt1volts,local_time
1756968600000,1.1185,5.3686,0,0,1,72,67.5,89,64.14,67.5,29.87,29.942,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 23:50:00-07:00
1756967700000,0.4474,4.2502,0,0,1,67,67.5,88,63.82,67.5,29.87,29.942,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 23:35:00-07:00
1756966800000,0.4474,4.0265,0,0,1,67,67.5,87,63.49,67.5,29.87,29.942,0,0,24709,22238100,,2025-09-03,America/Los_Angeles,True,,2025-09-03 23:20:00-07:00
1756965900000,0.2237,2.908,0,0,1,67,67.8,86,63.45,67.8,29.87,29.942,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 23:05:00-07:00
1756965000000,0.4474,3.1317,0,0,1,67,68.2,86,63.85,68.76,29.87,29.9419,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 22:50:00-07:00
1756964100000,1.1185,4.9213,0,0,1,67,68.2,86,63.85,68.76,29.88,29.952,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 22:35:00-07:00
1756963200000,1.3422,4.2502,0,0,1,67,68.0,86,63.65,68.0,29.87,29.942,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,4.29,2025-09-03 22:20:00-07:00
1756962300000,1.1185,2.908,0,0,1,67,67.8,86,63.45,67.8,29.87,29.942,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 22:05:00-07:00
1756961400000,0.4474,2.0132,0,0,1,67,68.0,86,63.65,68.0,29.88,29.952,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 21:50:00-07:00
1756960500000,1.3422,4.6976,0,0,1,56,68.4,86,64.04,68.98,29.87,29.9419,0,0,24709,22238100,2025-08-31T13:50:00.000Z,2025-09-03,,,,2025-09-03 21:35:00-07:00
