dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,local_time
1759560600000,4.4739,10.2899,0.0,0.01,1,336,62.4,66,4.28,50.89,62.4,29.93,30.0029,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 23:50:00-07:00
1759559700000,3.3554,6.2634,0.0,0.01,1,347,61.0,73,,52.28,61.0,29.94,30.0131,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 23:35:00-07:00
1759558800000,2.6843,6.2634,0.0,0.01,1,354,61.5,74,,53.13,61.5,29.95,30.0231,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 23:20:00-07:00
1759557900000,3.1317,11.1847,0.0,0.01,1,325,62.1,74,,53.71,62.1,29.94,30.0129,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 23:05:00-07:00
1759557000000,4.4739,11.6321,0.0,0.01,1,316,62.2,74,4.29,53.81,62.2,29.95,30.023,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 22:50:00-07:00
1759556100000,5.816,15.6586,0.0,0.01,1,298,62.6,73,,53.82,62.6,29.95,30.0229,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 22:35:00-07:00
1759555200000,7.3819,18.1192,0.0,0.01,1,294,63.0,71,,53.44,63.0,29.94,30.0128,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 22:20:00-07:00
1759554300000,5.5923,17.4481,0.0,0.01,1,306,63.1,70,,53.15,63.1,29.94,30.0128,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 22:05:00-07:00
1759553400000,4.6976,15.6586,0.0,0.01,1,313,63.5,69,4.29,53.14,63.5,29.93,30.0027,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 21:50:00-07:00
1759552500000,6.7108,20.3561,0.0,0.01,1,297,63.3,69,,52.95,63.3,29.93,30.0028,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 21:35:00-07:00
1759551600000,8.2767,22.8168,0.0,0.01,1,295,63.1,70,,53.15,63.1,29.93,30.0028,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 21:20:00-07:00
1759550700000,9.6188,26.6195,0.0,0.01,1,288,63.3,72,,54.11,63.3,29.94,30.0128,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 21:05:00-07:00
1759549800000,6.9345,18.5666,0.0,0.01,1,281,64.4,65,,52.37,64.4,29.93,30.0026,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 20:50:00-07:00
1759548900000,2.0132,7.6056,0.0,0.01,1,306,65.8,56,,49.66,65.8,29.93,30.0024,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 20:35:00-07:00
1759548000000,2.908,7.6056,0.0,0.01,1,343,66.9,53,,49.2,66.9,29.93,30.0023,0,0,21111,18999900,,2025-10-03,America/Los_Angeles,True,2025-10-03 20:20:00-07:00
1759547100000,4.2502,8.7241,0.0,0.01,1,344,67.6,52,,49.34,67.6,29.92,29.9921,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 20:05:00-07:00
1759546200000,4.6976,11.4084,0.0,0.01,1,341,67.6,52,,49.34,67.6,29.91,29.9821,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 19:50:00-07:00
1759545300000,4.6976,9.3951,0.0,0.01,1,337,68.0,53,,50.22,68.0,29.91,29.9821,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 19:35:00-07:00
1759544400000,5.145,10.5136,0.0,0.01,1,337,68.5,52,4.31,50.17,67.49,29.9,29.972,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 19:20:00-07:00
1759543500000,4.2502,8.9477,0.0,0.01,1,330,69.1,51,,50.2,68.11,29.9,29.9719,0,0,21111,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 19:05:00-07:00
1759542600000,3.8028,14.5401,0.0,0.01,1,321,69.3,50,,49.85,68.28,29.89,29.9618,1,900,21110,18999900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 18:50:00-07:00
1759541700000,3.8028,10.2899,0.0,0.01,1,324,70.5,49,,50.41,69.55,29.88,29.9516,16,14400,21094,18999000,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 18:35:00-07:00
1759540800000,4.4739,11.4084,0.0,0.01,1,335,71.1,49,4.33,50.96,70.21,29.87,29.9415,47,42300,21047,18984600,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 18:20:00-07:00
1759539900000,5.3686,12.3031,0.0,0.01,1,340,72.1,48,,51.31,71.27,29.87,29.9414,83,74700,20964,18942300,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 18:05:00-07:00
1759539000000,5.145,10.0662,0.0,0.01,1,341,72.9,46,,50.89,72.05,29.86,29.9313,123,110700,20841,18867600,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 17:50:00-07:00
1759538100000,5.3686,12.9742,0.0,0.01,1,335,73.6,44,,50.33,72.73,29.86,29.9312,166,149400,20675,18756900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 17:35:00-07:00
1759537200000,5.3686,11.1847,0.0,0.01,1,337,74.3,43,4.35,50.34,73.45,29.86,29.9311,209,188100,20466,18607500,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 17:20:00-07:00
1759536300000,4.6976,17.0007,0.0,0.01,1,317,75.2,43,,51.15,74.44,29.87,29.941,255,229500,20211,18419400,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 17:05:00-07:00
1759535400000,5.816,22.1457,0.0,0.01,1,319,75.4,42,,50.69,74.61,29.87,29.941,300,270000,19911,18189900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 16:50:00-07:00
1759534500000,4.9213,17.2244,0.0,0.01,1,325,76.1,42,,51.32,75.38,29.86,29.9308,347,312300,19564,17919900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 16:35:00-07:00
1759533600000,5.816,23.0404,0.0,0.01,1,310,77.0,41,4.38,51.48,76.33,29.87,29.9408,392,352800,19172,17607600,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 16:20:00-07:00
1759532700000,6.0397,18.7903,0.0,0.01,1,312,77.0,41,,51.48,76.33,29.87,29.9408,431,387900,18741,17254800,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 16:05:00-07:00
1759531800000,6.2634,17.6718,0.0,0.01,1,308,77.5,41,,51.92,76.88,29.87,29.9407,474,426600,18267,16866900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 15:50:00-07:00
1759530900000,7.1582,21.922,0.0,0.01,1,299,77.5,42,,52.58,76.92,29.87,29.9407,516,464400,17751,16440300,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 15:35:00-07:00
1759530000000,7.8293,20.5798,0.0,0.01,1,290,77.9,43,4.37,53.58,77.41,29.87,29.9406,556,500400,17195,15975900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 15:20:00-07:00
1759529100000,10.961,21.0272,0.0,0.01,1,273,76.6,51,,57.1,76.36,29.87,29.9408,588,529200,16607,15475500,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 15:05:00-07:00
1759528200000,12.5268,25.2774,0.0,0.01,1,265,74.1,59,,58.84,73.98,29.88,29.9512,624,561600,15983,14946300,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 14:50:00-07:00
1759527300000,14.7638,28.4091,0.0,0.01,1,265,73.8,60,,59.03,73.7,29.88,29.9512,653,587700,15330,14384700,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 14:35:00-07:00
1759526400000,14.0927,24.83,0.0,0.01,1,266,73.8,61,4.37,59.49,73.75,29.88,29.9512,682,613800,14648,13797000,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 14:20:00-07:00
1759525500000,13.869,25.0537,0.0,0.01,1,266,73.8,61,,59.49,73.75,29.89,29.9612,707,636300,13941,13183200,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 14:05:00-07:00
1759524600000,14.3164,25.9485,0.0,0.01,1,266,74.3,60,,59.5,74.25,29.9,29.9712,724,651600,13217,12546900,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 13:50:00-07:00
1759523700000,13.1979,24.1589,0.0,0.01,1,263,74.7,59,,59.4,74.64,29.91,29.9812,739,665100,12478,11895300,2025-09-26T12:35:00.000Z,2025-10-03,,,2025-10-03 13:35:00-07:00
