dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,lastRain,local_time
1764316260000,0.0,0.0,0,0,1,285,49.6,78,4.25,43.03,49.6,30.0,30.0749,0,0,0,10961100,America/Los_Angeles,True,2025-11-27,,2025-11-27 23:51:00-08:00
1764315360000,0.0,1.3422,0,0,1,285,49.5,79,,43.26,49.5,30.0,30.0749,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 23:36:00-08:00
1764314460000,0.2237,2.2369,0,0,1,285,49.8,78,,43.22,49.8,29.99,30.0648,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 23:21:00-08:00
1764313560000,0.0,0.0,0,0,1,285,50.2,78,,43.61,50.2,30.0,30.0748,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 23:06:00-08:00
1764312660000,0.0,0.0,0,0,1,285,51.3,75,4.26,43.65,51.3,30.0,30.0746,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 22:51:00-08:00
1764311760000,0.0,1.3422,0,0,1,285,51.3,76,,43.99,51.3,30.0,30.0746,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 22:36:00-08:00
1764310860000,0.0,1.1185,0,0,1,285,50.7,77,,43.76,50.7,30.01,30.0848,0,0,12179,10961100,America/Los_Angeles,True,2025-11-27,,2025-11-27 22:21:00-08:00
1764309060000,0.0,0.0,0,0,1,285,51.4,75,4.26,43.75,51.4,30.0,30.0746,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 21:51:00-08:00
1764308160000,0.0,0.0,0,0,1,285,52.2,74,,44.17,52.2,30.0,30.0745,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 21:36:00-08:00
1764307260000,0.0,0.0,0,0,1,285,52.5,74,,44.46,52.5,30.0,30.0745,0,0,12179,10961100,,,2025-11-27,2025-11-25T12:06:00.000Z,2025-11-27 21:21:00-08:00
