dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,tz,historical,local_time
1772697060000,0.4474,2.6843,0,0,1,307,53.8,79,47.44,29.91,29.9841,0,0,15968,14371200,53.8,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 23:51:00-08:00
1772696160000,0.6711,3.8028,0,0,1,307,54.5,78,47.78,29.91,29.984,0,0,15968,14371200,54.5,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 23:36:00-08:00
1772695260000,2.6843,5.5923,0,0,1,291,53.1,85,48.71,29.91,29.9842,0,0,15968,14371200,53.1,2026-02-19T18:51:00.000Z,2026-03-04,4.27,,,2026-03-04 23:21:00-08:00
1772694360000,1.5659,5.145,0,0,1,303,50.5,91,47.97,29.91,29.9845,0,0,15968,14371200,50.5,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 23:06:00-08:00
1772693460000,0.4474,3.8028,0,0,1,324,50.0,92,47.77,29.91,29.9846,0,0,15968,14371200,50.0,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 22:51:00-08:00
1772692560000,0.4474,4.0265,0,0,1,172,50.5,93,48.55,29.91,29.9845,0,0,15968,14371200,50.5,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 22:36:00-08:00
1772691660000,0.0,0.0,0,0,1,165,51.4,93,49.44,29.91,29.9844,0,0,15968,14371200,51.4,2026-02-19T18:51:00.000Z,2026-03-04,4.28,,,2026-03-04 22:21:00-08:00
1772690760000,0.0,0.0,0,0,1,165,51.6,93,49.64,29.92,29.9944,0,0,15968,14371200,51.6,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 22:06:00-08:00
1772689860000,0.0,0.0,0,0,1,165,51.6,93,49.64,29.92,29.9944,0,0,15968,14371200,51.6,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 21:51:00-08:00
1772688960000,0.0,0.0,0,0,1,165,52.0,93,50.04,29.92,29.9943,0,0,15968,14371200,52.0,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 21:36:00-08:00
1772688060000,0.0,0.0,0,0,1,165,52.0,92,49.75,29.92,29.9943,0,0,15968,14371200,52.0,2026-02-19T18:51:00.000Z,2026-03-04,4.29,,,2026-03-04 21:21:00-08:00
1772687160000,0.0,0.0,0,0,1,165,52.2,92,49.95,29.92,29.9943,0,0,15968,14371200,52.2,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 21:06:00-08:00
1772686260000,0.0,0.0,0,0,1,165,52.5,92,50.24,29.92,29.9943,0,0,15968,14371200,52.5,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 20:51:00-08:00
1772685360000,0.0,0.0,0,0,1,165,52.7,92,50.44,29.92,29.9942,0,0,15968,14371200,52.7,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 20:36:00-08:00
1772684460000,0.0,0.0,0,0,1,165,52.7,91,50.15,29.92,29.9942,0,0,15968,14371200,52.7,2026-02-19T18:51:00.000Z,2026-03-04,4.29,,,2026-03-04 20:21:00-08:00
1772683560000,0.0,1.5659,0,0,1,165,53.2,91,50.64,29.92,29.9942,0,0,15968,14371200,53.2,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 20:06:00-08:00
1772682660000,0.0,2.908,0,0,1,165,54.0,91,51.43,29.92,29.994,0,0,15968,14371200,54.0,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 19:51:00-08:00
1772681760000,0.0,0.0,0,0,1,165,54.0,91,51.43,29.92,29.994,0,0,15968,14371200,54.0,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 19:36:00-08:00
1772680860000,0.0,0.0,0,0,1,165,54.3,90,51.43,29.92,29.994,0,0,15968,14371200,54.3,2026-02-19T18:51:00.000Z,2026-03-04,4.3,,,2026-03-04 19:21:00-08:00
1772679960000,0.0,0.0,0,0,1,165,54.9,90,52.02,29.92,29.9939,0,0,15968,14371200,54.9,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 19:06:00-08:00
1772679060000,0.0,0.0,0,0,1,165,55.0,89,51.82,29.92,29.9939,0,0,15968,14371200,55.0,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 18:51:00-08:00
1772678160000,0.0,1.3422,0,0,1,165,55.6,88,52.1,29.92,29.9938,0,0,15968,14371200,55.6,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 18:36:00-08:00
1772677260000,0.0,0.0,0,0,1,165,56.1,87,52.28,29.92,29.9937,0,0,15968,14371200,56.1,2026-02-19T18:51:00.000Z,2026-03-04,4.3,,,2026-03-04 18:21:00-08:00
1772676360000,0.0,0.0,0,0,1,165,57.0,87,53.17,29.93,30.0036,4,3600,15964,14371200,57.0,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 18:06:00-08:00
1772675460000,0.8948,3.1317,0,0,1,165,57.6,86,53.44,29.93,30.0036,29,26100,15935,14367600,57.6,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 17:51:00-08:00
1772674560000,0.2237,3.1317,0,0,1,165,57.9,86,53.74,29.93,30.0035,56,50400,15879,14341500,57.9,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 17:36:00-08:00
1772673660000,2.4606,4.4739,0,0,1,165,58.1,86,53.93,29.93,30.0035,80,72000,15799,14291100,58.1,2026-02-19T18:51:00.000Z,2026-03-04,4.33,,,2026-03-04 17:21:00-08:00
1772672760000,2.4606,4.0265,0,0,1,165,58.3,85,53.81,29.93,30.0035,76,68400,15723,14219100,58.3,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 17:06:00-08:00
1772671860000,4.0265,6.0397,0,0,1,165,58.8,84,53.97,29.93,30.0034,140,126000,15583,14150700,58.8,2026-02-19T18:51:00.000Z,2026-03-04,,,,2026-03-04 16:51:00-08:00
