dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,local_time
1773643860000,0.0,0.0,0,0,1,269,54.5,93,4.28,52.52,29.95,30.0241,0,0,18983,17084700,54.5,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 23:51:00-07:00
1773642960000,0.0,0.0,0,0,1,269,54.5,93,,52.52,29.96,30.0341,0,0,18983,17084700,54.5,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 23:36:00-07:00
1773642060000,0.0,0.0,0,0,1,269,54.9,93,,52.91,29.96,30.034,0,0,18983,17084700,54.9,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 23:21:00-07:00
1773641160000,0.0,0.0,0,0,1,269,54.9,93,,52.91,29.96,30.034,0,0,18983,17084700,54.9,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 23:06:00-07:00
1773640260000,0.0,0.0,0,0,1,269,55.2,93,4.28,53.21,29.96,30.034,0,0,18983,17084700,55.2,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 22:51:00-07:00
1773639360000,0.2237,2.0132,0,0,1,269,56.1,93,,54.1,29.95,30.0238,0,0,18983,17084700,56.1,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 22:36:00-07:00
1773638460000,0.8948,2.908,0,0,1,269,56.3,93,,54.3,29.95,30.0238,0,0,18983,17084700,56.3,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 22:21:00-07:00
1773637560000,0.0,0.0,0,0,1,269,56.7,93,,54.7,29.95,30.0237,0,0,18983,17084700,56.7,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 22:06:00-07:00
1773636660000,0.0,0.0,0,0,1,269,56.8,93,4.29,54.8,29.95,30.0237,0,0,18983,17084700,56.8,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 21:51:00-07:00
1773635760000,0.8948,2.6843,0,0,1,269,57.6,93,,55.59,29.94,30.0136,0,0,18983,17084700,57.6,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 21:36:00-07:00
1773634860000,0.8948,2.908,0,0,1,269,58.1,93,,56.09,29.95,30.0235,0,0,18983,17084700,58.1,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 21:21:00-07:00
1773633960000,1.5659,3.8028,0,0,1,269,57.9,92,,55.59,29.94,30.0135,0,0,18983,17084700,57.9,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 21:06:00-07:00
1773633060000,2.6843,5.145,0,0,1,269,57.9,92,4.3,55.59,29.94,30.0135,0,0,18983,17084700,57.9,,2026-03-15,America/Los_Angeles,True,2026-03-15 20:51:00-07:00
1773632160000,2.6843,6.0397,0,0,1,269,58.1,92,,55.79,29.95,30.0235,0,0,18983,17084700,58.1,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 20:36:00-07:00
1773631260000,3.1317,4.4739,0,0,1,269,57.9,91,,55.29,29.94,30.0135,0,0,18983,17084700,57.9,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 20:21:00-07:00
1773630360000,3.1317,5.145,0,0,1,269,58.1,91,4.31,55.48,29.94,30.0135,0,0,18983,17084700,58.1,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 20:06:00-07:00
1773629460000,3.5791,5.5923,0,0,1,267,58.5,90,,55.58,29.94,30.0135,0,0,18983,17084700,58.5,2026-02-19T18:51:00.000Z,2026-03-15,,,2026-03-15 19:51:00-07:00
1773628560000,3.5791,5.816,0,0,1,277,58.8,89,,55.56,29.94,30.0134,0,0,18983,17084700,58.8,,2026-03-15,America/Los_Angeles,True,2026-03-15 19:36:00-07:00
