dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,batt1volts,local_time
1783061460000,0.0,0.0,0,0,1,288,55.2,87,51.4,29.95,30.0239,0,0,18571,16713900,55.2,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 23:51:00-07:00
1783060560000,0.0,0.0,0,0,1,288,55.2,87,51.4,29.94,30.0139,0,0,18571,16713900,55.2,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 23:36:00-07:00
1783059660000,0.0,0.0,0,0,1,288,55.4,87,51.59,29.94,30.0139,0,0,18571,16713900,55.4,,2026-07-02,America/Los_Angeles,True,,2026-07-02 23:21:00-07:00
1783058760000,0.0,0.0,0,0,1,288,55.9,87,52.09,29.94,30.0138,0,0,18571,16713900,55.9,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 23:06:00-07:00
1783057860000,0.0,0.0,0,0,1,288,56.5,86,52.36,29.94,30.0137,0,0,18571,16713900,56.5,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 22:51:00-07:00
1783056960000,0.0,0.0,0,0,1,288,57.2,86,53.05,29.94,30.0136,0,0,18571,16713900,57.2,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 22:36:00-07:00
1783056060000,0.0,0.0,0,0,1,288,57.4,86,53.25,29.94,30.0136,0,0,18571,16713900,57.4,2026-06-06T17:21:00.000Z,2026-07-02,,,4.28,2026-07-02 22:21:00-07:00
1783054260000,0.0,0.0,0,0,1,288,58.6,84,53.78,29.93,30.0034,0,0,18571,16713900,58.6,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 21:51:00-07:00
1783053360000,0.4474,2.2369,0,0,1,288,59.4,84,54.56,29.93,30.0033,0,0,18571,16713900,59.4,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 21:36:00-07:00
1783052460000,0.8948,3.5791,0,0,1,288,59.5,83,54.33,29.93,30.0033,0,0,18571,16713900,59.5,2026-06-06T17:21:00.000Z,2026-07-02,,,4.29,2026-07-02 21:21:00-07:00
1783051560000,2.0132,4.6976,0,0,1,288,59.9,83,54.72,29.93,30.0032,0,0,18571,16713900,59.9,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 21:06:00-07:00
1783050660000,1.5659,4.0265,0,0,1,288,60.3,82,54.78,29.93,30.0032,0,0,18571,16713900,60.3,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 20:51:00-07:00
1783049760000,2.6843,6.9345,0,0,1,287,60.6,81,54.73,29.93,30.0031,0,0,18571,16713900,60.6,2026-06-06T17:21:00.000Z,2026-07-02,,,,2026-07-02 20:36:00-07:00
