dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,local_time
1785221460000,0.6711,2.908,0,0,1,81,65.8,83,4.26,60.49,29.85,29.9222,0,0,27476,24728400,65.8,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 23:51:00-07:00
1785220560000,0.0,2.0132,0,0,1,81,66.6,83,,61.27,29.85,29.9221,0,0,27476,24728400,66.6,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 23:36:00-07:00
1785219660000,0.8948,3.8028,0,0,1,81,66.7,82,,61.02,29.85,29.9221,0,0,27476,24728400,66.7,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 23:21:00-07:00
1785218760000,1.3422,3.5791,0,0,1,81,67.5,82,,61.8,29.84,29.912,0,0,27476,24728400,67.5,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 23:06:00-07:00
1785217860000,1.3422,4.4739,0,0,1,81,67.8,81,4.28,61.75,29.84,29.9119,0,0,27476,24728400,67.8,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 22:51:00-07:00
1785216960000,1.1185,4.0265,0,0,1,83,68.0,80,,61.59,29.84,29.9119,0,0,27476,24728400,68.0,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 22:36:00-07:00
1785216060000,1.1185,6.7108,0,0,1,72,68.2,80,,61.79,29.84,29.9119,0,0,27476,24728400,68.48,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 22:21:00-07:00
1785215160000,0.8948,6.7108,0,0,1,109,68.7,80,,62.27,29.84,29.9118,0,0,27476,24728400,69.03,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 22:06:00-07:00
1785214260000,0.6711,6.0397,0,0,1,79,69.1,79,4.28,62.3,29.83,29.9017,0,0,27476,24728400,69.42,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 21:51:00-07:00
1785213360000,0.8948,3.3554,0,0,1,30,69.3,79,,62.5,29.83,29.9017,0,0,27476,24728400,69.64,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 21:36:00-07:00
1785212460000,0.8948,4.0265,0,0,1,85,69.6,78,,62.43,29.83,29.9016,0,0,27476,24728400,69.93,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 21:21:00-07:00
1785211560000,1.3422,5.145,0,0,1,51,70.0,77,,62.45,29.83,29.9016,0,0,27476,24728400,70.32,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 21:06:00-07:00
1785210660000,1.1185,3.8028,0,0,1,62,70.2,76,4.29,62.27,29.83,29.9016,0,0,27476,24728400,70.49,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 20:51:00-07:00
1785209760000,0.6711,4.0265,0,0,1,89,70.7,75,,62.38,29.83,29.9015,0,0,27476,24728400,71.0,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 20:36:00-07:00
1785208860000,0.4474,2.908,0,0,1,177,71.2,74,,62.48,29.83,29.9014,0,0,27476,24728400,71.5,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 20:21:00-07:00
1785207960000,0.0,1.5659,0,0,1,235,71.6,74,,62.86,29.83,29.9014,4,3600,27472,24728400,71.94,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 20:06:00-07:00
1785207060000,0.0,0.0,0,0,1,235,72.0,74,4.29,63.25,29.83,29.9013,13,11700,27459,24724800,72.38,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 19:51:00-07:00
1785206160000,0.4474,3.1317,0,0,1,212,73.0,72,,63.43,29.83,29.9012,43,38700,27416,24713100,73.38,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 19:36:00-07:00
1785205260000,2.0132,5.145,0,0,1,178,73.2,73,,64.01,29.83,29.9012,74,66600,27342,24674400,73.65,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 19:21:00-07:00
1785204360000,3.5791,6.7108,0,0,1,178,73.8,71,,63.79,29.83,29.9011,107,96300,27235,24607800,74.22,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 19:06:00-07:00
1785203460000,3.5791,6.2634,0,0,1,178,74.3,71,4.3,64.27,29.83,29.901,144,129600,27091,24511500,74.77,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 18:51:00-07:00
1785202560000,3.3554,6.7108,0,0,1,178,75.0,69,,64.12,29.83,29.9009,185,166500,26906,24381900,75.44,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 18:36:00-07:00
1785201660000,4.4739,7.1582,0,0,1,172,76.3,65,,63.65,29.84,29.9108,227,204300,26679,24215400,76.69,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 18:21:00-07:00
1785200760000,3.8028,8.2767,0,0,1,180,76.5,66,,64.28,29.84,29.9107,272,244800,26407,24011100,76.95,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 18:06:00-07:00
1785199860000,2.6843,6.0397,0,0,1,180,74.5,69,4.34,63.65,29.85,29.921,317,285300,26090,23766300,74.89,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 17:51:00-07:00
1785198960000,3.8028,6.4871,0,0,1,180,73.2,71,,63.22,29.85,29.9212,361,324900,25729,23481000,73.56,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 17:36:00-07:00
1785198060000,2.6843,6.9345,0,0,1,220,73.6,70,,63.2,29.86,29.9312,406,365400,25323,23156100,73.95,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 17:21:00-07:00
1785197160000,3.1317,6.2634,0,0,1,196,72.7,72,,63.14,29.87,29.9413,450,405000,24873,22790700,73.05,2026-06-06T17:21:00.000Z,2026-07-27,2026-07-27 17:06:00-07:00
