dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,local_time
1787813460000,0.0,0.0,0.0,0.02,1,213,67.5,85,62.83,29.82,29.8919,0,0,22439,20195100,67.5,2026-08-26T10:21:00.000Z,2026-08-26,,2026-08-26 23:51:00-07:00
1787812560000,0.0,0.0,0.0,0.02,1,213,67.5,85,62.83,29.82,29.8919,0,0,22439,20195100,67.5,2026-08-26T10:21:00.000Z,2026-08-26,4.27,2026-08-26 23:36:00-07:00
1787811660000,0.0,0.0,0.0,0.02,1,213,67.5,86,63.16,29.82,29.8919,0,0,22439,20195100,67.5,2026-08-26T10:21:00.000Z,2026-08-26,,2026-08-26 23:21:00-07:00
1787810760000,0.0,0.0,0.0,0.02,1,213,67.5,85,62.83,29.82,29.8919,0,0,22439,20195100,67.5,2026-08-26T10:21:00.000Z,2026-08-26,,2026-08-26 23:06:00-07:00
1787809860000,0.0,0.0,0.0,0.02,1,213,67.6,85,62.92,29.83,29.9019,0,0,22439,20195100,67.6,2026-08-26T10:21:00.000Z,2026-08-26,,2026-08-26 22:51:00-07:00
1787808960000,0.0,1.3422,0.0,0.02,1,213,68.2,86,63.85,29.83,29.9018,0,0,22439,20195100,68.76,2026-08-26T10:21:00.000Z,2026-08-26,4.27,2026-08-26 22:36:00-07:00
1787808060000,0.0,0.0,0.0,0.02,1,213,68.9,86,64.53,29.84,29.9118,0,0,22439,20195100,69.53,2026-08-26T10:21:00.000Z,2026-08-26,,2026-08-26 22:21:00-07:00
1787807160000,0.0,0.0,0.0,0.02,1,213,69.3,86,64.93,29.84,29.9117,0,0,22439,20195100,69.97,2026-08-26T10:21:00.000Z,2026-08-26,,2026-08-26 22:06:00-07:00
1787806260000,0.0,0.0,0.0,0.02,1,213,69.3,86,64.93,29.84,29.9117,0,0,22439,20195100,69.97,2026-08-26T10:21:00.000Z,2026-08-26,,2026-08-26 21:51:00-07:00
1787805360000,0.0,0.0,0.0,0.02,1,213,68.9,85,64.2,29.84,29.9118,0,0,22439,20195100,69.49,2026-08-26T10:21:00.000Z,2026-08-26,4.28,2026-08-26 21:36:00-07:00
