dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,batt1volts,local_time
1788504660000,2.6843,4.4739,0,0,1,248,66.9,70,56.79,29.86,29.9321,0,0,0,20655900,America/Los_Angeles,True,66.9,2026-09-03,,,2026-09-03 23:51:00-07:00
1788503760000,2.6843,4.6976,0,0,1,248,67.1,67,55.77,29.86,29.9321,0,0,22951,20655900,,,67.1,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 23:36:00-07:00
1788502860000,0.8948,3.3554,0,0,1,245,67.1,65,54.93,29.86,29.9321,0,0,22951,20655900,,,67.1,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 23:21:00-07:00
1788501960000,1.1185,2.2369,0,0,1,73,67.5,64,54.89,29.86,29.932,0,0,22951,20655900,,,67.5,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 23:06:00-07:00
1788501060000,0.4474,2.0132,0,0,1,73,66.7,66,54.97,29.86,29.9321,0,0,22951,20655900,,,66.7,2026-09-03,2026-08-26T10:21:00.000Z,4.28,2026-09-03 22:51:00-07:00
1788500160000,0.0,0.0,0,0,1,73,67.1,64,54.51,29.86,29.9321,0,0,22951,20655900,,,67.1,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 22:36:00-07:00
1788499260000,0.0,2.6843,0,0,1,19,67.5,63,54.45,29.86,29.932,0,0,22951,20655900,,,67.5,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 22:21:00-07:00
1788498360000,0.0,1.3422,0,0,1,349,68.4,62,54.86,29.86,29.9319,0,0,22951,20655900,,,67.85,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 22:06:00-07:00
1788497460000,0.8948,4.6976,0,0,1,349,68.7,62,55.15,29.86,29.9318,0,0,22951,20655900,,,68.18,2026-09-03,2026-08-26T10:21:00.000Z,4.28,2026-09-03 21:51:00-07:00
1788496560000,2.4606,6.7108,0,0,1,356,68.4,64,55.74,29.86,29.9319,0,0,22951,20655900,,,67.95,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 21:36:00-07:00
1788495660000,0.6711,4.4739,0,0,1,8,67.5,66,55.73,29.85,29.922,0,0,22951,20655900,,,67.5,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 21:21:00-07:00
1788494760000,0.2237,4.4739,0,0,1,250,66.7,74,58.14,29.85,29.9221,0,0,22951,20655900,,,66.7,2026-09-03,2026-08-26T10:21:00.000Z,,2026-09-03 21:06:00-07:00
