dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,local_time
1740296700000,0.0,0.0,0,0,1,231,49.1,94,4.07,30.25,30.3496,0,0,4490,4041000,49.1,47.45,2025-02-22,,,2025-02-22 23:45:00-08:00
1740295800000,0.0,0.8948,0,0,1,231,49.3,92,,30.25,30.3495,0,0,4490,4041000,49.3,47.07,2025-02-22,,,2025-02-22 23:30:00-08:00
1740294000000,0.0,1.1185,0,0,1,231,50.2,93,,30.24,30.3393,0,0,4490,4041000,50.2,48.25,2025-02-22,,,2025-02-22 23:00:00-08:00
1740293100000,0.0,0.0,0,0,1,231,50.4,94,4.07,30.24,30.3393,0,0,4490,4041000,50.4,48.74,2025-02-22,,,2025-02-22 22:45:00-08:00
1740292200000,0.0,1.1185,0,0,1,231,50.5,93,,30.24,30.3392,0,0,4490,4041000,50.5,48.55,2025-02-22,,,2025-02-22 22:30:00-08:00
1740290400000,0.0,1.3422,0,0,1,231,50.7,94,,30.24,30.3392,0,0,4490,4041000,50.7,49.04,2025-02-22,America/Los_Angeles,True,2025-02-22 22:00:00-08:00
1740288600000,0.0,0.0,0,0,1,231,51.4,94,,30.25,30.3491,0,0,4490,4041000,51.4,49.73,2025-02-22,,,2025-02-22 21:30:00-08:00
1740287700000,0.0,0.0,0,0,1,231,52.2,95,,30.25,30.3489,0,0,4490,4041000,52.2,50.81,2025-02-22,,,2025-02-22 21:15:00-08:00
1740286800000,0.0,0.0,0,0,1,231,52.3,93,4.07,30.24,30.3389,0,0,4490,4041000,52.3,50.34,2025-02-22,,,2025-02-22 21:00:00-08:00
1740284100000,0.0,0.0,0,0,1,231,54.3,93,,30.24,30.3385,0,0,4490,4041000,54.3,52.32,2025-02-22,,,2025-02-22 20:15:00-08:00
1740281400000,1.5659,2.6843,0,0,1,231,55.2,93,,30.23,30.3283,0,0,4490,4041000,55.2,53.21,2025-02-22,America/Los_Angeles,True,2025-02-22 19:30:00-08:00
1740280500000,0.2237,2.0132,0,0,1,231,54.7,91,4.08,30.22,30.3184,0,0,4490,4041000,54.7,52.12,2025-02-22,,,2025-02-22 19:15:00-08:00
1740279600000,0.0,1.3422,0,0,1,231,55.4,90,,30.22,30.3182,0,0,4490,4041000,55.4,52.51,2025-02-22,America/Los_Angeles,True,2025-02-22 19:00:00-08:00
1740277800000,0.0,0.0,0,0,1,231,56.5,90,4.07,30.22,30.318,0,0,4490,4041000,56.5,53.6,2025-02-22,,,2025-02-22 18:30:00-08:00
1740276900000,0.0,0.0,0,0,1,231,57.0,89,,30.22,30.3179,0,0,4490,4041000,57.0,53.79,2025-02-22,,,2025-02-22 18:15:00-08:00
1740273300000,2.2369,3.1317,0,0,1,231,59.7,81,,30.21,30.3074,10,4200,4480,4041000,59.7,53.86,2025-02-22,,,2025-02-22 17:15:00-08:00
1740271500000,1.5659,2.4606,0,0,1,231,60.8,74,4.09,30.2,30.2972,26,10920,4454,4032000,60.8,52.46,2025-02-22,,,2025-02-22 16:45:00-08:00
1740268800000,0.2237,2.2369,0,0,1,231,62.2,63,,30.19,30.2869,36,17280,4388,3981600,62.2,49.45,2025-02-22,,,2025-02-22 16:00:00-08:00
1740267000000,1.1185,2.6843,0,0,1,231,62.6,62,,30.19,30.2868,74,35520,4084,3742200,62.6,49.39,2025-02-22,,,2025-02-22 15:30:00-08:00
1740266100000,1.5659,2.6843,0,0,1,231,62.1,66,,30.19,30.2869,230,96600,4158,3882600,62.1,50.6,2025-02-22,America/Los_Angeles,True,2025-02-22 15:15:00-08:00
1740265200000,1.3422,3.1317,0,0,1,231,61.9,73,4.08,30.19,30.2869,90,43200,3994,3675600,61.9,53.15,2025-02-22,,,2025-02-22 15:00:00-08:00
1740263400000,1.7895,3.1317,0,0,1,231,62.1,71,,30.19,30.2869,83,39840,3911,3594600,62.1,52.58,2025-02-22,,,2025-02-22 14:30:00-08:00
1740261600000,2.0132,2.908,0,0,1,231,64.0,64,,30.19,30.2865,275,132000,3636,3519900,64.0,51.57,2025-02-22,,,2025-02-22 14:00:00-08:00
1740260700000,2.2369,3.5791,0,0,1,231,66.2,58,,30.19,30.2861,296,124320,3340,3272400,66.2,50.98,2025-02-22,,,2025-02-22 13:45:00-08:00
1740259800000,1.5659,3.1317,0,0,1,231,66.2,58,,30.19,30.2861,601,288480,2739,3006000,66.2,50.98,2025-02-22,,,2025-02-22 13:30:00-08:00
1740258900000,1.7895,3.1317,0,0,1,231,65.1,59,4.09,30.2,30.2964,529,222180,2210,2465100,65.1,50.41,2025-02-22,,,2025-02-22 13:15:00-08:00
1740258000000,2.0132,3.1317,0,0,1,231,64.4,61,,30.21,30.3065,536,257280,1674,1989000,64.4,50.65,2025-02-22,,,2025-02-22 13:00:00-08:00
1740255300000,2.0132,3.5791,0,0,1,231,62.6,65,,30.23,30.3269,150,63000,1276,1283400,62.6,50.67,2025-02-22,,,2025-02-22 12:15:00-08:00
1740254400000,2.0132,3.5791,0,0,1,231,62.8,62,,30.23,30.3269,151,72480,1125,1148400,62.8,49.58,2025-02-22,,,2025-02-22 12:00:00-08:00
1740253500000,1.7895,2.908,0,0,1,231,62.4,64,,30.24,30.337,184,77280,941,1012500,62.4,50.06,2025-02-22,,,2025-02-22 11:45:00-08:00
1740250800000,2.0132,3.8028,0,0,1,231,61.7,70,,30.25,30.3471,143,68640,672,733500,61.7,51.81,2025-02-22,,,2025-02-22 11:00:00-08:00
1740249900000,1.7895,3.5791,0,0,1,231,62.6,62,4.08,30.25,30.347,126,52920,815,718200,62.6,49.39,2025-02-22,America/Los_Angeles,True,2025-02-22 10:45:00-08:00
1740249000000,0.8948,2.2369,0,0,1,231,62.6,62,,30.25,30.347,152,72960,520,604800,62.6,49.39,2025-02-22,,,2025-02-22 10:30:00-08:00
1740248100000,1.7895,2.4606,0,0,1,231,63.3,56,,30.25,30.3468,75,31500,363,394200,63.3,47.33,2025-02-22,,,2025-02-22 10:15:00-08:00
1740247200000,1.1185,2.0132,0,0,1,231,62.4,63,4.08,30.25,30.347,82,39360,438,400500,62.4,49.63,2025-02-22,America/Los_Angeles,True,2025-02-22 10:00:00-08:00
1740246300000,0.4474,2.908,0,0,1,231,61.2,63,,30.25,30.3472,61,25620,302,326700,61.2,48.5,2025-02-22,,,2025-02-22 09:45:00-08:00
1740245400000,0.6711,2.4606,0,0,1,231,59.4,65,,30.25,30.3476,42,20160,260,271800,59.4,47.63,2025-02-22,,,2025-02-22 09:30:00-08:00
1740244500000,0.8948,2.0132,0,0,1,231,58.6,65,4.08,30.24,30.3377,37,15540,223,234000,58.6,46.87,2025-02-22,,,2025-02-22 09:15:00-08:00
1740243600000,2.0132,2.908,0,0,1,231,59.2,64,,30.24,30.3376,48,23040,175,200700,59.2,47.03,2025-02-22,,,2025-02-22 09:00:00-08:00
1740241800000,0.0,0.0,0,0,1,231,55.9,65,4.07,30.22,30.3181,59,28320,116,157500,55.9,44.31,2025-02-22,,,2025-02-22 08:30:00-08:00
1740240900000,0.0,0.0,0,0,1,231,53.6,73,,30.22,30.3186,34,14280,82,104400,53.6,45.16,2025-02-22,,,2025-02-22 08:15:00-08:00
1740240000000,0.0,0.0,0,0,1,231,52.3,78,,30.21,30.3088,26,12480,56,73800,52.3,45.65,2025-02-22,,,2025-02-22 08:00:00-08:00
1740239100000,0.0,0.0,0,0,1,231,50.9,83,,30.21,30.3091,24,10080,32,50400,50.9,45.92,2025-02-22,,,2025-02-22 07:45:00-08:00
1740238200000,0.0,0.0,0,0,1,231,49.1,88,4.07,30.2,30.2994,19,9120,13,28800,49.1,45.7,2025-02-22,,,2025-02-22 07:30:00-08:00
1740237300000,0.0,0.0,0,0,1,231,47.8,89,,30.19,30.2896,13,5460,0,11700,47.8,44.72,2025-02-22,,,2025-02-22 07:15:00-08:00
1740234600000,0.0,0.0,0,0,1,231,45.0,87,,30.16,30.2601,0,0,0,0,45.0,41.37,2025-02-22,,,2025-02-22 06:30:00-08:00
1740232800000,0.0,0.0,0,0,1,231,44.2,84,,30.15,30.2502,0,0,0,0,44.2,39.68,2025-02-22,,,2025-02-22 06:00:00-08:00
1740231900000,0.0,0.0,0,0,1,231,44.1,84,4.07,30.15,30.2502,0,0,0,0,44.1,39.58,2025-02-22,,,2025-02-22 05:45:00-08:00
1740230100000,0.0,0.0,0,0,1,231,44.1,85,,30.14,30.2402,0,0,0,0,44.1,39.88,2025-02-22,,,2025-02-22 05:15:00-08:00
1740229200000,0.0,0.0,0,0,1,231,44.4,84,,30.14,30.2401,0,0,0,0,44.4,39.87,2025-02-22,,,2025-02-22 05:00:00-08:00
1740228300000,0.0,0.0,0,0,1,231,44.8,84,4.07,30.14,30.24,0,0,0,0,44.8,40.27,2025-02-22,,,2025-02-22 04:45:00-08:00
1740226500000,0.0,1.1185,0,0,1,231,45.1,83,,30.13,30.2299,0,0,0,0,45.1,40.25,2025-02-22,,,2025-02-22 04:15:00-08:00
1740225600000,0.0,0.0,0,0,1,231,44.8,85,,30.13,30.23,0,0,0,0,44.8,40.57,2025-02-22,,,2025-02-22 04:00:00-08:00
1740224700000,0.0,0.0,0,0,1,231,45.0,84,4.08,30.13,30.23,0,0,0,0,45.0,40.46,2025-02-22,,,2025-02-22 03:45:00-08:00
1740222000000,0.0,0.0,0,0,1,231,45.3,83,,30.13,30.2299,0,0,0,0,45.3,40.45,2025-02-22,,,2025-02-22 03:00:00-08:00
1740221100000,0.0,1.3422,0,0,1,231,45.3,81,4.08,30.14,30.2399,0,0,0,0,45.3,39.82,2025-02-22,,,2025-02-22 02:45:00-08:00
1740220200000,0.2237,2.0132,0,0,1,231,45.1,83,,30.14,30.24,0,0,0,0,45.1,40.25,2025-02-22,,,2025-02-22 02:30:00-08:00
1740219300000,0.0,0.0,0,0,1,231,45.5,84,,30.14,30.2399,0,0,0,0,45.5,40.95,2025-02-22,,,2025-02-22 02:15:00-08:00
1740218400000,0.0,0.0,0,0,1,231,45.9,83,,30.14,30.2398,0,0,0,0,45.9,41.03,2025-02-22,,,2025-02-22 02:00:00-08:00
1740215700000,0.0,0.0,0,0,1,231,46.2,83,,30.15,30.2498,0,0,0,0,46.2,41.33,2025-02-22,,,2025-02-22 01:15:00-08:00
1740213000000,0.0,0.0,0,0,1,231,47.1,81,,30.15,30.2496,0,0,0,0,47.1,41.57,2025-02-22,,,2025-02-22 00:30:00-08:00
