dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,local_time
1740833100000,0.0,0.0,0,0,1,30,54.0,91,29.9,29.9975,0,0,0,0,54.0,51.43,2025-03-01,,,,2025-03-01 04:45:00-08:00
1740832200000,0.0,2.0132,0,0,1,30,54.0,90,29.89,29.9874,0,0,0,0,54.0,51.13,2025-03-01,4.04,America/Los_Angeles,True,2025-03-01 04:30:00-08:00
1740831300000,0.0,0.0,0,0,1,30,54.5,89,29.89,29.9873,0,0,0,0,54.5,51.32,2025-03-01,,America/Los_Angeles,True,2025-03-01 04:15:00-08:00
1740830400000,0.0,1.5659,0,0,1,30,55.0,88,29.9,29.9973,0,0,0,0,55.0,51.51,2025-03-01,,America/Los_Angeles,True,2025-03-01 04:00:00-08:00
1740829500000,0.0,1.7895,0,0,1,30,55.0,88,29.91,30.0073,0,0,0,0,55.0,51.51,2025-03-01,,America/Los_Angeles,True,2025-03-01 03:45:00-08:00
1740828600000,0.2237,1.5659,0,0,1,30,54.9,89,29.91,30.0073,0,0,0,0,54.9,51.72,2025-03-01,4.04,America/Los_Angeles,True,2025-03-01 03:30:00-08:00
1740827700000,0.4474,3.8028,0,0,1,30,54.3,91,29.92,30.0175,0,0,0,0,54.3,51.73,2025-03-01,,America/Los_Angeles,True,2025-03-01 03:15:00-08:00
1740826800000,0.0,0.8948,0,0,1,30,54.1,91,29.93,30.0275,0,0,0,0,54.1,51.53,2025-03-01,,America/Los_Angeles,True,2025-03-01 03:00:00-08:00
1740825900000,0.4474,2.908,0,0,1,30,54.3,91,29.93,30.0275,0,0,0,0,54.3,51.73,2025-03-01,,America/Los_Angeles,True,2025-03-01 02:45:00-08:00
1740825000000,0.0,1.3422,0,0,1,30,54.3,91,29.93,30.0275,0,0,0,0,54.3,51.73,2025-03-01,4.04,America/Los_Angeles,True,2025-03-01 02:30:00-08:00
1740824100000,0.6711,5.3686,0,0,1,69,54.5,91,29.94,30.0375,0,0,0,0,54.5,51.93,2025-03-01,,America/Los_Angeles,True,2025-03-01 02:15:00-08:00
1740823200000,0.0,0.0,0,0,1,91,54.5,91,29.96,30.0576,0,0,0,0,54.5,51.93,2025-03-01,,America/Los_Angeles,True,2025-03-01 02:00:00-08:00
1740822300000,1.1185,5.145,0,0,1,69,54.5,92,29.96,30.0576,0,0,0,0,54.5,52.22,2025-03-01,,America/Los_Angeles,True,2025-03-01 01:45:00-08:00
1740821400000,0.4474,2.0132,0,0,1,244,54.3,91,29.96,30.0576,0,0,0,0,54.3,51.73,2025-03-01,4.05,America/Los_Angeles,True,2025-03-01 01:30:00-08:00
1740820500000,0.2237,1.5659,0,0,1,244,54.3,92,29.98,30.0777,0,0,0,0,54.3,52.02,2025-03-01,,America/Los_Angeles,True,2025-03-01 01:15:00-08:00
1740819600000,0.0,0.0,0,0,1,244,54.3,92,29.98,30.0777,0,0,0,0,54.3,52.02,2025-03-01,,America/Los_Angeles,True,2025-03-01 01:00:00-08:00
1740818700000,0.0,0.0,0,0,1,244,54.3,92,29.98,30.0777,0,0,0,0,54.3,52.02,2025-03-01,,America/Los_Angeles,True,2025-03-01 00:45:00-08:00
1740817800000,0.0,0.0,0,0,1,244,54.3,91,29.98,30.0777,0,0,0,0,54.3,51.73,2025-03-01,4.05,America/Los_Angeles,True,2025-03-01 00:30:00-08:00
1740816900000,0.0,0.0,0,0,1,244,54.5,91,29.98,30.0776,0,0,0,0,54.5,51.93,2025-03-01,,America/Los_Angeles,True,2025-03-01 00:15:00-08:00
1740816000000,0.0,0.0,0,0,1,244,54.9,91,29.98,30.0776,0,0,0,4826700,54.9,52.32,2025-03-01,,America/Los_Angeles,True,2025-03-01 00:00:00-08:00
