dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,batt1volts,local_time
1741527900000,0,0,0,0,1,198,39.7,95,30.21,30.3113,5,900,0,4500,39.7,38.39,2025-03-09,,,,2025-03-09 06:45:00-07:00
1741527000000,0,0,0,0,1,198,39.4,94,30.21,30.3114,2,360,5,1800,39.4,37.82,2025-03-09,America/Los_Angeles,True,,2025-03-09 06:30:00-07:00
1741526100000,0,0,0,0,1,198,39.0,93,30.21,30.3114,0,0,5,0,39.0,37.15,2025-03-09,America/Los_Angeles,True,4.02,2025-03-09 06:15:00-07:00
1741525200000,0,0,0,0,1,198,38.8,93,30.22,30.3215,0,0,5,0,38.8,36.95,2025-03-09,America/Los_Angeles,True,,2025-03-09 06:00:00-07:00
1741524300000,0,0,0,0,1,198,38.8,91,30.22,30.3215,0,0,5,0,38.8,36.4,2025-03-09,America/Los_Angeles,True,,2025-03-09 05:45:00-07:00
1741523400000,0,0,0,0,1,198,38.8,90,30.21,30.3115,0,0,5,0,38.8,36.12,2025-03-09,America/Los_Angeles,True,,2025-03-09 05:30:00-07:00
1741522500000,0,0,0,0,1,198,39.4,90,30.21,30.3114,0,0,5,0,39.4,36.72,2025-03-09,America/Los_Angeles,True,4.02,2025-03-09 05:15:00-07:00
1741521600000,0,0,0,0,1,198,39.7,89,30.21,30.3113,0,0,5,0,39.7,36.73,2025-03-09,America/Los_Angeles,True,,2025-03-09 05:00:00-07:00
1741520700000,0,0,0,0,1,198,40.3,88,30.21,30.3112,0,0,5,0,40.3,37.03,2025-03-09,America/Los_Angeles,True,,2025-03-09 04:45:00-07:00
1741519800000,0,0,0,0,1,198,40.6,89,30.21,30.3111,0,0,5,0,40.6,37.62,2025-03-09,America/Los_Angeles,True,,2025-03-09 04:30:00-07:00
1741518900000,0,0,0,0,1,198,40.6,90,30.21,30.3111,0,0,5,0,40.6,37.9,2025-03-09,America/Los_Angeles,True,4.02,2025-03-09 04:15:00-07:00
1741518000000,0,0,0,0,1,198,40.6,91,30.21,30.3111,0,0,5,0,40.6,38.18,2025-03-09,America/Los_Angeles,True,,2025-03-09 04:00:00-07:00
1741517100000,0,0,0,0,1,198,40.8,88,30.22,30.3211,0,0,5,0,40.8,37.53,2025-03-09,America/Los_Angeles,True,,2025-03-09 03:45:00-07:00
1741516200000,0,0,0,0,1,198,41.2,87,30.23,30.3311,0,0,5,0,41.2,37.63,2025-03-09,America/Los_Angeles,True,,2025-03-09 03:30:00-07:00
1741515300000,0,0,0,0,1,198,41.5,87,30.24,30.341,0,0,5,0,41.5,37.92,2025-03-09,America/Los_Angeles,True,4.02,2025-03-09 03:15:00-07:00
1741514400000,0,0,0,0,1,198,41.7,87,30.24,30.341,0,0,5,0,41.7,38.12,2025-03-09,America/Los_Angeles,True,,2025-03-09 03:00:00-07:00
1741513500000,0,0,0,0,1,198,42.1,86,30.25,30.3509,0,0,5,0,42.1,38.22,2025-03-09,America/Los_Angeles,True,,2025-03-09 01:45:00-08:00
1741512600000,0,0,0,0,1,198,42.3,85,30.25,30.3509,0,0,5,0,42.3,38.12,2025-03-09,America/Los_Angeles,True,,2025-03-09 01:30:00-08:00
1741511700000,0,0,0,0,1,198,42.4,85,30.25,30.3509,0,0,5,0,42.4,38.22,2025-03-09,America/Los_Angeles,True,4.02,2025-03-09 01:15:00-08:00
1741510800000,0,0,0,0,1,198,42.8,85,30.26,30.3608,0,0,5,0,42.8,38.61,2025-03-09,America/Los_Angeles,True,,2025-03-09 01:00:00-08:00
1741509900000,0,0,0,0,1,198,43.0,83,30.26,30.3608,0,0,5,0,43.0,38.2,2025-03-09,America/Los_Angeles,True,,2025-03-09 00:45:00-08:00
1741509000000,0,0,0,0,1,198,43.0,83,30.26,30.3608,0,0,5,0,43.0,38.2,2025-03-09,America/Los_Angeles,True,,2025-03-09 00:30:00-08:00
1741508100000,0,0,0,0,1,198,43.0,85,30.27,30.3708,0,0,5,0,43.0,38.8,2025-03-09,America/Los_Angeles,True,4.03,2025-03-09 00:15:00-08:00
1741507200000,0,0,0,0,1,198,43.3,85,30.27,30.3708,0,0,5,8120700,43.3,39.1,2025-03-09,America/Los_Angeles,True,,2025-03-09 00:00:00-08:00
1741506300000,0,0,0,0,1,198,43.7,84,30.27,30.3707,0,0,5,8120700,43.7,39.19,2025-03-08,America/Los_Angeles,True,,2025-03-08 23:45:00-08:00
1741505400000,0,0,0,0,1,198,44.2,81,30.28,30.3806,0,0,5,8120700,44.2,38.75,2025-03-08,America/Los_Angeles,True,,2025-03-08 23:30:00-08:00
1741504500000,0,0,0,0,1,198,44.8,81,30.28,30.3805,0,0,5,8120700,44.8,39.33,2025-03-08,America/Los_Angeles,True,4.02,2025-03-08 23:15:00-08:00
1741503600000,0,0,0,0,1,198,45.1,79,30.28,30.3804,0,0,5,8120700,45.1,38.98,2025-03-08,America/Los_Angeles,True,,2025-03-08 23:00:00-08:00
