dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,local_time
1743576360000,0.0,4.0265,0,0,1,351,51.4,67,4.12,29.93,30.0281,0,0,1134,1020600,51.4,40.81,2025-04-01,2025-04-01 23:46:00-07:00
1743575460000,0.6711,4.6976,0,0,1,351,52.0,66,,29.94,30.038,0,0,1134,1020600,52.0,41.0,2025-04-01,2025-04-01 23:31:00-07:00
1743574560000,0.8948,7.8293,0,0,1,0,52.5,65,,29.94,30.0379,0,0,1134,1020600,52.5,41.08,2025-04-01,2025-04-01 23:16:00-07:00
1743573660000,1.7895,5.5923,0,0,1,3,52.7,64,,29.94,30.0378,0,0,1134,1020600,52.7,40.87,2025-04-01,2025-04-01 23:01:00-07:00
1743572760000,2.908,8.053,0,0,1,2,52.5,65,4.12,29.94,30.0379,0,0,1134,1020600,52.5,41.08,2025-04-01,2025-04-01 22:46:00-07:00
1743571860000,0.8948,6.9345,0,0,1,1,52.3,66,,29.95,30.0479,0,0,1134,1020600,52.3,41.28,2025-04-01,2025-04-01 22:31:00-07:00
1743570960000,0.2237,4.2502,0,0,1,1,52.5,66,,29.95,30.0479,0,0,1134,1020600,52.5,41.47,2025-04-01,2025-04-01 22:16:00-07:00
1743570060000,1.3422,4.4739,0,0,1,329,52.9,64,,29.95,30.0478,0,0,1134,1020600,52.9,41.06,2025-04-01,2025-04-01 22:01:00-07:00
1743569160000,1.3422,3.8028,0,0,1,319,53.2,62,4.12,29.95,30.0478,0,0,1134,1020600,53.2,40.52,2025-04-01,2025-04-01 21:46:00-07:00
1743568260000,1.3422,3.5791,0,0,1,319,53.2,61,,29.95,30.0478,0,0,1134,1020600,53.2,40.1,2025-04-01,2025-04-01 21:31:00-07:00
1743567360000,1.1185,3.5791,0,0,1,333,53.6,60,,29.95,30.0477,0,0,1134,1020600,53.6,40.06,2025-04-01,2025-04-01 21:16:00-07:00
1743566460000,1.3422,7.6056,0,0,1,13,53.6,61,,29.94,30.0377,0,0,1134,1020600,53.6,40.48,2025-04-01,2025-04-01 21:01:00-07:00
1743565560000,0.2237,4.2502,0,0,1,301,54.0,63,4.13,29.94,30.0376,0,0,1134,1020600,54.0,41.69,2025-04-01,2025-04-01 20:46:00-07:00
1743564660000,1.1185,6.0397,0,0,1,267,54.1,63,,29.94,30.0376,0,0,1134,1020600,54.1,41.79,2025-04-01,2025-04-01 20:31:00-07:00
1743563760000,1.7895,8.2767,0,0,1,301,54.3,62,,29.93,30.0275,0,0,1134,1020600,54.3,41.56,2025-04-01,2025-04-01 20:16:00-07:00
1743562860000,2.2369,9.8425,0,0,1,356,54.5,61,,29.93,30.0275,0,0,1134,1020600,54.5,41.33,2025-04-01,2025-04-01 20:01:00-07:00
1743561960000,2.908,17.2244,0,0,1,347,54.9,59,4.13,29.93,30.0274,0,0,1134,1020600,54.9,40.84,2025-04-01,2025-04-01 19:46:00-07:00
1743561060000,2.6843,8.9477,0,0,1,349,55.2,58,,29.94,30.0374,0,0,1134,1020600,55.2,40.68,2025-04-01,2025-04-01 19:31:00-07:00
1743560160000,2.2369,12.3031,0,0,1,349,55.6,56,,29.93,30.0273,1,420,1133,1020600,55.6,40.15,2025-04-01,2025-04-01 19:16:00-07:00
1743559260000,2.2369,14.5401,0,0,1,339,55.9,55,,29.94,30.0372,5,2400,1128,1019700,55.9,39.97,2025-04-01,2025-04-01 19:01:00-07:00
1743558360000,2.0132,8.9477,0,0,1,328,56.5,53,4.12,29.94,30.0371,5,4200,1123,1015200,56.5,39.58,2025-04-01,2025-04-01 18:46:00-07:00
1743557460000,2.4606,14.0927,0,0,1,357,57.0,52,,29.93,30.027,18,16200,1105,1010700,57.0,39.55,2025-04-01,2025-04-01 18:31:00-07:00
1743556560000,2.6843,9.8425,0,0,1,341,57.6,51,,29.94,30.0369,27,24300,1078,994500,57.6,39.61,2025-04-01,2025-04-01 18:16:00-07:00
1743555660000,1.3422,8.7241,0,0,1,301,57.9,52,4.12,29.94,30.0369,35,31500,1043,970200,57.9,40.38,2025-04-01,2025-04-01 18:01:00-07:00
1743554760000,1.1185,7.3819,0,0,1,283,57.9,53,,29.94,30.0369,45,40500,998,938700,57.9,40.87,2025-04-01,2025-04-01 17:46:00-07:00
1743553860000,1.3422,5.816,0,0,1,267,58.3,52,,29.95,30.0468,47,42300,951,898200,58.3,40.75,2025-04-01,2025-04-01 17:31:00-07:00
1743552960000,1.3422,9.6188,0,0,1,271,58.6,50,,29.95,30.0468,57,51300,894,855900,58.6,40.02,2025-04-01,2025-04-01 17:16:00-07:00
1743552060000,2.0132,7.3819,0,0,1,278,59.0,47,4.13,29.96,30.0567,61,54900,833,804600,59.0,38.8,2025-04-01,2025-04-01 17:01:00-07:00
1743551160000,1.5659,7.1582,0,0,1,255,59.5,47,,29.96,30.0566,70,63000,763,749700,59.5,39.25,2025-04-01,2025-04-01 16:46:00-07:00
1743550260000,1.1185,7.3819,0,0,1,312,60.4,47,,29.96,30.0565,63,56700,700,686700,60.4,40.08,2025-04-01,2025-04-01 16:31:00-07:00
1743549360000,2.2369,7.1582,0,0,1,321,61.3,47,,29.96,30.0563,62,55800,638,630000,61.3,40.9,2025-04-01,2025-04-01 16:16:00-07:00
1743548460000,0.8948,7.3819,0,0,1,354,62.4,43,4.13,29.96,30.0561,77,23100,561,574200,62.4,39.61,2025-04-01,2025-04-01 16:01:00-07:00
1743548160000,5.3686,10.5136,0,0,1,5,62.4,43,4.13,29.96,30.0561,82,24600,479,504900,62.4,39.61,2025-04-01,2025-04-01 15:56:00-07:00
1743547860000,2.2369,6.2634,0,0,1,272,62.6,43,4.13,29.96,30.056,66,19800,413,431100,62.6,39.79,2025-04-01,2025-04-01 15:51:00-07:00
1743547560000,3.8028,9.3951,0,0,1,321,62.8,43,4.13,29.96,30.056,66,19800,347,371700,62.8,39.97,2025-04-01,2025-04-01 15:46:00-07:00
1743547260000,3.5791,8.9477,0,0,1,2,62.8,42,4.14,29.96,30.056,76,22800,271,312300,62.8,39.36,2025-04-01,2025-04-01 15:41:00-07:00
1743546960000,4.0265,12.7505,0,0,1,347,62.8,41,4.14,29.96,30.056,102,30600,169,243900,62.8,38.75,2025-04-01,2025-04-01 15:36:00-07:00
1743546180000,0.0,2.908,0,0,1,357,62.6,42,4.14,29.97,30.0661,77,23100,92,152100,62.6,39.18,2025-04-01,2025-04-01 15:23:00-07:00
1743545880000,0.0,2.908,0,0,1,353,63.0,42,4.15,29.98,30.076,92,27600,0,82800,63.0,39.54,2025-04-01,2025-04-01 15:18:00-07:00
