dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,local_time
1744526760000,0.0,0.0,0,0,1,201,53.8,95,29.93,30.0276,0,0,8931,8037900,53.8,52.4,2025-04-12,,2025-04-12 23:46:00-07:00
1744525860000,0.0,0.0,0,0,1,201,53.6,95,29.93,30.0276,0,0,8931,8037900,53.6,52.2,2025-04-12,4.29,2025-04-12 23:31:00-07:00
1744524960000,0.0,0.0,0,0,1,201,53.2,94,29.93,30.0277,0,0,8931,8037900,53.2,51.52,2025-04-12,,2025-04-12 23:16:00-07:00
1744524060000,0.0,0.0,0,0,1,201,53.2,93,29.93,30.0277,0,0,8931,8037900,53.2,51.23,2025-04-12,,2025-04-12 23:01:00-07:00
1744523160000,0.0,0.0,0,0,1,201,53.4,92,29.93,30.0277,0,0,8931,8037900,53.4,51.13,2025-04-12,,2025-04-12 22:46:00-07:00
1744522260000,0.0,0.0,0,0,1,201,53.4,90,29.93,30.0277,0,0,8931,8037900,53.4,50.54,2025-04-12,4.3,2025-04-12 22:31:00-07:00
1744521360000,0.0,0.0,0,0,1,201,53.8,90,29.93,30.0276,0,0,8931,8037900,53.8,50.94,2025-04-12,,2025-04-12 22:16:00-07:00
1744520460000,0.2237,2.0132,0,0,1,201,54.0,90,29.93,30.0276,0,0,8931,8037900,54.0,51.13,2025-04-12,,2025-04-12 22:01:00-07:00
1744519560000,0.0,0.0,0,0,1,201,54.3,90,29.93,30.0275,0,0,8931,8037900,54.3,51.43,2025-04-12,,2025-04-12 21:46:00-07:00
1744518660000,0.2237,2.2369,0,0,1,201,54.7,88,29.93,30.0274,0,0,8931,8037900,54.7,51.22,2025-04-12,4.3,2025-04-12 21:31:00-07:00
1744517760000,0.0,0.0,0,0,1,201,55.2,87,29.92,30.0173,0,0,8931,8037900,55.2,51.4,2025-04-12,,2025-04-12 21:16:00-07:00
1744516860000,0.0,0.0,0,0,1,201,56.1,87,29.91,30.0071,0,0,8931,8037900,56.1,52.28,2025-04-12,,2025-04-12 21:01:00-07:00
1744515960000,0.0,0.0,0,0,1,201,56.8,87,29.91,30.007,0,0,8931,8037900,56.8,52.97,2025-04-12,,2025-04-12 20:46:00-07:00
1744515060000,0.0,0.0,0,0,1,201,57.2,87,29.91,30.0069,0,0,8931,8037900,57.2,53.36,2025-04-12,4.31,2025-04-12 20:31:00-07:00
1744514160000,0.0,1.3422,0,0,1,201,57.4,86,29.91,30.0069,0,0,8931,8037900,57.4,53.25,2025-04-12,,2025-04-12 20:16:00-07:00
1744513260000,0.0,1.5659,0,0,1,201,57.7,85,29.9,29.9968,0,0,8931,8037900,57.7,53.22,2025-04-12,,2025-04-12 20:01:00-07:00
1744512360000,0.0,0.0,0,0,1,201,58.3,84,29.91,30.0067,0,0,8931,8037900,58.3,53.48,2025-04-12,,2025-04-12 19:46:00-07:00
1744511460000,0.0,0.0,0,0,1,201,58.6,84,29.9,29.9966,0,0,8931,8037900,58.6,53.78,2025-04-12,4.3,2025-04-12 19:31:00-07:00
1744510560000,0.0,1.1185,0,0,1,201,59.2,83,29.9,29.9965,3,1260,8928,8037900,59.2,54.04,2025-04-12,,2025-04-12 19:16:00-07:00
1744509660000,0.4474,1.5659,0,0,1,201,59.7,82,29.9,29.9964,7,3360,8921,8035200,59.7,54.19,2025-04-12,,2025-04-12 19:01:00-07:00
1744508760000,1.1185,2.0132,0,0,1,201,60.6,80,29.9,29.9962,11,4620,8910,8028900,60.6,54.39,2025-04-12,,2025-04-12 18:46:00-07:00
1744507860000,1.7895,3.3554,0,0,1,201,63.7,77,29.89,29.9856,15,7200,8895,8019000,63.7,56.35,2025-04-12,4.32,2025-04-12 18:31:00-07:00
