dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,tz,historical,local_time
1745909160000,0.0,0.0,0,0,1,203,51.1,92,30.06,30.1585,0,0,10442,9397800,51.1,48.86,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 23:46:00-07:00
1745908260000,0.0,0.0,0,0,1,203,51.3,92,30.06,30.1585,0,0,10442,9397800,51.3,49.06,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 23:31:00-07:00
1745907360000,0.0,0.0,0,0,1,203,51.6,93,30.06,30.1584,0,0,10442,9397800,51.6,49.64,2025-04-26T15:31:00.000Z,2025-04-28,4.31,,,2025-04-28 23:16:00-07:00
1745906460000,0.0,0.0,0,0,1,203,51.8,92,30.06,30.1584,0,0,10442,9397800,51.8,49.55,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 23:01:00-07:00
1745905560000,0.0,0.0,0,0,1,203,51.8,89,30.05,30.1484,0,0,10442,9397800,51.8,48.66,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 22:46:00-07:00
1745904660000,0.0,0.0,0,0,1,203,52.2,88,30.05,30.1483,0,0,10442,9397800,52.2,48.75,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 22:31:00-07:00
1745903760000,0.0,0.0,0,0,1,203,52.9,88,30.05,30.1482,0,0,10442,9397800,52.9,49.44,2025-04-26T15:31:00.000Z,2025-04-28,4.31,,,2025-04-28 22:16:00-07:00
1745902860000,0.0,0.0,0,0,1,203,53.6,89,30.05,30.148,0,0,10442,9397800,53.6,50.44,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 22:01:00-07:00
1745901960000,0.0,0.0,0,0,1,203,54.0,88,30.04,30.1379,0,0,10442,9397800,54.0,50.53,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 21:46:00-07:00
1745901060000,0.0,0.0,0,0,1,203,54.3,87,30.04,30.1379,0,0,10442,9397800,54.3,50.51,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 21:31:00-07:00
1745900160000,0.0,0.0,0,0,1,203,54.7,86,30.04,30.1378,0,0,10442,9397800,54.7,50.59,2025-04-26T15:31:00.000Z,2025-04-28,4.31,,,2025-04-28 21:16:00-07:00
1745899260000,0.0,0.0,0,0,1,203,55.2,85,30.03,30.1277,0,0,10442,9397800,55.2,50.77,2025-04-26T15:31:00.000Z,2025-04-28,,,,2025-04-28 21:01:00-07:00
