dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,passkey,time,loc,date,batt1volts,local_time
1746600360000,0.0,0.0,0,0,1,219,58.1,86,30.03,30.1271,0,0,124,4874400,America/Los_Angeles,True,58.1,53.93,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 23:46:00-07:00
1746599460000,0.0,0.0,0,0,1,219,58.1,86,30.03,30.1271,0,0,124,4874400,America/Los_Angeles,True,58.1,53.93,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 23:31:00-07:00
1746598560000,0.0,0.0,0,0,1,219,58.3,86,30.03,30.1271,0,0,124,4874400,America/Los_Angeles,True,58.3,54.13,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,4.17,2025-05-06 23:16:00-07:00
1746597660000,0.0,0.0,0,0,1,219,58.3,86,30.04,30.1371,0,0,124,4874400,America/Los_Angeles,True,58.3,54.13,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 23:01:00-07:00
1746596760000,0.0,0.0,0,0,1,219,58.3,85,30.04,30.1371,0,0,124,4874400,America/Los_Angeles,True,58.3,53.81,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 22:46:00-07:00
1746595860000,0.0,0.0,0,0,1,219,58.3,85,30.04,30.1371,0,0,124,4874400,America/Los_Angeles,True,58.3,53.81,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 22:31:00-07:00
1746594960000,0.0,0.0,0,0,1,219,58.3,85,30.04,30.1371,0,0,124,4874400,America/Los_Angeles,True,58.3,53.81,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,4.17,2025-05-06 22:16:00-07:00
1746594060000,0.0,0.0,0,0,1,219,58.3,85,30.03,30.1271,0,0,124,4874400,America/Los_Angeles,True,58.3,53.81,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 22:01:00-07:00
1746593160000,0.0,0.0,0,0,1,219,58.5,85,30.03,30.127,0,0,124,4874400,America/Los_Angeles,True,58.5,54.0,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 21:46:00-07:00
1746592260000,0.0,0.0,0,0,1,219,58.5,85,30.02,30.117,0,0,124,4874400,America/Los_Angeles,True,58.5,54.0,184b25e1e4b0679445bdc4f9f9a9c3f0,1746576000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1746576000000.json,2025-05-06,,2025-05-06 21:31:00-07:00
