dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,lastRain,batt1volts,local_time
1747118760000,0.6711,4.4739,0,0,1,260,56.3,72,29.94,30.0372,0,0,0,8053200,America/Los_Angeles,True,56.3,47.39,2025-05-12,,,2025-05-12 23:46:00-07:00
1747117860000,0.8948,4.0265,0,0,1,260,56.5,72,29.94,30.0371,0,0,8948,8053200,,,56.5,47.58,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 23:31:00-07:00
1747116960000,0.8948,6.0397,0,0,1,245,56.5,71,29.93,30.0271,0,0,8948,8053200,,,56.5,47.21,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 23:16:00-07:00
1747116060000,1.5659,5.145,0,0,1,282,56.8,71,29.93,30.027,0,0,8948,8053200,,,56.8,47.5,2025-05-12,2025-04-26T15:31:00.000Z,4.26,2025-05-12 23:01:00-07:00
1747115160000,0.8948,5.145,0,0,1,264,57.2,72,29.93,30.027,0,0,8948,8053200,,,57.2,48.25,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 22:46:00-07:00
1747114260000,1.7895,9.8425,0,0,1,309,57.4,73,29.93,30.0269,0,0,8948,8053200,,,57.4,48.82,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 22:31:00-07:00
1747113360000,1.5659,5.145,0,0,1,244,57.6,73,29.92,30.0168,0,0,8948,8053200,,,57.6,49.01,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 22:16:00-07:00
1747112460000,0.8948,4.4739,0,0,1,243,57.7,73,29.92,30.0168,0,0,8948,8053200,,,57.7,49.1,2025-05-12,2025-04-26T15:31:00.000Z,4.26,2025-05-12 22:01:00-07:00
1747111560000,1.3422,4.4739,0,0,1,268,58.1,71,29.92,30.0168,0,0,8948,8053200,,,58.1,48.74,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 21:46:00-07:00
1747110660000,0.4474,6.2634,0,0,1,226,58.6,70,29.92,30.0167,0,0,8948,8053200,,,58.6,48.84,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 21:31:00-07:00
1747109760000,1.5659,5.5923,0,0,1,279,59.0,70,29.91,30.0066,0,0,8948,8053200,,,59.0,49.23,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 21:16:00-07:00
1747108860000,2.0132,6.4871,0,0,1,241,59.5,72,29.91,30.0065,0,0,8948,8053200,,,59.5,50.46,2025-05-12,2025-04-26T15:31:00.000Z,4.27,2025-05-12 21:01:00-07:00
1747107960000,2.2369,5.5923,0,0,1,223,60.1,70,29.9,29.9963,0,0,8948,8053200,,,60.1,50.28,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 20:46:00-07:00
1747107060000,2.0132,5.5923,0,0,1,231,60.4,69,29.9,29.9963,0,0,8948,8053200,,,60.4,50.18,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 20:31:00-07:00
1747106160000,1.7895,4.2502,0,0,1,232,60.8,71,29.9,29.9962,0,0,8948,8053200,,,60.8,51.33,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 20:16:00-07:00
1747105260000,2.0132,6.2634,0,0,1,233,61.2,70,29.89,29.9861,0,0,8947,8052300,,,61.2,51.33,2025-05-12,2025-04-26T15:31:00.000Z,4.27,2025-05-12 20:01:00-07:00
1747104360000,1.3422,6.2634,0,0,1,317,61.9,68,29.89,29.986,1,420,8947,8053200,America/Los_Angeles,True,61.9,51.22,2025-05-12,,,2025-05-12 19:46:00-07:00
1747103460000,1.5659,6.2634,0,0,1,279,62.2,69,29.89,29.9859,4,1920,8943,8052300,,,62.2,51.9,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 19:31:00-07:00
1747102560000,2.4606,6.2634,0,0,1,235,62.1,72,29.88,29.9759,7,2940,8936,8048700,,,62.1,52.96,2025-05-12,2025-04-26T15:31:00.000Z,4.28,2025-05-12 19:16:00-07:00
1747101660000,3.1317,6.9345,0,0,1,228,60.6,79,29.88,29.9762,11,5280,8925,8042400,,,60.6,54.05,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 19:01:00-07:00
1747100760000,3.8028,6.9345,0,0,1,234,61.2,77,29.88,29.976,15,6300,8910,8032500,,,61.2,53.93,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 18:46:00-07:00
1747099860000,3.8028,7.6056,0,0,1,230,62.1,76,29.88,29.9759,18,8640,8892,8019000,,,62.1,54.44,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 18:31:00-07:00
1747098960000,4.4739,7.6056,0,0,1,220,61.5,78,29.88,29.976,22,9240,8870,8002800,,,61.5,54.57,2025-05-12,2025-04-26T15:31:00.000Z,4.29,2025-05-12 18:16:00-07:00
1747098060000,5.816,8.7241,0,0,1,218,62.2,76,29.88,29.9759,28,13440,8842,7983000,,,62.2,54.54,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 18:01:00-07:00
1747097160000,5.145,8.9477,0,0,1,222,62.4,76,29.88,29.9758,43,18060,8799,7957800,,,62.4,54.73,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 17:46:00-07:00
1747096260000,5.5923,9.8425,0,0,1,222,63.1,74,29.88,29.9757,41,19680,8758,7919100,,,63.1,54.67,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 17:31:00-07:00
1747095360000,4.9213,8.9477,0,0,1,220,63.5,73,29.88,29.9756,42,17640,8716,7882200,,,63.5,54.69,2025-05-12,2025-04-26T15:31:00.000Z,4.29,2025-05-12 17:16:00-07:00
1747094460000,4.4739,8.9477,0,0,1,227,63.9,72,29.88,29.9756,42,20160,8674,7844400,,,63.9,54.69,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 17:01:00-07:00
1747093560000,4.4739,8.053,0,0,1,228,64.0,72,29.89,29.9856,49,20580,8625,7806600,,,64.0,54.79,2025-05-12,2025-04-26T15:31:00.000Z,,2025-05-12 16:46:00-07:00
