dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,local_time
1747377960000,0.0,0.0,0,0,1,213,57.2,89,4.29,29.94,30.037,0,0,8967,8070300,57.2,53.99,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 23:46:00-07:00
1747377060000,0.0,0.0,0,0,1,213,57.4,90,,29.95,30.047,0,0,8967,8070300,57.4,54.49,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 23:31:00-07:00
1747376160000,0.0,1.1185,0,0,1,213,57.6,89,,29.95,30.0469,0,0,8967,8070300,57.6,54.38,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 23:16:00-07:00
1747375260000,0.0,0.0,0,0,1,213,57.6,88,,29.95,30.0469,0,0,8967,8070300,57.6,54.07,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 23:01:00-07:00
1747374360000,0.0,0.0,0,0,1,213,57.6,87,4.29,29.95,30.0469,0,0,8967,8070300,57.6,53.76,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 22:46:00-07:00
1747373460000,0.0,0.0,0,0,1,213,57.6,86,,29.95,30.0469,0,0,8967,8070300,57.6,53.44,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 22:31:00-07:00
1747372560000,0.0,0.0,0,0,1,213,57.7,85,,29.94,30.0369,0,0,8967,8070300,57.7,53.22,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 22:16:00-07:00
1747371660000,0.0,0.0,0,0,1,213,57.6,85,,29.94,30.0369,0,0,8967,8070300,57.6,53.12,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 22:01:00-07:00
1747370760000,0.0,0.0,0,0,1,213,57.2,86,4.29,29.94,30.037,0,0,8967,8070300,57.2,53.05,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 21:46:00-07:00
1747369860000,0.0,1.1185,0,0,1,213,56.8,86,,29.94,30.0371,0,0,8967,8070300,56.8,52.66,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 21:31:00-07:00
1747368960000,0.0,1.3422,0,0,1,213,56.7,84,,29.94,30.0371,0,0,8967,8070300,56.7,51.92,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 21:16:00-07:00
1747368060000,0.0,2.2369,0,0,1,213,56.8,84,,29.93,30.027,0,0,8967,8070300,56.8,52.02,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 21:01:00-07:00
1747367160000,0.4474,1.5659,0,0,1,213,57.4,85,4.28,29.93,30.0269,0,0,8967,8070300,57.4,52.93,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 20:46:00-07:00
1747366260000,0.0,0.0,0,0,1,213,57.7,86,,29.93,30.0269,0,0,8967,8070300,57.7,53.54,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 20:31:00-07:00
1747365360000,0.0,1.1185,0,0,1,213,57.9,85,,29.93,30.0268,0,0,8967,8070300,57.9,53.42,2025-04-26T15:31:00.000Z,2025-05-15,2025-05-15 20:16:00-07:00
