dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,local_time
1747982760000,0.0,0.0,0,0,1,205,57.2,91,4.29,29.93,30.027,0,0,8651,7785900,57.2,54.6,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 23:46:00-07:00
1747981860000,0.0,0.0,0,0,1,205,57.6,90,,29.93,30.0269,0,0,8651,7785900,57.6,54.69,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 23:31:00-07:00
1747980960000,0.0,0.0,0,0,1,205,58.3,91,,29.93,30.0267,0,0,8651,7785900,58.3,55.68,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 23:16:00-07:00
1747980060000,0.0,0.0,0,0,1,205,58.3,92,,29.93,30.0267,0,0,8651,7785900,58.3,55.98,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 23:01:00-07:00
1747979160000,0.0,0.0,0,0,1,205,58.1,91,4.29,29.93,30.0268,0,0,8651,7785900,58.1,55.48,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 22:46:00-07:00
1747978260000,0.0,0.0,0,0,1,205,58.1,89,,29.93,30.0268,0,0,8651,7785900,58.1,54.87,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 22:31:00-07:00
1747977360000,0.0,0.0,0,0,1,205,58.6,89,,29.93,30.0267,0,0,8651,7785900,58.6,55.37,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 22:16:00-07:00
1747976460000,0.0,0.0,0,0,1,205,59.2,90,,29.93,30.0266,0,0,8651,7785900,59.2,56.27,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 22:01:00-07:00
1747975560000,0.0,1.5659,0,0,1,205,59.4,89,4.3,29.93,30.0265,0,0,8651,7785900,59.4,56.15,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 21:46:00-07:00
1747974660000,0.0,0.0,0,0,1,205,59.7,89,,29.92,30.0165,0,0,8651,7785900,59.7,56.45,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 21:31:00-07:00
1747973760000,0.0,0.0,0,0,1,205,60.1,89,,29.92,30.0164,0,0,8651,7785900,60.1,56.84,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 21:16:00-07:00
1747972860000,0.0,0.0,0,0,1,205,60.4,88,,29.92,30.0163,0,0,8651,7785900,60.4,56.83,2025-04-26T15:31:00.000Z,2025-05-22,,,2025-05-22 21:01:00-07:00
