dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,local_time
1748414760000,1.3422,2.2369,0,0,1,221,57.7,91,29.99,30.0871,0,0,5004,4503600,57.7,55.09,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 23:46:00-07:00
1748413860000,1.5659,2.6843,0,0,1,221,57.7,91,29.99,30.0871,0,0,5004,4503600,57.7,55.09,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 23:31:00-07:00
1748412960000,0.6711,2.0132,0,0,1,221,57.6,91,30.0,30.0971,0,0,5004,4503600,57.6,54.99,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 23:16:00-07:00
1748412060000,0.6711,1.7895,0,0,1,221,57.0,91,29.99,30.0872,0,0,5004,4503600,57.0,54.4,2025-04-26T15:31:00.000Z,2025-05-27,4.24,2025-05-27 23:01:00-07:00
1748411160000,0.0,0.0,0,0,1,221,56.8,91,30.0,30.0973,0,0,5004,4503600,56.8,54.2,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 22:46:00-07:00
1748410260000,0.0,0.0,0,0,1,221,56.8,91,29.99,30.0872,0,0,5004,4503600,56.8,54.2,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 22:31:00-07:00
1748409360000,0.0,0.0,0,0,1,221,57.0,91,29.99,30.0872,0,0,5004,4503600,57.0,54.4,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 22:16:00-07:00
1748408460000,0.0,0.0,0,0,1,221,56.8,90,29.98,30.0772,0,0,5004,4503600,56.8,53.9,2025-04-26T15:31:00.000Z,2025-05-27,4.24,2025-05-27 22:01:00-07:00
1748407560000,0.0,0.0,0,0,1,221,57.2,90,29.98,30.0771,0,0,5004,4503600,57.2,54.29,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 21:46:00-07:00
1748406660000,0.0,0.0,0,0,1,221,57.2,90,29.98,30.0771,0,0,5004,4503600,57.2,54.29,2025-04-26T15:31:00.000Z,2025-05-27,,2025-05-27 21:31:00-07:00
