dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time
1750488360000,0.0,0.0,0,0,1,214,59.2,78,52.34,59.2,29.83,29.9263,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 23:46:00-07:00
1750487460000,0.0,0.0,0,0,1,214,59.7,79,53.17,59.7,29.83,29.9262,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,4.19,,,2025-06-20 23:31:00-07:00
1750486560000,0.0,0.0,0,0,1,214,60.4,77,53.15,60.4,29.83,29.926,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 23:16:00-07:00
1750485660000,0.2237,1.7895,0,0,1,214,61.0,75,53.02,61.0,29.83,29.9259,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 23:01:00-07:00
1750484760000,0.8948,2.4606,0,0,1,214,61.3,76,53.67,61.3,29.83,29.9259,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 22:46:00-07:00
1750483860000,0.2237,1.5659,0,0,1,214,61.3,72,52.19,61.3,29.83,29.9259,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,4.19,,,2025-06-20 22:31:00-07:00
1750482960000,0.8948,2.6843,0,0,1,214,61.7,69,51.42,61.7,29.83,29.9258,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 22:16:00-07:00
1750482060000,0.8948,2.908,0,0,1,214,61.7,65,49.81,61.7,29.83,29.9258,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 22:01:00-07:00
1750481160000,1.3422,2.4606,0,0,1,214,61.5,67,50.44,61.5,29.83,29.9258,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 21:46:00-07:00
1750480260000,0.2237,2.0132,0,0,1,214,61.9,67,50.82,61.9,29.82,29.9157,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,4.19,,,2025-06-20 21:31:00-07:00
1750479360000,0.4474,2.4606,0,0,1,214,62.2,69,51.9,62.2,29.82,29.9157,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 21:16:00-07:00
1750478460000,0.2237,2.908,0,0,1,214,62.1,76,54.44,62.1,29.81,29.9057,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 21:01:00-07:00
1750477560000,0.2237,2.0132,0,0,1,214,62.1,80,55.85,62.1,29.81,29.9057,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 20:46:00-07:00
1750476660000,0.2237,2.0132,0,0,1,214,62.6,79,55.99,62.6,29.81,29.9056,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,4.2,,,2025-06-20 20:31:00-07:00
1750475760000,0.2237,2.0132,0,0,1,214,63.1,77,55.77,63.1,29.81,29.9055,0,0,9245,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 20:16:00-07:00
1750474860000,0.0,1.3422,0,0,1,214,64.0,75,55.91,64.0,29.81,29.9053,3,1440,9242,8320500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 20:01:00-07:00
1750473960000,0.0,1.1185,0,0,1,214,64.6,73,55.74,64.6,29.8,29.8952,6,2520,9236,8317800,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 19:46:00-07:00
1750473060000,0.0,0.8948,0,0,1,214,64.9,71,55.27,64.9,29.8,29.8951,9,4320,9227,8312400,2025-04-26T15:31:00.000Z,2025-06-20,4.2,,,2025-06-20 19:31:00-07:00
1750472160000,0.0,0.8948,0,0,1,214,65.3,70,55.26,65.3,29.8,29.895,12,5040,9215,8304300,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 19:16:00-07:00
1750471260000,0.0,1.3422,0,0,1,214,66.0,68,55.13,66.0,29.8,29.8949,21,10080,9194,8293500,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 19:01:00-07:00
1750470360000,0.2237,2.2369,0,0,1,214,66.7,66,54.97,66.7,29.8,29.8948,44,18480,9150,8274600,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 18:46:00-07:00
1750469460000,0.0,1.3422,0,0,1,214,66.9,66,55.16,66.9,29.79,29.8847,28,13440,9122,8235000,2025-04-26T15:31:00.000Z,2025-06-20,4.21,,,2025-06-20 18:31:00-07:00
1750468560000,0.0,2.0132,0,0,1,214,67.1,65,54.93,67.1,29.8,29.8947,28,11760,9094,8209800,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 18:16:00-07:00
1750467660000,0.2237,2.0132,0,0,1,214,67.5,66,55.73,67.5,29.8,29.8946,62,29760,9032,8184600,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 18:01:00-07:00
1750466760000,0.2237,2.2369,0,0,1,214,67.8,66,56.02,67.8,29.8,29.8946,45,18900,8987,8128800,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 17:46:00-07:00
1750465860000,0.2237,2.2369,0,0,1,214,68.4,67,57.01,68.09,29.8,29.8945,39,18720,8948,8088300,2025-04-26T15:31:00.000Z,2025-06-20,4.21,,,2025-06-20 17:31:00-07:00
1750464960000,0.2237,1.5659,0,0,1,214,68.7,66,56.87,68.37,29.8,29.8944,47,19740,8901,8053200,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 17:16:00-07:00
1750464060000,0.0,1.3422,0,0,1,214,70.0,62,56.37,69.61,29.8,29.8942,47,22560,8854,8010900,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 17:01:00-07:00
1750463160000,0.6711,2.4606,0,0,1,214,70.9,58,55.37,70.42,29.8,29.894,49,20580,8805,7968600,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 16:46:00-07:00
1750462260000,1.1185,3.1317,0,0,1,214,70.0,57,54.06,69.38,29.8,29.8942,51,24480,8754,7924500,2025-04-26T15:31:00.000Z,2025-06-20,4.22,,,2025-06-20 16:31:00-07:00
1750461360000,2.2369,4.0265,0,0,1,214,68.4,60,53.96,67.76,29.81,29.9045,91,38220,8663,7878600,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 16:16:00-07:00
1750460460000,2.908,4.0265,0,0,1,214,67.3,71,57.57,67.3,29.82,29.9147,60,28800,8603,7796700,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 16:01:00-07:00
1750459560000,2.908,4.6976,0,0,1,214,68.0,71,58.24,68.0,29.82,29.9146,65,27300,8538,7742700,2025-04-26T15:31:00.000Z,2025-06-20,,,,2025-06-20 15:46:00-07:00
