dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,batt1volts,lastRain,local_time
1758178020000,0.0,0.0,0,0,1,17,67.1,86,62.77,67.1,29.87,29.9649,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 23:47:00-07:00
1758177120000,0.0,0.0,0,0,1,17,67.3,85,62.63,67.3,29.87,29.9649,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 23:32:00-07:00
1758176220000,0.0,0.0,0,0,1,17,67.5,85,62.83,67.5,29.88,29.9749,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,4.27,,2025-09-17 23:17:00-07:00
1758175320000,0.0,0.0,0,0,1,17,67.6,85,62.92,67.6,29.88,29.9749,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 23:02:00-07:00
1758174420000,1.1185,2.908,0,0,1,17,67.6,85,62.92,67.6,29.89,29.9849,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 22:47:00-07:00
1758173520000,0.2237,2.2369,0,0,1,17,67.5,85,62.83,67.5,29.89,29.9849,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 22:32:00-07:00
1758172620000,0.0,0.0,0,0,1,17,67.6,85,62.92,67.6,29.88,29.9749,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,4.28,,2025-09-17 22:17:00-07:00
1758171720000,0.6711,2.6843,0,0,1,17,67.6,85,62.92,67.6,29.88,29.9749,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 22:02:00-07:00
1758170820000,0.8948,2.908,0,0,1,17,67.6,86,63.26,67.6,29.88,29.9749,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 21:47:00-07:00
1758169920000,0.6711,3.1317,0,0,1,17,67.8,86,63.45,67.8,29.88,29.9748,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 21:32:00-07:00
1758169020000,0.6711,3.1317,0,0,1,17,68.2,85,63.51,68.72,29.88,29.9748,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,4.29,,2025-09-17 21:17:00-07:00
1758168120000,2.4606,4.9213,0,0,1,17,68.7,84,63.66,69.22,29.88,29.9747,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 21:02:00-07:00
1758167220000,0.8948,5.145,0,0,1,230,69.3,82,63.56,69.78,29.86,29.9545,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 20:47:00-07:00
1758166320000,0.6711,2.2369,0,0,1,211,69.6,82,63.85,70.11,29.85,29.9444,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,,,2025-09-17 20:32:00-07:00
1758165420000,0.2237,1.5659,0,0,1,211,69.3,83,63.91,69.83,29.83,29.9244,0,0,0,3729600,America/Los_Angeles,True,2025-09-17,4.29,,2025-09-17 20:17:00-07:00
