dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,local_time
1760278620000,0.0,0.0,0,0,1,334,50.9,68,4.27,40.72,50.9,29.77,29.8676,1,180,0,900,2025-04-26T15:31:00.000Z,2025-10-12,,,2025-10-12 07:17:00-07:00
1760277720000,0.0,0.0,0,0,1,334,51.3,69,,41.48,51.3,29.78,29.8776,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 07:02:00-07:00
1760276820000,0.0,0.0,0,0,1,334,51.6,69,,41.77,51.6,29.78,29.8775,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 06:47:00-07:00
1760275920000,0.0,0.0,0,0,1,334,51.3,70,,41.85,51.3,29.78,29.8776,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 06:32:00-07:00
1760275020000,0.0,1.3422,0,0,1,334,51.3,69,4.28,41.48,51.3,29.77,29.8676,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 06:17:00-07:00
1760274120000,0.0,1.5659,0,0,1,334,51.6,69,,41.77,51.6,29.77,29.8675,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 06:02:00-07:00
1760273220000,0.0,0.0,0,0,1,334,51.6,70,,42.14,51.6,29.76,29.8575,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 05:47:00-07:00
1760272320000,0.2237,2.0132,0,0,1,334,51.4,68,,41.2,51.4,29.76,29.8575,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 05:32:00-07:00
1760271420000,0.0,1.3422,0,0,1,334,51.6,66,4.28,40.62,51.6,29.76,29.8575,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 05:17:00-07:00
1760270520000,0.0,0.0,0,0,1,334,51.8,65,,40.41,51.8,29.76,29.8574,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 05:02:00-07:00
1760269620000,0.0,0.0,0,0,1,334,52.2,64,,40.39,52.2,29.76,29.8573,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 04:47:00-07:00
1760268720000,0.0,0.0,0,0,1,334,52.5,64,,40.68,52.5,29.76,29.8573,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 04:32:00-07:00
1760267820000,0.0,0.0,0,0,1,334,52.5,63,4.28,40.27,52.5,29.77,29.8673,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 04:17:00-07:00
1760266920000,0.0,0.0,0,0,1,334,53.1,61,,40.01,53.1,29.77,29.8672,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 04:02:00-07:00
1760266020000,0.0,0.0,0,0,1,334,53.4,60,,39.87,53.4,29.77,29.8672,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 03:47:00-07:00
1760265120000,0.0,0.0,0,0,1,334,54.0,59,,40.0,54.0,29.77,29.867,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 03:32:00-07:00
1760264220000,0.0,0.0,0,0,1,334,54.9,57,4.29,39.96,54.9,29.77,29.8669,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 03:17:00-07:00
1760263320000,0.0,0.0,0,0,1,334,55.9,55,,39.97,55.9,29.77,29.8667,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 03:02:00-07:00
1760262420000,0.0,0.0,0,0,1,334,56.8,54,,40.33,56.8,29.77,29.8665,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 02:47:00-07:00
1760261520000,0.0,1.1185,0,0,1,334,57.7,51,,39.7,57.7,29.78,29.8764,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 02:32:00-07:00
1760260620000,0.0,0.0,0,0,1,334,58.8,48,4.3,39.15,58.8,29.78,29.8762,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 02:17:00-07:00
1760259720000,0.0,0.0,0,0,1,334,60.3,47,,39.99,60.3,29.77,29.8659,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 02:02:00-07:00
1760258820000,0.0,0.0,0,0,1,334,60.3,47,,39.99,60.3,29.77,29.8659,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 01:47:00-07:00
1760257920000,0.2237,2.2369,0,0,1,334,59.9,48,,40.16,59.9,29.77,29.8659,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 01:32:00-07:00
1760257020000,0.0,0.0,0,0,1,334,59.7,48,4.3,39.98,59.7,29.77,29.866,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 01:17:00-07:00
1760256120000,0.0,0.0,0,0,1,334,58.8,50,,40.2,58.8,29.77,29.8661,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 01:02:00-07:00
1760255220000,0.0,0.0,0,0,1,334,58.5,51,,40.44,58.5,29.77,29.8662,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 00:47:00-07:00
1760254320000,0.0,1.7895,0,0,1,334,58.8,51,,40.71,58.8,29.78,29.8762,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 00:32:00-07:00
1760253420000,0.0,0.0,0,0,1,334,59.4,50,4.31,40.75,59.4,29.78,29.8761,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 00:17:00-07:00
1760252520000,0.0,0.0,0,0,1,334,59.7,50,,41.03,59.7,29.78,29.876,0,0,1,0,,2025-10-12,America/Los_Angeles,True,2025-10-12 00:02:00-07:00
