dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,batt1volts,local_time
1761413520000,0.0,0.0,0,0,1,57,60.6,90,57.65,60.6,30.06,30.1567,87,15660,0,78300,2025-10-14T14:47:00.000Z,2025-10-25,,,,2025-10-25 10:32:00-07:00
1761412620000,0.0,0.0,0,0,1,57,60.1,93,58.07,60.1,30.06,30.1568,63,11340,237,273600,,2025-10-25,America/Los_Angeles,True,,2025-10-25 10:17:00-07:00
1761411720000,0.0,0.0,0,0,1,57,59.5,94,57.77,59.5,30.07,30.167,54,9720,145,216900,,2025-10-25,America/Los_Angeles,True,,2025-10-25 10:02:00-07:00
1761410820000,0.0,0.0,0,0,1,57,59.0,96,57.86,59.0,30.07,30.1671,37,6660,120,168300,,2025-10-25,America/Los_Angeles,True,4.28,2025-10-25 09:47:00-07:00
1761409920000,0.0,0.0,0,0,1,57,58.8,97,57.95,58.8,30.07,30.1671,40,7200,104,135000,,2025-10-25,America/Los_Angeles,True,,2025-10-25 09:32:00-07:00
1761409020000,0.0,0.0,0,0,1,57,58.5,99,58.22,58.5,30.06,30.1571,31,5580,104,99000,,2025-10-25,America/Los_Angeles,True,,2025-10-25 09:17:00-07:00
1761408120000,0.0,0.0,0,0,1,57,58.3,99,58.02,58.3,30.06,30.1572,25,4500,104,71100,,2025-10-25,America/Los_Angeles,True,,2025-10-25 09:02:00-07:00
1761407220000,0.0,0.0,0,0,1,57,58.1,99,57.82,58.1,30.05,30.1472,21,3780,104,48600,,2025-10-25,America/Los_Angeles,True,4.27,2025-10-25 08:47:00-07:00
1761406320000,0.0,0.0,0,0,1,57,57.9,100,57.9,57.9,30.05,30.1472,16,2880,92,29700,,2025-10-25,America/Los_Angeles,True,,2025-10-25 08:32:00-07:00
1761405420000,0.0,0.0,0,0,1,57,57.7,100,57.7,57.7,30.04,30.1372,9,1620,87,15300,,2025-10-25,America/Los_Angeles,True,,2025-10-25 08:17:00-07:00
1761404520000,0.0,0.0,0,0,1,57,57.6,100,57.6,57.6,30.04,30.1372,5,900,87,7200,,2025-10-25,America/Los_Angeles,True,,2025-10-25 08:02:00-07:00
1761403620000,0.0,0.0,0,0,1,57,57.6,100,57.6,57.6,30.03,30.1272,3,540,87,2700,,2025-10-25,America/Los_Angeles,True,4.26,2025-10-25 07:47:00-07:00
1761402720000,0.0,0.0,0,0,1,57,57.4,100,57.4,57.4,30.03,30.1272,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 07:32:00-07:00
1761401820000,0.0,0.0,0,0,1,57,57.2,100,57.2,57.2,30.03,30.1273,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 07:17:00-07:00
1761400920000,0.0,0.0,0,0,1,57,57.0,100,57.0,57.0,30.03,30.1273,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 07:02:00-07:00
1761400020000,0.0,1.3422,0,0,1,57,56.8,100,56.8,56.8,30.03,30.1274,0,0,87,0,,2025-10-25,America/Los_Angeles,True,4.27,2025-10-25 06:47:00-07:00
1761399120000,0.0,1.3422,0,0,1,57,56.8,100,56.8,56.8,30.02,30.1173,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 06:32:00-07:00
1761398220000,0.2237,1.3422,0,0,1,57,57.0,100,57.0,57.0,30.02,30.1173,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 06:17:00-07:00
1761397320000,0.0,1.3422,0,0,1,57,57.6,100,57.6,57.6,30.01,30.1071,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 06:02:00-07:00
1761396420000,0.0,1.3422,0,0,1,57,57.9,100,57.9,57.9,30.01,30.1071,0,0,87,0,,2025-10-25,America/Los_Angeles,True,4.27,2025-10-25 05:47:00-07:00
1761395520000,0.0,0.0,0,0,1,57,57.9,100,57.9,57.9,30.0,30.097,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 05:32:00-07:00
1761394620000,0.0,0.0,0,0,1,57,57.7,100,57.7,57.7,30.0,30.0971,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 05:17:00-07:00
1761393720000,0.0,0.0,0,0,1,57,57.6,100,57.6,57.6,30.0,30.0971,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 05:02:00-07:00
1761392820000,0.0,0.0,0,0,1,57,57.2,100,57.2,57.2,30.0,30.0972,0,0,87,0,,2025-10-25,America/Los_Angeles,True,4.27,2025-10-25 04:47:00-07:00
1761391920000,0.0,1.1185,0,0,1,57,57.0,100,57.0,57.0,29.99,30.0872,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 04:32:00-07:00
1761391020000,1.3422,2.908,0,0,1,57,56.8,100,56.8,56.8,29.99,30.0872,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 04:17:00-07:00
1761390120000,1.5659,2.908,0,0,1,57,56.7,100,56.7,56.7,29.99,30.0872,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 04:02:00-07:00
1761389220000,1.5659,3.1317,0,0,1,57,56.3,99,56.02,56.3,29.99,30.0873,0,0,87,0,,2025-10-25,America/Los_Angeles,True,4.28,2025-10-25 03:47:00-07:00
1761388320000,1.7895,2.6843,0,0,1,57,56.3,99,56.02,56.3,29.99,30.0873,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 03:32:00-07:00
1761387420000,1.1185,2.6843,0,0,1,57,56.8,99,56.52,56.8,30.0,30.0973,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 03:17:00-07:00
1761386520000,0.4474,2.4606,0,0,1,57,57.2,99,56.92,57.2,30.0,30.0972,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 03:02:00-07:00
1761385620000,0.0,0.0,0,0,1,57,57.4,99,57.12,57.4,29.99,30.0871,0,0,87,0,,2025-10-25,America/Los_Angeles,True,4.29,2025-10-25 02:47:00-07:00
1761384720000,0.0,0.0,0,0,1,57,57.4,99,57.12,57.4,29.99,30.0871,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 02:32:00-07:00
1761383820000,0.0,0.0,0,0,1,57,57.2,99,56.92,57.2,30.0,30.0972,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 02:17:00-07:00
1761382920000,0.0,0.0,0,0,1,57,57.2,99,56.92,57.2,29.99,30.0871,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 02:02:00-07:00
1761382020000,0.0,0.0,0,0,1,57,57.6,99,57.32,57.6,29.99,30.0871,0,0,87,0,,2025-10-25,America/Los_Angeles,True,4.3,2025-10-25 01:47:00-07:00
1761381120000,0.0,1.3422,0,0,1,57,58.1,99,57.82,58.1,29.99,30.087,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 01:32:00-07:00
1761380220000,0.0,0.0,0,0,1,57,58.3,99,58.02,58.3,29.98,30.0769,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 01:17:00-07:00
1761379320000,1.1185,3.1317,0,0,1,57,58.6,99,58.32,58.6,29.97,30.0668,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 01:02:00-07:00
1761378420000,2.0132,3.5791,0,0,1,57,58.8,99,58.52,58.8,29.97,30.0668,0,0,87,0,,2025-10-25,America/Los_Angeles,True,4.3,2025-10-25 00:47:00-07:00
1761377520000,1.7895,2.908,0,0,1,57,58.8,99,58.52,58.8,29.97,30.0668,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 00:32:00-07:00
1761376620000,2.0132,3.1317,0,0,1,57,58.6,99,58.32,58.6,29.97,30.0668,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 00:17:00-07:00
1761375720000,2.2369,3.8028,0,0,1,57,58.6,98,58.04,58.6,29.97,30.0668,0,0,87,0,,2025-10-25,America/Los_Angeles,True,,2025-10-25 00:02:00-07:00
