dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,local_time
1764575400000,0.0,0.0,0,0,1,224,50.2,99,49.93,50.2,30.02,30.1186,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 23:50:00-08:00
1764574500000,0.0,0.0,0,0,1,224,50.5,98,49.96,50.5,30.01,30.1085,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,4.19,2025-11-30 23:35:00-08:00
1764573600000,0.0,0.0,0,0,1,224,50.7,99,50.43,50.7,30.01,30.1085,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 23:20:00-08:00
1764572700000,0.0,0.0,0,0,1,224,50.5,98,49.96,50.5,30.01,30.1085,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 23:05:00-08:00
1764571800000,0.0,0.0,0,0,1,224,50.9,98,50.35,50.9,30.01,30.1084,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 22:50:00-08:00
1764570900000,0.0,0.0,0,0,1,224,50.7,98,50.16,50.7,30.0,30.0984,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,4.19,2025-11-30 22:35:00-08:00
1764570000000,0.0,0.0,0,0,1,224,50.9,98,50.35,50.9,30.0,30.0984,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 22:20:00-08:00
1764569100000,0.0,0.0,0,0,1,224,50.9,98,50.35,50.9,30.0,30.0984,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 22:05:00-08:00
1764568200000,0.0,0.0,0,0,1,224,51.4,98,50.85,51.4,30.0,30.0983,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 21:50:00-08:00
1764567300000,0.0,0.0,0,0,1,224,51.8,98,51.25,51.8,30.0,30.0982,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,4.2,2025-11-30 21:35:00-08:00
1764566400000,0.0,0.0,0,0,1,224,51.8,98,51.25,51.8,30.0,30.0982,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 21:20:00-08:00
1764565500000,0.0,0.0,0,0,1,224,52.0,98,51.45,52.0,30.0,30.0982,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 21:05:00-08:00
1764564600000,0.0,0.0,0,0,1,224,52.3,98,51.75,52.3,29.99,30.0881,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 20:50:00-08:00
1764563700000,0.0,0.0,0,0,1,224,52.9,97,52.07,52.9,29.99,30.088,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,4.2,2025-11-30 20:35:00-08:00
1764562800000,0.0,0.0,0,0,1,224,53.1,97,52.27,53.1,29.98,30.0779,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 20:20:00-08:00
1764561900000,0.0,0.0,0,0,1,224,53.2,97,52.37,53.2,29.98,30.0779,0,0,2243,2018700,2025-10-14T14:47:00.000Z,2025-11-30,,2025-11-30 20:05:00-08:00
