dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,batt1volts,local_time
1767513000000,0.0,1.1185,0.0,0,1,89,56.7,100,56.7,56.7,30.02,30.1173,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 23:50:00-08:00
1767512100000,0.0,0.0,0.0,0,1,89,57.0,100,57.0,57.0,30.02,30.1173,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 23:35:00-08:00
1767511200000,1.1185,4.2502,0.22,0,1,89,57.7,100,57.7,57.7,30.02,30.1172,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 23:20:00-08:00
1767510300000,0.0,0.0,0.03,0,1,89,57.7,100,57.7,57.7,30.03,30.1272,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,4.1,2026-01-03 23:05:00-08:00
1767509400000,0.0,0.0,0.0,0,1,89,57.6,100,57.6,57.6,30.02,30.1172,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 22:50:00-08:00
1767508500000,0.0,0.0,0.0,0,1,89,57.6,100,57.6,57.6,30.02,30.1172,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 22:35:00-08:00
1767507600000,0.0,0.0,0.0,0,1,89,57.6,100,57.6,57.6,30.02,30.1172,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 22:20:00-08:00
1767506700000,0.0,0.0,0.0,0,1,89,57.6,99,57.32,57.6,30.02,30.1172,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,4.11,2026-01-03 22:05:00-08:00
1767505800000,0.0,0.8948,0.0,0,1,89,57.6,99,57.32,57.6,30.01,30.1071,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 21:50:00-08:00
1767504900000,0.0,0.0,0.03,0,1,89,57.7,99,57.42,57.7,30.01,30.1071,0,0,38,1778400,America/Los_Angeles,True,2026-01-03,,2026-01-03 21:35:00-08:00
