dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,batt1volts,lastRain,local_time
1771660320000,0.0,0.0,0,0,1,329,42.8,88,39.5,30.12,30.2204,0,0,0,6328800,America/Los_Angeles,True,42.8,2026-02-20,,,2026-02-20 23:52:00-08:00
1771659420000,0.0,0.0,0,0,1,329,43.3,87,39.7,30.11,30.2102,0,0,7032,6328800,,,43.3,2026-02-20,4.25,2026-02-19T18:37:00.000Z,2026-02-20 23:37:00-08:00
1771658520000,0.0,0.0,0,0,1,329,43.5,87,39.89,30.11,30.2102,0,0,7032,6328800,,,43.5,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 23:22:00-08:00
1771657620000,0.0,0.0,0,0,1,329,43.7,88,40.38,30.11,30.2102,0,0,7032,6328800,,,43.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 23:07:00-08:00
1771656720000,0.0,0.0,0,0,1,329,43.9,87,40.29,30.11,30.2101,0,0,7032,6328800,,,43.9,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 22:52:00-08:00
1771655820000,0.0,0.0,0,0,1,329,44.2,87,40.58,30.1,30.2,0,0,7032,6328800,,,44.2,2026-02-20,4.25,2026-02-19T18:37:00.000Z,2026-02-20 22:37:00-08:00
1771654920000,0.0,0.0,0,0,1,329,44.4,87,40.78,30.1,30.2,0,0,7032,6328800,,,44.4,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 22:22:00-08:00
1771654020000,0.0,0.0,0,0,1,329,45.0,87,41.37,30.1,30.1999,0,0,7032,6328800,,,45.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 22:07:00-08:00
1771653120000,0.0,0.0,0,0,1,329,45.1,84,40.56,30.1,30.1998,0,0,7032,6328800,,,45.1,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 21:52:00-08:00
1771652220000,0.0,0.0,0,0,1,329,45.5,82,40.33,30.1,30.1998,0,0,7032,6328800,,,45.5,2026-02-20,4.26,2026-02-19T18:37:00.000Z,2026-02-20 21:37:00-08:00
1771651320000,0.0,0.0,0,0,1,329,46.0,83,41.13,30.1,30.1997,0,0,7032,6328800,,,46.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 21:22:00-08:00
1771650420000,0.0,0.0,0,0,1,329,46.9,80,41.06,30.09,30.1895,0,0,7032,6328800,,,46.9,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 21:07:00-08:00
1771649520000,0.0,0.0,0,0,1,329,47.8,78,41.28,30.09,30.1893,0,0,7032,6328800,,,47.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 20:52:00-08:00
1771648620000,0.6711,2.6843,0,0,1,329,49.6,71,40.59,30.08,30.1789,0,0,7032,6328800,,,49.6,2026-02-20,4.27,2026-02-19T18:37:00.000Z,2026-02-20 20:37:00-08:00
1771647720000,0.4474,3.1317,0,0,1,329,50.9,67,40.34,30.08,30.1786,0,0,7032,6328800,,,50.9,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 20:22:00-08:00
1771646820000,2.0132,3.1317,0,0,1,329,51.3,65,39.94,30.07,30.1685,0,0,7032,6328800,,,51.3,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 20:07:00-08:00
1771645920000,2.0132,3.8028,0,0,1,315,49.6,71,40.59,30.07,30.1689,0,0,7032,6328800,,,49.6,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 19:52:00-08:00
1771645020000,0.0,1.3422,0,0,1,193,46.8,80,40.96,30.06,30.1594,0,0,7032,6328800,,,46.8,2026-02-20,4.28,2026-02-19T18:37:00.000Z,2026-02-20 19:37:00-08:00
1771644120000,0.4474,1.7895,0,0,1,193,46.9,80,41.06,30.06,30.1594,0,0,7032,6328800,,,46.9,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 19:22:00-08:00
1771643220000,0.2237,1.7895,0,0,1,193,48.2,82,42.97,30.06,30.1591,0,0,7032,6328800,,,48.2,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 19:07:00-08:00
1771642320000,0.0,0.0,0,0,1,193,49.5,80,43.59,30.06,30.1589,0,0,7032,6328800,,,49.5,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 18:52:00-08:00
1771641420000,0.0,0.0,0,0,1,193,50.0,78,43.41,30.06,30.1588,0,0,7032,6328800,America/Los_Angeles,True,50.0,2026-02-20,4.28,,2026-02-20 18:37:00-08:00
1771640520000,0.0,0.0,0,0,1,193,50.9,76,43.61,30.06,30.1586,0,0,7032,6328800,,,50.9,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 18:22:00-08:00
1771639620000,0.0,0.0,0,0,1,193,51.8,73,43.42,30.06,30.1584,0,0,7032,6328800,,,51.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 18:07:00-08:00
1771638720000,0.0,0.0,0,0,1,193,52.5,72,43.74,30.06,30.1583,1,900,7031,6328800,,,52.5,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 17:52:00-08:00
1771637820000,0.0,0.0,0,0,1,193,53.6,68,43.3,30.06,30.1581,4,3600,7027,6327900,,,53.6,2026-02-20,4.29,2026-02-19T18:37:00.000Z,2026-02-20 17:37:00-08:00
1771636920000,0.0,0.0,0,0,1,193,54.1,65,42.6,30.05,30.1479,8,7200,7019,6324300,,,54.1,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 17:22:00-08:00
1771636020000,0.0,0.0,0,0,1,193,54.5,65,42.98,30.05,30.1479,12,10800,7007,6317100,,,54.5,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 17:07:00-08:00
1771635120000,0.0,0.0,0,0,1,193,54.7,64,42.76,30.05,30.1478,17,15300,6990,6306300,,,54.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 16:52:00-08:00
1771634220000,0.0,1.3422,0,0,1,193,55.0,63,42.64,30.05,30.1478,21,18900,6969,6291000,,,55.0,2026-02-20,4.29,2026-02-19T18:37:00.000Z,2026-02-20 16:37:00-08:00
1771633320000,0.0,1.5659,0,0,1,193,55.4,62,42.6,30.05,30.1477,26,23400,6943,6272100,,,55.4,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 16:22:00-08:00
1771632420000,0.2237,1.7895,0,0,1,193,55.8,61,42.55,30.05,30.1476,31,27900,6912,6248700,,,55.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 16:07:00-08:00
1771631520000,0.2237,2.0132,0,0,1,193,55.8,60,42.12,30.04,30.1376,35,31500,6877,6220800,,,55.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 15:52:00-08:00
1771630620000,0.6711,2.908,0,0,1,193,55.8,59,41.69,30.03,30.1275,96,86400,6781,6189300,,,55.8,2026-02-20,4.32,2026-02-19T18:37:00.000Z,2026-02-20 15:37:00-08:00
1771629720000,0.6711,2.4606,0,0,1,193,56.3,58,41.71,30.04,30.1375,198,178200,6583,6102900,,,56.3,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 15:22:00-08:00
1771628820000,0.4474,2.6843,0,0,1,193,56.1,57,41.08,30.04,30.1375,218,196200,6365,5924700,,,56.1,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 15:07:00-08:00
1771627920000,0.6711,2.4606,0,0,1,195,56.3,55,40.34,30.04,30.1375,59,53100,6154,5591700,,,56.3,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 14:52:00-08:00
1771627020000,0.6711,2.4606,0,0,1,208,56.8,52,39.37,30.04,30.1374,72,64800,6293,5675400,America/Los_Angeles,True,56.8,2026-02-20,4.32,,2026-02-20 14:37:00-08:00
1771626120000,0.6711,2.908,0,0,1,208,57.6,47,37.52,30.03,30.1272,80,72000,6213,5610600,America/Los_Angeles,True,57.6,2026-02-20,,,2026-02-20 14:22:00-08:00
1771625220000,1.1185,2.908,0,0,1,208,57.7,45,36.51,30.03,30.1272,113,101700,6041,5538600,,,57.7,2026-02-20,4.4,2026-02-19T18:37:00.000Z,2026-02-20 14:07:00-08:00
1771624320000,1.5659,3.5791,0,0,1,208,57.9,47,37.79,30.03,30.1271,288,259200,5753,5436900,,,57.9,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 13:52:00-08:00
1771623420000,1.1185,3.1317,0,0,1,208,58.3,47,38.16,30.03,30.1271,611,549900,5142,5177700,,,58.3,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 13:37:00-08:00
1771622520000,0.4474,2.2369,0,0,1,208,58.1,47,37.98,30.02,30.1171,596,536400,4546,4627800,,,58.1,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 13:22:00-08:00
1771621620000,1.7895,4.4739,0,0,1,208,57.9,49,38.86,30.03,30.1271,680,612000,3866,4091400,,,57.9,2026-02-20,4.43,2026-02-19T18:37:00.000Z,2026-02-20 13:07:00-08:00
1771620720000,1.5659,3.5791,0,0,1,208,57.6,50,39.1,30.03,30.1272,703,632700,3163,3479400,,,57.6,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 12:52:00-08:00
1771619820000,1.3422,3.5791,0,0,1,208,56.8,51,38.87,30.04,30.1374,636,572400,2527,2846700,,,56.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 12:37:00-08:00
1771618920000,2.0132,4.0265,0,0,1,208,55.8,52,38.44,30.05,30.1476,479,431100,2048,2274300,,,55.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 12:22:00-08:00
1771618020000,1.3422,3.8028,0,0,1,208,55.4,52,38.07,30.06,30.1577,189,170100,1859,1843200,,,55.4,2026-02-20,4.26,2026-02-19T18:37:00.000Z,2026-02-20 12:07:00-08:00
1771617120000,0.6711,3.8028,0,0,1,308,54.7,49,35.92,30.06,30.1578,92,82800,1767,1673100,,,54.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 11:52:00-08:00
1771616220000,0.2237,1.3422,0,0,1,338,54.5,49,35.74,30.06,30.1579,238,214200,1529,1590300,,,54.5,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 11:37:00-08:00
1771615320000,0.0,0.0,0,0,1,338,53.6,50,35.42,30.07,30.1681,202,181800,1327,1376100,,,53.6,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 11:22:00-08:00
1771614420000,0.0,1.3422,0,0,1,338,53.4,52,36.22,30.07,30.1681,193,173700,833,923400,,,53.4,2026-02-20,4.25,2026-02-19T18:37:00.000Z,2026-02-20 11:07:00-08:00
1771613520000,0.0,0.0,0,0,1,338,52.7,56,37.45,30.07,30.1683,161,144900,1026,1020600,America/Los_Angeles,True,52.7,2026-02-20,,,2026-02-20 10:52:00-08:00
1771612620000,0.0,1.1185,0,0,1,338,52.3,58,37.97,30.07,30.1683,140,126000,1026,875700,America/Los_Angeles,True,52.3,2026-02-20,,,2026-02-20 10:37:00-08:00
1771611720000,0.0,0.0,0,0,1,338,52.0,61,38.97,30.07,30.1684,162,145800,671,749700,,,52.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 10:22:00-08:00
1771610820000,0.0,0.0,0,0,1,338,50.7,63,38.57,30.06,30.1586,125,112500,546,603900,,,50.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 10:07:00-08:00
1771609920000,0.0,0.0,0,0,1,338,50.0,66,39.09,30.06,30.1588,89,80100,457,491400,,,50.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 09:52:00-08:00
1771609020000,0.0,0.0,0,0,1,338,49.5,68,39.38,30.05,30.1488,77,69300,380,411300,,,49.5,2026-02-20,4.19,2026-02-19T18:37:00.000Z,2026-02-20 09:37:00-08:00
1771608120000,0.0,0.0,0,0,1,338,48.7,73,40.44,30.05,30.149,69,62100,311,342000,,,48.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 09:22:00-08:00
1771607220000,0.0,0.0,0,0,1,338,48.2,75,40.65,30.06,30.1591,57,51300,254,279900,,,48.2,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 09:07:00-08:00
1771606320000,0.0,0.0,0,0,1,338,47.7,75,40.17,30.06,30.1592,54,48600,200,228600,,,47.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 08:52:00-08:00
1771605420000,0.0,0.0,0,0,1,338,46.9,76,39.74,30.06,30.1594,52,46800,148,180000,,,46.9,2026-02-20,4.19,2026-02-19T18:37:00.000Z,2026-02-20 08:37:00-08:00
1771604520000,0.0,1.5659,0,0,1,338,46.2,74,38.38,30.05,30.1495,42,37800,66,97200,,,46.2,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 08:22:00-08:00
1771603620000,0.0,1.3422,0,0,1,338,45.5,72,37.01,30.05,30.1496,40,36000,108,95400,America/Los_Angeles,True,45.5,2026-02-20,,,2026-02-20 08:07:00-08:00
1771602720000,0.0,1.3422,0,0,1,338,44.8,72,36.33,30.04,30.1397,32,28800,34,59400,,,44.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 07:52:00-08:00
1771601820000,0.0,2.908,0,0,1,338,44.4,74,36.64,30.04,30.1398,15,13500,19,30600,,,44.4,2026-02-20,4.19,2026-02-19T18:37:00.000Z,2026-02-20 07:37:00-08:00
1771600920000,0.4474,2.4606,0,0,1,338,44.6,72,36.14,30.03,30.1297,13,11700,6,17100,,,44.6,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 07:22:00-08:00
1771600020000,0.2237,3.1317,0,0,1,338,44.8,68,34.89,30.02,30.1196,5,4500,1,5400,,,44.8,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 07:07:00-08:00
1771599120000,0.0,0.0,0,0,1,338,45.0,70,35.81,30.01,30.1096,1,900,0,900,,,45.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 06:52:00-08:00
1771598220000,0.0,0.0,0,0,1,338,45.7,69,36.12,30.01,30.1094,0,0,0,0,,,45.7,2026-02-20,4.21,2026-02-19T18:37:00.000Z,2026-02-20 06:37:00-08:00
1771597320000,0.0,0.0,0,0,1,338,46.9,60,33.75,30.01,30.1092,0,0,0,0,,,46.9,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 06:22:00-08:00
1771596420000,0.2237,3.3554,0,0,1,338,47.3,58,33.28,30.0,30.0991,0,0,0,0,,,47.3,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 06:07:00-08:00
1771595520000,0.0,0.0,0,0,1,338,47.7,55,32.33,30.0,30.099,0,0,0,0,,,47.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 05:52:00-08:00
1771594620000,0.2237,2.6843,0,0,1,338,48.6,53,32.25,30.0,30.0988,0,0,0,0,,,48.6,2026-02-20,4.21,2026-02-19T18:37:00.000Z,2026-02-20 05:37:00-08:00
1771593720000,1.3422,5.5923,0,0,1,338,49.6,51,32.22,29.99,30.0886,0,0,0,0,,,49.6,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 05:22:00-08:00
1771592820000,4.0265,9.1714,0,0,1,0,49.3,52,32.43,29.98,30.0786,0,0,0,0,,,48.04,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 05:07:00-08:00
1771591920000,4.2502,7.6056,0,0,1,352,49.5,52,32.61,29.98,30.0786,0,0,0,0,,,48.12,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 04:52:00-08:00
1771591020000,4.0265,8.7241,0,0,1,3,48.9,53,32.53,29.98,30.0787,0,0,0,0,,,47.58,2026-02-20,4.21,2026-02-19T18:37:00.000Z,2026-02-20 04:37:00-08:00
1771590120000,3.5791,7.3819,0,0,1,2,48.7,54,32.81,29.98,30.0787,0,0,0,0,,,47.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 04:22:00-08:00
1771589220000,2.4606,6.2634,0,0,1,356,48.2,59,34.55,29.98,30.0788,0,0,0,0,,,48.2,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 04:07:00-08:00
1771588320000,2.4606,5.816,0,0,1,356,48.4,61,35.58,29.97,30.0688,0,0,0,0,,,48.4,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 03:52:00-08:00
1771587420000,2.4606,5.5923,0,0,1,356,47.7,64,36.13,29.97,30.0689,0,0,0,0,,,47.7,2026-02-20,4.21,2026-02-19T18:37:00.000Z,2026-02-20 03:37:00-08:00
1771586520000,0.4474,2.6843,0,0,1,357,46.6,68,36.61,29.97,30.0691,0,0,0,0,,,46.6,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 03:22:00-08:00
1771585620000,0.8948,4.0265,0,0,1,358,47.1,66,36.33,29.97,30.069,0,0,0,0,,,47.1,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 03:07:00-08:00
1771584720000,1.1185,7.3819,0,0,1,353,47.7,64,36.13,29.98,30.0789,0,0,0,0,,,47.7,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 02:52:00-08:00
1771583820000,0.6711,2.908,0,0,1,273,48.4,60,35.16,29.98,30.0788,0,0,0,0,,,48.4,2026-02-20,4.22,2026-02-19T18:37:00.000Z,2026-02-20 02:37:00-08:00
1771582920000,1.5659,5.816,0,0,1,216,48.6,60,35.35,29.98,30.0788,0,0,0,0,,,48.6,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 02:22:00-08:00
1771582020000,1.3422,5.145,0,0,1,198,48.0,65,36.8,29.98,30.0789,0,0,0,0,,,48.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 02:07:00-08:00
1771581120000,1.3422,6.7108,0,0,1,197,48.0,66,37.19,29.97,30.0688,0,0,0,0,,,48.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 01:52:00-08:00
1771580220000,0.2237,2.908,0,0,1,355,46.6,71,37.71,29.97,30.0691,0,0,0,0,,,46.6,2026-02-20,4.22,2026-02-19T18:37:00.000Z,2026-02-20 01:37:00-08:00
1771579320000,0.0,0.0,0,0,1,356,46.2,71,37.32,29.98,30.0792,0,0,0,0,America/Los_Angeles,True,46.2,2026-02-20,,,2026-02-20 01:22:00-08:00
1771578420000,0.0,0.0,0,0,1,356,46.2,72,37.68,29.98,30.0792,0,0,0,0,,,46.2,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 01:07:00-08:00
1771577520000,0.0,1.3422,0,0,1,356,46.0,74,38.18,29.99,30.0893,0,0,0,0,,,46.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 00:52:00-08:00
1771576620000,0.0,0.0,0,0,1,356,45.9,75,38.43,29.98,30.0793,0,0,0,0,,,45.9,2026-02-20,4.23,2026-02-19T18:37:00.000Z,2026-02-20 00:37:00-08:00
1771575720000,0.0,0.0,0,0,1,356,46.0,73,37.84,29.98,30.0793,0,0,0,0,,,46.0,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 00:22:00-08:00
1771574820000,0.0,0.0,0,0,1,356,46.2,74,38.38,29.98,30.0792,0,0,0,0,,,46.2,2026-02-20,,2026-02-19T18:37:00.000Z,2026-02-20 00:07:00-08:00
