dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,batt1volts,local_time
1773989520000,0.0,0.0,0,0,1,214,63.0,91,60.33,29.96,30.056,0,0,0,9247500,America/Los_Angeles,True,63.0,2026-03-19,,,2026-03-19 23:52:00-07:00
1773988620000,0.0,0.0,0,0,1,214,63.3,91,60.62,29.96,30.0559,0,0,10275,9247500,,,63.3,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 23:37:00-07:00
1773987720000,0.0,0.0,0,0,1,214,63.5,91,60.82,29.96,30.0559,0,0,10275,9247500,,,63.5,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 23:22:00-07:00
1773986820000,0.0,1.3422,0,0,1,214,63.5,91,60.82,29.96,30.0559,0,0,10275,9247500,,,63.5,2026-03-19,2026-02-19T18:37:00.000Z,4.3,2026-03-19 23:07:00-07:00
1773985920000,0.0,0.0,0,0,1,214,63.5,91,60.82,29.96,30.0559,0,0,10275,9247500,,,63.5,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 22:52:00-07:00
1773985020000,0.0,0.0,0,0,1,214,63.7,90,60.71,29.96,30.0558,0,0,10275,9247500,,,63.7,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 22:37:00-07:00
1773984120000,0.0,0.0,0,0,1,214,63.7,90,60.71,29.96,30.0558,0,0,10275,9247500,,,63.7,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 22:22:00-07:00
1773983220000,0.0,1.1185,0,0,1,214,64.0,90,61.0,29.97,30.0658,0,0,10275,9247500,,,64.0,2026-03-19,2026-02-19T18:37:00.000Z,4.31,2026-03-19 22:07:00-07:00
1773982320000,0.0,1.1185,0,0,1,214,64.0,91,61.32,29.97,30.0658,0,0,10275,9247500,,,64.0,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 21:52:00-07:00
1773981420000,0.0,0.0,0,0,1,214,64.0,91,61.32,29.96,30.0558,0,0,10275,9247500,,,64.0,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 21:37:00-07:00
1773980520000,0.0,0.0,0,0,1,214,64.0,91,61.32,29.96,30.0558,0,0,10275,9247500,,,64.0,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 21:22:00-07:00
1773979620000,0.0,0.0,0,0,1,214,64.4,91,61.71,29.96,30.0557,0,0,10275,9247500,,,64.4,2026-03-19,2026-02-19T18:37:00.000Z,4.32,2026-03-19 21:07:00-07:00
1773978720000,0.0,0.0,0,0,1,214,64.8,89,61.48,29.95,30.0456,0,0,10275,9247500,,,64.8,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 20:52:00-07:00
1773977820000,0.0,1.3422,0,0,1,214,65.1,89,61.77,29.95,30.0456,0,0,10275,9247500,,,65.1,2026-03-19,2026-02-19T18:37:00.000Z,,2026-03-19 20:37:00-07:00
