dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,local_time
1775803920000,0.0,0.0,0,0,1,115,56.3,94,4.3,54.59,29.96,30.0572,0,0,13088,11779200,56.3,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 23:52:00-07:00
1775803020000,0.0,0.0,0,0,1,115,57.0,94,,55.29,29.96,30.0571,0,0,13088,11779200,57.0,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 23:37:00-07:00
1775802120000,0.0,0.0,0,0,1,115,57.7,95,,56.28,29.96,30.057,0,0,13088,11779200,57.7,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 23:22:00-07:00
1775801220000,0.0,0.0,0,0,1,115,58.3,95,,56.87,29.96,30.0568,0,0,13088,11779200,58.3,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 23:07:00-07:00
1775800320000,0.0,0.0,0,0,1,115,58.5,95,4.3,57.07,29.96,30.0568,0,0,13088,11779200,58.5,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 22:52:00-07:00
1775799420000,0.0,0.0,0,0,1,115,58.6,95,,57.17,29.96,30.0568,0,0,13088,11779200,58.6,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 22:37:00-07:00
1775798520000,0.0,0.0,0,0,1,115,58.6,95,,57.17,29.96,30.0568,0,0,13088,11779200,58.6,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 22:22:00-07:00
1775797620000,0.0,0.0,0,0,1,115,58.3,94,,56.58,29.96,30.0568,0,0,13088,11779200,58.3,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 22:07:00-07:00
1775796720000,0.0,0.0,0,0,1,115,58.3,93,4.31,56.28,29.95,30.0468,0,0,13088,11779200,58.3,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 21:52:00-07:00
1775795820000,0.0,0.0,0,0,1,115,58.8,93,,56.78,29.95,30.0467,0,0,13088,11779200,58.8,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 21:37:00-07:00
1775794920000,0.0,0.0,0,0,1,115,59.2,93,,57.18,29.94,30.0366,0,0,13088,11779200,59.2,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 21:22:00-07:00
1775794020000,0.0,0.0,0,0,1,115,59.5,93,,57.47,29.94,30.0366,0,0,13088,11779200,59.5,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 21:07:00-07:00
1775793120000,0.0,0.0,0,0,1,115,59.5,93,4.31,57.47,29.94,30.0366,0,0,13088,11779200,59.5,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 20:52:00-07:00
1775792220000,0.0,1.1185,0,0,1,115,59.2,91,,56.57,29.93,30.0266,0,0,13088,11779200,59.2,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 20:37:00-07:00
1775791320000,0.0,0.0,0,0,1,115,59.4,91,,56.77,29.92,30.0165,0,0,13088,11779200,59.4,2026-04-01T19:37:00.000Z,2026-04-09,2026-04-09 20:22:00-07:00
