dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,local_time
1777963920000,0.2237,2.0132,0,0,1,198,56.1,74,4.32,47.93,29.97,30.0673,0,0,0,13405500,America/Los_Angeles,True,56.1,2026-05-04,,2026-05-04 23:52:00-07:00
1777963020000,0.0,0.0,0,0,1,198,56.5,73,,47.95,29.96,30.0572,0,0,14895,13405500,,,56.5,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 23:37:00-07:00
1777962120000,0.0,0.0,0,0,1,198,56.8,74,,48.6,29.97,30.0672,0,0,14895,13405500,,,56.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 23:22:00-07:00
1777961220000,0.0,1.3422,0,0,1,198,57.2,73,,48.62,29.97,30.0671,0,0,14895,13405500,,,57.2,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 23:07:00-07:00
1777960320000,0.0,0.0,0,0,1,198,57.6,74,4.32,49.37,29.97,30.067,0,0,14895,13405500,,,57.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 22:52:00-07:00
1777959420000,0.0,1.1185,0,0,1,198,58.1,74,,49.85,29.97,30.0669,0,0,14895,13405500,,,58.1,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 22:37:00-07:00
1777958520000,0.0,1.3422,0,0,1,198,58.3,76,,50.77,29.97,30.0669,0,0,14895,13405500,,,58.3,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 22:22:00-07:00
1777957620000,0.0,0.0,0,0,1,198,58.5,77,,51.31,29.96,30.0568,0,0,14895,13405500,,,58.5,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 22:07:00-07:00
1777956720000,0.6711,2.6843,0,0,1,198,58.6,77,4.33,51.41,29.96,30.0568,0,0,14895,13405500,,,58.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 21:52:00-07:00
1777955820000,0.0,0.0,0,0,1,198,58.8,80,,52.64,29.97,30.0668,0,0,14895,13405500,,,58.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 21:37:00-07:00
1777954920000,0.0,0.0,0,0,1,198,58.8,78,,51.95,29.96,30.0568,0,0,14895,13405500,,,58.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 21:22:00-07:00
1777954020000,0.0,0.0,0,0,1,198,59.0,77,,51.8,29.96,30.0567,0,0,14895,13405500,,,59.0,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 21:07:00-07:00
1777953120000,0.0,0.0,0,0,1,198,59.0,79,4.33,52.49,29.96,30.0567,0,0,14895,13405500,,,59.0,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 20:52:00-07:00
1777952220000,0.2237,1.3422,0,0,1,198,59.0,78,,52.15,29.96,30.0567,0,0,14895,13405500,,,59.0,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 20:37:00-07:00
1777951320000,0.0,1.1185,0,0,1,198,58.6,81,,52.79,29.96,30.0568,0,0,14895,13405500,,,58.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 20:22:00-07:00
1777950420000,0.0,1.1185,0,0,1,198,58.6,82,4.33,53.12,29.95,30.0468,0,0,14895,13405500,,,58.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 20:07:00-07:00
1777949520000,0.6711,2.2369,0,0,1,198,58.8,79,,52.3,29.95,30.0467,0,0,14895,13405500,,,58.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 19:52:00-07:00
1777948620000,0.6711,2.4606,0,0,1,198,59.0,78,,52.15,29.96,30.0567,4,3600,14891,13405500,,,59.0,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 19:37:00-07:00
1777947720000,0.6711,2.908,0,0,1,198,59.4,77,,52.19,29.96,30.0566,9,8100,14882,13401900,,,59.4,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 19:22:00-07:00
1777946820000,0.4474,2.4606,0,0,1,198,59.5,77,4.34,52.28,29.96,30.0566,13,11700,14869,13393800,,,59.5,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 19:07:00-07:00
1777945920000,0.2237,2.4606,0,0,1,198,59.9,78,,53.02,29.96,30.0565,28,25200,14841,13382100,,,59.9,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 18:52:00-07:00
1777945020000,0.8948,3.5791,0,0,1,198,60.6,77,,53.35,29.96,30.0564,39,35100,14802,13356900,,,60.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 18:37:00-07:00
1777944120000,1.1185,3.1317,0,0,1,198,60.8,77,,53.54,29.97,30.0664,62,55800,14740,13321800,,,60.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 18:22:00-07:00
1777943220000,1.7895,4.0265,0,0,1,198,61.2,76,4.35,53.57,29.97,30.0663,78,70200,14662,13266000,,,61.2,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 18:07:00-07:00
1777942320000,0.6711,4.0265,0,0,1,198,61.2,76,,53.57,29.97,30.0663,85,76500,14577,13195800,,,61.2,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 17:52:00-07:00
1777941420000,1.1185,4.2502,0,0,1,198,61.3,75,,53.31,29.97,30.0663,65,58500,14512,13119300,,,61.3,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 17:37:00-07:00
1777940520000,0.8948,5.145,0,0,1,178,61.7,74,4.37,53.32,29.97,30.0662,106,95400,14406,13060800,,,61.7,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 17:22:00-07:00
1777939620000,1.1185,4.4739,0,0,1,212,61.7,74,,53.32,29.97,30.0662,120,108000,14286,12965400,,,61.7,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 17:07:00-07:00
1777938720000,1.5659,4.4739,0,0,1,234,61.5,75,,53.5,29.97,30.0663,138,124200,14148,12857400,,,61.5,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 16:52:00-07:00
1777937820000,1.7895,5.145,0,0,1,275,61.7,73,,52.95,29.97,30.0662,169,152100,13979,12733200,,,61.7,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 16:37:00-07:00
1777936920000,2.2369,4.6976,0,0,1,294,61.9,71,4.42,52.39,29.97,30.0662,170,153000,13809,12581100,,,61.9,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 16:22:00-07:00
1777936020000,1.7895,5.3686,0,0,1,249,62.1,71,,52.58,29.97,30.0662,175,157500,13634,12428100,,,62.1,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 16:07:00-07:00
1777935120000,2.2369,6.4871,0,0,1,229,62.6,73,,53.82,29.97,30.0661,209,188100,13425,12270600,,,62.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 15:52:00-07:00
1777934220000,1.5659,5.3686,0,0,1,211,63.1,73,,54.3,29.98,30.076,250,225000,13175,12082500,,,63.1,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 15:37:00-07:00
1777933320000,2.4606,6.7108,0,0,1,226,63.5,72,4.51,54.31,29.98,30.0759,319,287100,12856,11857500,,,63.5,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 15:22:00-07:00
1777932420000,1.1185,6.0397,0,0,1,212,63.9,71,,54.31,29.98,30.0759,287,258300,12569,11570400,,,63.9,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 15:07:00-07:00
1777931520000,2.0132,6.9345,0,0,1,238,63.7,72,,54.5,29.98,30.0759,582,523800,11987,11312100,,,63.7,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 14:52:00-07:00
1777930620000,2.0132,5.145,0,0,1,260,64.4,68,,53.6,29.98,30.0758,533,479700,11454,10788300,,,64.4,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 14:37:00-07:00
1777929720000,2.2369,4.6976,0,0,1,285,63.5,70,4.57,53.54,29.99,30.086,492,442800,10962,10308600,,,63.5,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 14:22:00-07:00
1777928820000,1.3422,5.816,0,0,1,226,63.7,73,,54.88,29.99,30.0859,529,476100,10433,9865800,,,63.7,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 14:07:00-07:00
1777927920000,2.0132,6.7108,0,0,1,220,64.0,71,,54.4,29.99,30.0859,450,405000,9983,9389700,,,64.0,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 13:52:00-07:00
1777927020000,1.7895,4.9213,0,0,1,217,64.6,69,,54.19,29.99,30.0858,670,603000,9313,8984700,,,64.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 13:37:00-07:00
1777926120000,2.0132,5.816,0,0,1,235,64.8,67,4.58,53.58,29.99,30.0857,659,593100,8654,8381700,,,64.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 13:22:00-07:00
1777925220000,2.2369,6.7108,0,0,1,224,64.8,67,,53.58,29.98,30.0757,814,732600,7840,7788600,,,64.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 13:07:00-07:00
1777924320000,2.0132,5.816,0,0,1,232,64.4,69,,54.0,29.99,30.0858,703,632700,7137,7056000,,,64.4,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 12:52:00-07:00
1777923420000,2.0132,5.816,0,0,1,257,64.4,69,,54.0,29.99,30.0858,840,756000,6297,6423300,,,64.4,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 12:37:00-07:00
1777922520000,2.6843,5.816,0,0,1,209,64.4,70,4.54,54.4,29.99,30.0858,585,526500,5712,5667300,,,64.4,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 12:22:00-07:00
1777921620000,2.908,5.145,0,0,1,198,64.9,68,,54.08,29.98,30.0757,748,673200,4964,5140800,,,64.9,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 12:07:00-07:00
1777920720000,2.908,4.4739,0,0,1,198,64.4,69,,54.0,29.98,30.0758,767,690300,4197,4467600,,,64.4,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 11:52:00-07:00
1777919820000,2.6843,4.6976,0,0,1,198,64.0,69,,53.62,29.98,30.0759,902,811800,3295,3777300,,,64.0,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 11:37:00-07:00
1777918920000,2.908,5.816,0,0,1,201,63.3,68,4.42,52.55,29.99,30.086,607,546300,2688,2965500,,,63.3,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 11:22:00-07:00
1777918020000,2.2369,6.0397,0,0,1,241,63.5,67,,52.34,29.99,30.086,291,261900,2397,2419200,,,63.5,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 11:07:00-07:00
1777917120000,1.3422,5.816,0,0,1,215,63.3,67,,52.15,29.98,30.076,207,186300,2190,2157300,,,63.3,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 10:52:00-07:00
1777916220000,2.0132,6.0397,0,0,1,223,62.8,68,,52.08,29.98,30.0761,220,198000,1970,1971000,,,62.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 10:37:00-07:00
1777915320000,1.3422,4.6976,0,0,1,224,62.6,71,4.4,53.06,29.98,30.0761,550,495000,1420,1773000,,,62.6,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 10:22:00-07:00
1777914420000,2.4606,5.816,0,0,1,216,62.8,68,,52.08,29.98,30.0761,600,540000,820,1278000,,,62.8,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 10:07:00-07:00
1777913520000,0.6711,5.816,0,0,1,142,63.0,58,,47.99,29.98,30.076,227,204300,593,738000,,,63.0,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 09:52:00-07:00
1777912620000,0.0,2.0132,0,0,1,343,61.9,65,,50.0,29.98,30.0762,67,60300,526,533700,,,61.9,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 09:37:00-07:00
1777911720000,0.4474,2.6843,0,0,1,341,61.2,68,4.26,50.55,29.98,30.0764,64,57600,462,473400,,,61.2,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 09:22:00-07:00
1777910820000,1.3422,4.9213,0,0,1,334,59.7,72,,50.66,29.98,30.0766,88,79200,374,415800,,,59.7,2026-05-04,2026-04-25T23:52:00.000Z,2026-05-04 09:07:00-07:00
