dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,tz,historical,local_time
1778309520000,0.0,0.0,0,0,1,222,55.2,95,53.79,29.95,30.0474,0,0,7739,6965100,55.2,2026-05-07T15:52:00.000Z,2026-05-08,,,,2026-05-08 23:52:00-07:00
1778308620000,0.0,0.0,0,0,1,222,55.6,95,54.19,29.95,30.0473,0,0,7739,6965100,55.6,2026-05-07T15:52:00.000Z,2026-05-08,,,,2026-05-08 23:37:00-07:00
1778307720000,0.0,0.0,0,0,1,222,56.3,95,54.89,29.95,30.0472,0,0,7739,6965100,56.3,2026-05-07T15:52:00.000Z,2026-05-08,4.27,,,2026-05-08 23:22:00-07:00
1778306820000,0.0,0.0,0,0,1,222,56.7,95,55.28,29.95,30.0471,0,0,7739,6965100,56.7,,2026-05-08,,America/Los_Angeles,True,2026-05-08 23:07:00-07:00
1778305920000,0.0,0.0,0,0,1,222,56.8,94,55.09,29.96,30.0571,0,0,7739,6965100,56.8,2026-05-07T15:52:00.000Z,2026-05-08,,,,2026-05-08 22:52:00-07:00
1778305020000,0.0,1.1185,0,0,1,222,56.7,94,54.99,29.95,30.0471,0,0,7739,6965100,56.7,2026-05-07T15:52:00.000Z,2026-05-08,,,,2026-05-08 22:37:00-07:00
1778304120000,0.0,0.0,0,0,1,222,56.8,93,54.8,29.95,30.0471,0,0,7739,6965100,56.8,2026-05-07T15:52:00.000Z,2026-05-08,4.27,,,2026-05-08 22:22:00-07:00
1778303220000,0.0,0.0,0,0,1,222,56.8,92,54.5,29.95,30.0471,0,0,7739,6965100,56.8,2026-05-07T15:52:00.000Z,2026-05-08,,,,2026-05-08 22:07:00-07:00
1778302320000,0.0,0.0,0,0,1,222,57.0,92,54.7,29.95,30.0471,0,0,7739,6965100,57.0,2026-05-07T15:52:00.000Z,2026-05-08,,,,2026-05-08 21:52:00-07:00
1778301420000,0.0,0.0,0,0,1,222,57.4,92,55.09,29.94,30.0369,0,0,7739,6965100,57.4,2026-05-07T15:52:00.000Z,2026-05-08,,,,2026-05-08 21:37:00-07:00
1778300520000,0.0,0.0,0,0,1,222,57.4,90,54.49,29.93,30.0269,0,0,7739,6965100,57.4,,2026-05-08,4.28,America/Los_Angeles,True,2026-05-08 21:22:00-07:00
